% beneficiados DRS;% beneficiados município;(%) população +60 anos DRS (2019);Benefiados Bolsa-família DRS;Benefiados Bolsa-família Municípios;Bolsa Família (Fev. 2020);Bolsa Família per capita (Fev. 2020);Bolsa família per capita DRS (2019);Casos Confirmados;Simulador_DRS;Simulador_DRS_criterios_Dr.Paulo;Click_Baixar;Click_view;Seleciona indicador testagem;Is_UF;Cidade;Data1;DRS (Output);DRS (Sheet4);DRS Nome;DRS Numero;DRS;Data da Notificacao;Data;Densidade Demográfica (2010);Densidade Demográfica (2019);Densidade demográfica DRS (2019);Esgotamento Sanitário (2010);Estado;F1;Faixa etária +60 anos (% da pop.);Grupo de Taxa de ocupação - Enfermaria por DRS;Grupo de Taxa de ocupação - Enfermaria;Grupo de Taxa de ocupação - UTI por DRS;Grupo de Taxa de ocupação - UTI;Leitos livres - Enfermaria;Leitos livres - UTI;Leitos livres CNES - Enfermaria;Leitos livres CNES - UTI;Leitos livres não covid - Enfermaria;Leitos livres não covid - UTI;Leitos ocupados declarados - Enfermaria;Leitos ocupados declarados - UTI;Leitos ocupados declarados não covid - Enfermaria;Leitos ocupados declarados não covid - UTI;Municip_compat;Municipio & UF (group);Municipio;Município;Município ajust;Média internações (ult. 7 dias)/(ult. 8-14 dias) por DRS;Média internações (ult. 7 dias)/(ult. 8-14 dias);Média novos casos por 100k hab;Negativo;Negativo Acc;Número de registros;Obitos Confirmados;Pib (2019);Pib Sp (2019);PIB per capita por DRS (2019);Pop Drs;Positivo;Positivo Acc;Positivo Por 1M;Positivo Por Casos;Positivo Por Testes;Ppc (2017);População (2010);População (2019) (Output);População (2019);População +60 anos (2019);População DRS;Enfermaria declaradas;UTIs declaradas;Quantidade de leitos em Enfermaria cadastrados no CNES;Quantidade de leitos em UTI cadastrados no CNES;Queda Sustentada;Semana -1 por DRS;Semana -1;Semana -2 por DRS;Semana -2;Semana -3 por DRS;Semana -3;Semana 0 por DRS;Semana 0;Simulador_DRS (copy);Sum of Pacientes Enfermaria ou Retaguarda PS - Confirmados;Sum of Pacientes Enfermaria ou Retaguarda PS - Suspeitos;Sum of Pacientes UTI - Confirmados;Sum of Pacientes UTI - Suspeitos;Enf. destinadas para COVID-19;UTI destinadas para COVID-19;Sum of Total de Leitos Disponiveis - Enfermaria;Sum of Total de Leitos Disponiveis - UTI;Teste Por 1M;Teste Por Casos;Total;Total Acc;Taxa de Isolamento Semanal;Taxa de Isolamento;Taxa de ocupação - Enfermaria por DRS;Taxa de ocupação - Enfermaria;Taxa de ocupação - UTI por DRS;Taxa de ocupação - UTI;Taxa de ocupação CNES - Enfermaria;Taxa de ocupação CNES - UTI;Taxa de ocupação declarados - Enfermaria;Taxa de ocupação declarados - UTI;Uf (Ibge!Sp);UF (Sheet1);UF;mean_last_3_weeks;mean_last_7_days;Área (Km2 2019)
0,030660011;0,008349492;0,177918075;35232,4;292,8;41692;1,188890156;5,254219349;254;Verde;Amarelo;Baixar;View;808,4363;Verdadeiro;Adamantina;2020-05-17;Marília;Marília;Marília;9;Marília;21/05/2020;20/05/2020;82,15;85,239405864;55,059259268;95,8;SP;16973;0,216273846;até 40%;até 40%;até 40%;0%;14;0;2;60;23;0;8;5;5;5;Adamantina;Marília;ADAMANTINA;ADAMANTINA;ADAMANTINA;0,821428571;0,903225806;;4;815;1;15;1052410318,08;2105219158769,04;29865,881158433;1149132;0;114;99,2053;0,4488;0,1227;30010,56;33797;35068;35068;7584,291246126;1149132;45;5;60;5;;68;4,428571429;61,714285714;5;53,285714286;4,428571429;55,857142857;4;Verde;2;1;0;0;17;0;37;0;808,4363;3,6575;4;929;1;1;0,113;0,176;0,144;0;0,05;0;0,178;1;SP;SP;SP;;;411,405964699
0,027240322;0,024152201;0,161882936;49053,2;898,8;153739;4,131214059;4,682766602;916;Verde;Amarelo;Baixar;View;2237,3924;Verdadeiro;Agudos;2020-05-17;Bauru;Bauru;Bauru;6;Bauru;21/05/2020;20/05/2020;35,73;38,513967675;57,907020110;95,3;SP;17456;0,143663112;até 40%;0%;40 a 60%;0%;0;0;0;40;0;0;0;0;0;0;Agudos;Bauru;AGUDOS;AGUDOS;AGUDOS;0,989628349;0;;0;3401;1;49;2081705386,78;2105219158769,04;31666,108516131;1800757;0;628;348,7422;0,6856;0,1559;55938,77;34524;37214;37214;5346,279066001;1800757;0;0;40;0;;165,285714286;0;151,857142857;0;151,571428571;0;163,571428571;0;Verde;0;0;0;0;0;0;0;0;2237,3924;4,3985;0;4029;1;1;0,236;0;0,566;0;0;0;0;0;SP;SP;SP;;;966,246851385
0,023425360;0,046440929;0,152925581;35692,8;751,6;179313;11,079646565;4,671469843;637;Amarelo;Amarelo;Baixar;View;972,6439;Verdadeiro;Altinópolis;2020-05-17;Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;13;Ribeirão Preto;21/05/2020;20/05/2020;16,8;17,421105914;129,290011915;87,8;SP;18698;0,182826167;até 40%;até 40%;até 40%;0%;6;0;0;12;16;0;5;0;4;0;Altinópolis;Ribeirão Preto;ALTINÓPOLIS;ALTINÓPOLIS;ALTINÓPOLIS;1,075117371;1,666666667;;0;1266;1;36;525802137,84;2105219158769,04;40264,286625832;1523682;0;216;141,7619;0,3391;0,1457;32489,01;15607;16184;16184;2958,858691635;1523682;27;0;12;0;;91,285714286;0,428571429;102,857142857;1,142857143;92,285714286;0,285714286;98,142857143;0,714285714;Amarelo;0;1;0;0;7;0;22;0;972,6439;2,3265;0;1482;1;1;0,24;0,143;0,392;0;0,083;0;0,185;0;SP;SP;SP;;;928,988095238
0,025953421;0,037667724;0,170354262;20535,8;154,4;33432;2,155512573;4,549562895;295;Verde;Amarelo;Baixar;View;1004,7317;Verdadeiro;Alto Alegre;2020-05-17;Araçatuba;Araçatuba;Araçatuba;2;Araçatuba;21/05/2020;20/05/2020;12,86;48,624719649;45,323838024;82,7;SP;24839;0,070800380;até 40%;0%;até 40%;0%;6;0;0;17;16;0;0;0;0;0;Alto Alegre;Araçatuba;ALTO ALEGRE;ALTO ALEGRE;ALTO ALEGRE;0,815249267;0;;2;645;1;17;412421291,7;2105219158769,04;29841,217811907;791256;0;150;189,572;0,5085;0,1887;26590,67;4102;4099;15510;1098,113888010;791256;13;0;17;0;;48,714285714;0,166666667;47,571428571;0,714285714;41;0,142857143;39,714285714;0;Verde;0;0;0;0;6;0;22;0;1004,7317;2,6949;2;795;1;1;0,104;0;0,185;0;0;0;0;0;SP;SP;SP;;;318,973561431
0,022455310;0,015418390;0,142372429;104895,2;3694,2;725853;3,029474493;4,111431695;2555;Amarelo;Amarelo;Baixar;View;1135,4473;Verdadeiro;Americana;2020-05-17;Campinas;Campinas;Campinas;7;Campinas;21/05/2020;20/05/2020;1572,75;1788,975311910;509,167159940;98,8;SP;7105;0,159995425;até 40%;até 40%;40 a 60%;40 a 60%;21;10;22;252;122;10;96;22;82;8;Americana;Campinas;AMERICANA;Americana;AMERICANA;1,183718372;2;;47;4504;1;144;10637220291,1;2105219158769,04;63821,804570422;4671287;4;800;171,259;0,3131;0,1508;44396,3;210638;239597;239597;38334,423831774;4671287;239;42;266;36;;519,428571429;9,142857143;461,571428571;8,285714286;395,428571429;6,857142857;614,857142857;18,285714286;Amarelo;1;13;4;10;35;24;143;20;1135,4473;2,0759;51;5304;0,449068195;0,43;0,357;0,4;0,58;0,583;0,053;0,389;0,402;0,524;SP;SP;SP;;;133,929740900
0,022455310;0,012463467;0,142372429;104895,2;899,8;154283;68,937890974;4,111431695;2555;Amarelo;Amarelo;Baixar;View;1135,4473;Verdadeiro;Amparo;2020-05-17;Campinas;Campinas;Campinas;7;Campinas;21/05/2020;20/05/2020;147,75;5,023082532;509,167159940;88,7;SP;7175;0,129531388;até 40%;até 40%;40 a 60%;até 40%;17;13;4;83;8;0;12;0;7;0;Amparo;Campinas;AMPARO;Amparo;AMPARO;1,183718372;1,315789474;;47;4504;1;144;137027816,4;2105219158769,04;63821,804570422;4671287;4;800;171,259;0,3131;0,1508;61227,8;65829;72195;2238;289,891246684;4671287;37;9;87;9;;519,428571429;5,428571429;461,571428571;5,714285714;395,428571429;5,714285714;614,857142857;7,142857143;Amarelo;1;4;2;2;22;17;25;13;1135,4473;2,0759;51;5304;0,471725376;0,44;0,357;0,227;0,58;0,235;0,057;0,444;0,324;0;SP;SP;SP;;;445,543147208
0,025756592;0,015968793;0,153539025;26425,8;646,8;113037;2,790761406;4,394994303;279;Amarelo;Amarelo;Baixar;View;957,1318;Verdadeiro;Américo Brasiliense;2020-05-17;Araraquara;Araraquara;Araraquara;3;Araraquara;21/05/2020;20/05/2020;280,91;330,006921515;104,691715575;99,3;SP;11660;0,102165310;até 40%;mais de 60%;até 40%;até 40%;4;6;3;62;13;0;82;5;75;1;Américo Brasiliense;Araraquara;AMÉRICO BRASILIENSE;AMÉRICO BRASILIENSE;AMÉRICO BRASILIENSE;1,530744337;1,459016393;;0;875;1;11;980079338,4;2105219158769,04;35917,098575432;1025982;0;107;104,2903;0,3835;0,109;24197,1;34478;40504;40504;4138,103702957;1025982;99;10;66;10;;44,142857143;8,714285714;41,142857143;7,714285714;44,571428571;4,571428571;67,571428571;12,714285714;Amarelo;5;2;2;2;11;10;17;5;957,1318;3,5197;0;982;1;1;0,194;0,636;0,154;0,4;0,106;0,4;0,828;0,5;SP;SP;SP;;;122,736819622
0,025953421;0,032905856;0,170354262;20535,8;1880,8;355193;6,214339451;4,549562895;295;Verde;Amarelo;Baixar;View;1004,7317;Verdadeiro;Andradina;2020-05-17;Araçatuba;Araçatuba;Araçatuba;2;Araçatuba;21/05/2020;20/05/2020;57,39;59,280735714;45,323838024;91,2;SP;24356;0,188700289;até 40%;até 40%;até 40%;até 40%;13;4;9;78;11;6;68;0;67;0;Andradina;Araçatuba;ANDRADINA;ANDRADINA;ANDRADINA;0,815249267;0,558139535;;2;645;1;17;1965358305,82;2105219158769,04;29841,217811907;791256;0;150;189,572;0,5085;0,1887;34385,26;55334;57157;57157;10785,542434910;791256;92;10;79;10;;48,714285714;6,142857143;47,571428571;6,857142857;41;7;39,714285714;3,428571429;Verde;1;0;0;1;14;5;24;10;1004,7317;2,6949;2;795;1;1;0,104;0,071;0,185;0,2;0,013;0,1;0,739;0;SP;SP;SP;;;964,174943370
0,030675447;0,031591882;0,140982697;77736,4;797;109343;4,334192167;5,222555164;1086;Vermelho;Vermelho;Baixar;View;1366,1348;Verdadeiro;Angatuba;2020-05-17;Sorocaba;Sorocaba;Sorocaba;16;Sorocaba;21/05/2020;20/05/2020;21,61;24,546469158;97,549694945;84,6;SP;15662;0,150303664;até 40%;até 40%;mais de 60%;0%;6;0;0;38;10;0;7;0;5;0;Angatuba;Sorocaba;ANGATUBA;ANGATUBA;ANGATUBA;1,265050167;3,75;;0;2688;1;64;986590891,44;2105219158769,04;37419,954465461;2534157;0;774;305,427;0,7127;0,2236;39106,98;22210;25228;25228;3791,860837389;2534157;23;0;38;0;;170,857142857;0,571428571;174;2;143,428571429;0,428571429;216,142857143;2,142857143;Vermelho;1;1;0;0;8;0;16;0;1366,1348;3,1878;0;3462;1;1;0,344;0,25;0,608;0;0,053;0;0,304;0;SP;SP;SP;;;1027,764923646
0,031927400;0,018956219;0,137363683;81498,2;685,4;93644;11,218881035;5,969913019;1135;Amarelo;Amarelo;Baixar;View;1152,5458;Verdadeiro;Aparecida;2020-05-17;Taubaté;Taubaté;Taubaté;17;Taubaté;21/05/2020;20/05/2020;289,13;68,939586654;152,527118713;96,6;SP;38570;0,154876616;até 40%;até 40%;40 a 60%;0%;14;0;5;64;0;0;7;9;3;9;Aparecida;Taubaté;APARECIDA;APARECIDA;APARECIDA;1,228110599;0,7;;35;2546;1;46;241274959,73;2105219158769,04;44630,342456449;2552610;4;396;155,1353;0,3489;0,1346;28905,59;35007;36157;8347;1292,755111633;2552610;21;9;64;9;;186;4,285714286;181,142857143;3,571428571;167,285714286;1;228,428571429;3;Amarelo;0;4;0;0;18;0;14;0;1152,5458;2,5921;39;2942;1;1;0,272;0,222;0,47;0;0,062;0;0,333;1;SP;SP;SP;;;121,077024176
