,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-17,3.0,1.7006237714795154,0.0,1.7006237714795154,0.0,1.7006237714795154,0.0,1.7006237714795154,3,0,881935.0,0.34016,0.0
2020-03-18,2.9999999999999996,1.6666666666666665,0.0,1.6666666666666665,0.0,1.6666666666666665,0.0,1.6666666666666665,3,0,881935.0,0.34016,0.0
2020-03-19,3.9999999999999996,1.8943829783565065,0.0,1.8943829783565065,0.0,1.8943829783565065,0.0,1.8943829783565065,4,0,881935.0,0.45355,0.0
2020-03-20,6.999999999999999,2.5135591892732103,0.0,2.5135591892732103,0.0,2.5135591892732103,0.0,2.5135591892732103,7,0,881935.0,0.79371,0.0
2020-03-21,10.999999999999998,3.0712745355515305,0.06,3.080442707262589,0.0,3.080442707262589,0.06,3.080442707262589,11,0,881935.0,1.24726,0.0
2020-03-22,11.0,3.0909120617929875,0.07,3.1018119500926193,0.0,3.1018119500926193,0.07,3.1018119500926193,11,0,881935.0,1.24726,0.0
2020-03-23,17.0,3.9415169104743875,0.18999999999999997,3.9643228369490244,0.0,3.9643228369490244,0.18999999999999997,3.9643228369490244,17,0,881935.0,1.9275799999999998,0.0
2020-03-24,21.0,4.312912255218291,0.29000000000000004,4.344687804803945,0.0,4.344687804803945,0.29000000000000004,4.344687804803945,21,0,881935.0,2.3811299999999997,0.0
2020-03-25,23.0,4.6608188468586,0.27,4.688148069678721,0.0,4.688148069678721,0.27,4.688148069678721,23,0,881935.0,2.6079,0.0
2020-03-26,23.0,4.587224243769457,0.44999999999999996,4.6313201425323935,0.0,4.6313201425323935,0.44999999999999996,4.6313201425323935,23,0,881935.0,2.6079,0.0
2020-03-27,25.0,4.946910065072863,0.59,5.000361906094317,0.0,5.000361906094317,0.59,5.000361906094317,25,0,881935.0,2.83468,0.0
2020-03-28,25.0,4.9702549575886295,0.6,5.024204846882176,0.0,5.024204846882176,0.6,5.024204846882176,25,0,881935.0,2.83468,0.0
2020-03-29,34.0,5.601767397866318,0.7,5.660759487895416,0.0,5.660759487895416,0.7,5.660759487895416,34,0,881935.0,3.8551599999999997,0.0
2020-03-30,41.0,6.261248463623874,1.22,6.3566054088036905,0.96,6.359625171598743,1.22,6.3566054088036905,41,0,881935.0,4.64887,0.0
2020-03-31,42.00000000000001,6.2714842861570785,1.37,6.3722535379185254,0.97,6.3745364656196895,1.37,6.3722535379185254,42,0,881935.0,4.7622599999999995,0.0
2020-04-01,43.0,6.202019872997062,1.08,6.279733314803305,0.96,6.282790025542037,1.08,6.497140007944133,43,0,881935.0,4.87564,0.0
2020-04-02,45.0,6.676220427151819,1.28,6.765686897272088,0.99,6.7664184907467275,1.28,7.025895392091039,45,0,881935.0,5.1024199999999995,0.0
2020-04-03,46.00000000000001,6.513203373288615,1.1500000000000001,6.594324694903808,0.99,6.59507529766099,1.1500000000000001,7.05713100202894,46,0,881935.0,5.2158,0.0
2020-04-04,46.0,6.547294915235658,1.3,6.6382430436878925,0.96,6.6411347454385155,1.24,7.3181553672901725,46,0,881935.0,5.2158,0.0
2020-04-05,48.0,6.800995173762099,1.3,6.890945896866072,0.93,6.89566786856323,1.23,7.556875857606285,48,0,881935.0,5.44258,0.0
2020-04-06,50.00000000000001,6.806488288999169,1.35,6.9001291892458685,0.96,6.902911185020625,1.1600000000000001,7.957866446720403,50,1,881935.0,5.66935,0.02
2020-04-07,50.00000000000001,6.692102989661952,1.5100000000000002,6.7886480557061155,0.97,6.790791001366662,1.2200000000000002,8.059904127559742,50,2,881935.0,5.66935,0.04
2020-04-08,57.99999999999999,7.376580467529612,1.94,7.489615436986027,0.98,7.490923801103532,1.67,8.835896769268624,58,2,881935.0,6.57645,0.0345
2020-04-09,61.999999999999986,7.621845265585314,2.08,7.748672483240291,1.86,7.756437665096346,1.6300000000000001,9.02723941829126,62,2,881935.0,7.03,0.0323
2020-04-10,69.99999999999999,7.932696689504571,2.33,8.068244962051956,1.91,8.073318819895372,1.7400000000000002,9.49211230230637,70,2,881935.0,7.9370899999999995,0.0286
2020-04-11,72.0,7.960318251594384,2.2800000000000002,8.093334706205265,1.9,8.09889292846045,1.6800000000000002,9.526001312728285,72,2,881935.0,8.16387,0.0278
2020-04-12,77.00000000000001,8.650451030455176,2.46,8.776656711430785,1.93,8.780364629689535,1.76,10.44384512572362,77,2,881935.0,8.7308,0.026000000000000002
2020-04-13,89.99999999999999,9.183626184628267,3.71,9.351967167339176,2.87,9.358012069824976,2.49,11.30777264638011,90,3,881935.0,10.204830000000001,0.0333
2020-04-14,99.0,9.744597052581073,3.8100000000000005,9.924760537019104,2.88,9.930079139522087,2.4400000000000004,11.794341307113632,99,3,881935.0,11.22532,0.0303
