,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-08,1.0,0.9492155187364465,0.0,0.9492155187364465,0.0,0.9492155187364465,0.0,0.9492155187364465,1,0,3337357.0,0.029960000000000004,0.0
2020-03-09,1.0,0.9583234518594641,0.0,0.9583234518594641,0.0,0.9583234518594641,0.0,0.9583234518594641,1,0,3337357.0,0.029960000000000004,0.0
2020-03-10,1.0,0.9596927117625214,0.0,0.9596927117625214,0.0,0.9596927117625214,0.0,0.9596927117625214,1,0,3337357.0,0.029960000000000004,0.0
2020-03-12,1.0,0.966718911858796,0.0,0.966718911858796,0.0,0.966718911858796,0.0,0.966718911858796,1,0,3337357.0,0.029960000000000004,0.0
2020-03-13,1.0,0.9632646510065591,0.0,0.9632646510065591,0.0,0.9632646510065591,0.0,0.9632646510065591,1,0,3337357.0,0.029960000000000004,0.0
2020-03-16,1.0,0.9627401969735588,0.0,0.9627401969735588,0.0,0.9627401969735588,0.0,0.9627401969735588,1,0,3337357.0,0.029960000000000004,0.0
2020-03-17,1.0,0.9661963328099281,0.0,0.9661963328099281,0.0,0.9661963328099281,0.0,0.9661963328099281,1,0,3337357.0,0.029960000000000004,0.0
2020-03-18,1.0,0.9673456340716982,0.0,0.9673456340716982,0.0,0.9673456340716982,0.0,0.9673456340716982,1,0,3337357.0,0.029960000000000004,0.0
2020-03-19,4.0,1.9335423084550951,0.0,1.9335423084550951,0.0,1.9335423084550951,0.0,1.9335423084550951,4,0,3337357.0,0.11986,0.0
2020-03-20,6.0,2.308482382235331,0.0,2.308482382235331,0.0,2.308482382235331,0.0,2.308482382235331,6,0,3337357.0,0.17978,0.0
2020-03-21,7.000000000000001,2.555801481359852,0.0,2.555801481359852,0.0,2.555801481359852,0.0,2.555801481359852,7,0,3337357.0,0.20975,0.0
2020-03-22,7.0,2.5665682783188783,0.0,2.5665682783188783,0.0,2.5665682783188783,0.0,2.5665682783188783,7,0,3337357.0,0.20975,0.0
2020-03-23,7.999999999999999,2.710622575622572,0.0,2.710622575622572,0.0,2.710622575622572,0.0,2.710622575622572,8,0,3337357.0,0.23970999999999998,0.0
2020-03-24,9.999999999999998,2.920045661743438,0.0,2.920045661743438,0.0,2.920045661743438,0.0,2.920045661743438,10,0,3337357.0,0.29964,0.0
2020-03-25,11.0,3.1675437381878933,0.0,3.1675437381878933,0.0,3.1675437381878933,0.0,3.1675437381878933,11,0,3337357.0,0.3296,0.0
2020-03-26,11.0,3.2095186712356263,0.06,3.2182930415066466,0.0,3.2182930415066466,0.06,3.357944898206929,11,0,3337357.0,0.3296,0.0
2020-03-27,11.999999999999998,3.3171729475015876,0.05,3.3245054314343316,0.0,3.3245054314343316,0.05,3.4602523700803203,12,0,3337357.0,0.35957,0.0
2020-03-28,14.000000000000002,3.5322468312347137,0.09,3.5444982263738933,0.0,3.5444982263738933,0.09,3.673964225644165,14,0,3337357.0,0.41949,0.0
2020-03-29,17.0,3.949555658424109,0.21,3.9747062657496963,0.0,3.9747062657496963,0.21,4.089763891335132,17,0,3337357.0,0.50939,0.0
2020-03-30,17.0,4.051511751772106,0.37,4.093561710142828,0.0,4.093561710142828,0.37,4.205248644446148,17,0,3337357.0,0.50939,0.0
2020-03-31,18.0,4.075152596758641,0.45000000000000007,4.125211350569652,0.0,4.125211350569652,0.45000000000000007,4.2368507219872695,18,1,3337357.0,0.53935,0.0556
2020-04-01,18.0,4.159302583342306,0.2,4.1821523142752675,0.0,4.1821523142752675,0.2,4.292569807883798,18,1,3337357.0,0.53935,0.0556
2020-04-02,18.0,4.156144289306539,0.16999999999999998,4.175671844570087,0.0,4.175671844570087,0.16999999999999998,4.601610719315706,18,1,3337357.0,0.53935,0.0556
2020-04-03,23.000000000000004,4.713252324536368,0.53,4.764582612857865,0.0,4.764582612857865,0.53,5.29436855383514,23,2,3337357.0,0.68917,0.087
2020-04-04,23.0,4.725559129977012,0.56,4.781015487415733,0.0,4.781015487415733,0.56,5.421275708081107,23,2,3337357.0,0.68917,0.087
2020-04-05,28.0,5.062917272989093,0.82,5.139331796365294,0.0,5.139331796365294,0.82,5.744562998210051,28,2,3337357.0,0.83899,0.0714
2020-04-06,30.999999999999996,5.506891917030749,0.8,5.57227588924477,0.0,5.57227588924477,0.8,6.196590460352639,31,2,3337357.0,0.9288799999999999,0.0645
