,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-13,2.0,1.3700991632621773,0.0,1.3700991632621773,0.0,1.3700991632621773,0.0,1.3700991632621773,2,0,4144597.0,0.048260000000000004,0.0
2020-03-18,2.0,1.3676640854043993,0.0,1.3676640854043993,0.0,1.3676640854043993,0.0,1.3676640854043993,2,0,4144597.0,0.048260000000000004,0.0
2020-03-19,3.0,1.6414455319453747,0.0,1.6414455319453747,0.0,1.6414455319453747,0.0,1.6414455319453747,3,0,4144597.0,0.07238,0.0
2020-03-20,7.0,2.5097386076617383,0.0,2.5097386076617383,0.0,2.5097386076617383,0.0,2.5097386076617383,7,0,4144597.0,0.16889,0.0
2020-03-21,11.000000000000002,3.1496031496047245,0.03,3.154219396300771,0.0,3.154219396300771,0.03,3.154219396300771,11,0,4144597.0,0.26541,0.0
2020-03-22,26.0,4.965720878017998,0.6000000000000001,5.022467903171093,0.0,5.022467903171093,0.6000000000000001,5.022467903171093,26,0,4144597.0,0.62732,0.0
2020-03-23,32.00000000000001,5.4719855868437985,0.5900000000000001,5.521098284094051,0.0,5.521098284094051,0.5900000000000001,5.521098284094051,32,0,4144597.0,0.7720899999999999,0.0
2020-03-24,47.0,6.665954507416736,1.4900000000000002,6.76157152553676,0.79,6.773828274687033,1.4900000000000002,6.76157152553676,47,1,4144597.0,1.13401,0.0213
2020-03-25,54.0,7.174970523995345,1.51,7.271086715216787,0.84,7.280322933785426,1.51,7.271086715216787,54,1,4144597.0,1.3029,0.0185
2020-03-26,67.0,7.99791639532864,2.2600000000000002,8.126159404458337,1.83,8.134836609709298,2.2600000000000002,8.126159404458337,67,1,4144597.0,1.61656,0.0149
2020-03-27,80.99999999999999,8.473488065725943,2.7699999999999996,8.610952328285181,1.72,8.623810062843452,2.7699999999999996,8.610952328285181,81,1,4144597.0,1.95435,0.0123
2020-03-28,111.0,10.154960971034422,3.7600000000000002,10.329580452430406,2.57,10.34530484438387,3.7600000000000002,10.329580452430406,111,1,4144597.0,2.6781900000000003,0.009000000000000001
2020-03-29,140.0,11.721481617659576,5.04,11.90248424964853,4.3,11.927243240293683,5.04,11.90248424964853,140,1,4144597.0,3.3778900000000003,0.0071
2020-03-30,151.00000000000003,12.516243990765107,6.34,12.73243745856871,5.15,12.756271541338542,6.34,12.73243745856871,151,2,4144597.0,3.6433,0.0132
2020-03-31,175.00000000000003,13.153453285481094,7.2,13.405108478984173,5.94,13.434036375316742,7.2,13.405108478984173,175,3,4144597.0,4.22236,0.0171
2020-04-01,200.00000000000003,13.685803305659926,7.89,13.958929476188786,6.23,13.982446571369838,7.89,14.025769753269058,200,3,4144597.0,4.82556,0.015
2020-04-02,228.99999999999997,14.858205228972396,9.790000000000001,15.167424389996565,7.88,15.197906521171351,9.790000000000001,15.255985909163856,229,3,4144597.0,5.52527,0.0131
2020-04-03,260.0,15.512601589701454,10.76,15.842392751122164,8.78,15.873027691048991,10.76,16.039956233094777,260,7,4144597.0,6.27323,0.0269
2020-04-04,311.00000000000006,17.12939466578319,13.129999999999999,17.46271632983144,11.26,17.513390922838493,13.1,17.745296887236396,311,12,4144597.0,7.50375,0.0386
2020-04-05,417.0,19.35754492322168,17.820000000000004,19.76579230525671,14.66,19.819963306084738,17.220000000000002,20.3939140258296,417,15,4144597.0,10.06129,0.036000000000000004
2020-04-06,532.0,22.316108237519526,23.509999999999998,22.804924618789837,20.26,22.85819299220056,22.919999999999998,23.463740390894905,532,19,4144597.0,12.835989999999999,0.0357
2020-04-07,636.0000000000001,23.802957969143417,28.14,24.287655466940574,24.32,24.367351273390558,26.65,25.21128829662931,636,23,4144597.0,15.345279999999999,0.0362
2020-04-08,804.0,26.506964969969534,36.41,27.109177263782684,31.22,27.181962620811472,34.9,28.067351031748508,804,30,4144597.0,19.39875,0.0373
2020-04-09,899.0000000000001,27.924067313941485,41.279999999999994,28.56264580450374,36.11,28.650700433907986,39.019999999999996,29.696114257932834,899,40,4144597.0,21.69089,0.0445
2020-04-10,981.0,29.668903558841514,44.28,30.350397664344342,38.44,30.433091173652382,41.510000000000005,31.548298502198794,981,50,4144597.0,23.66937,0.051
2020-04-11,1049.0,30.31946736026379,46.67000000000001,31.01393559369886,40.38,31.104980324862787,42.91000000000001,32.68890382581425,1049,53,4144597.0,25.31006,0.0505
2020-04-12,1205.9999999999998,33.00334540740996,54.86,33.75414949425934,47.26,33.85668335913616,49.82,35.79122433493914,1206,62,4144597.0,29.09812,0.0514
2020-04-13,1275.0,33.70776669186992,57.089999999999996,34.388643988292635,49.86,34.48592807731198,50.75,36.6700667982743,1275,71,4144597.0,30.762940000000004,0.0557
2020-04-14,1484.0,35.743658051591346,66.15,36.53697840420156,57.58,36.62341315209563,58.95,38.91847535865742,1484,90,4144597.0,35.80565,0.0606
2020-04-15,1554.0,38.30584785379355,71.23,39.11399851457251,61.78,39.20021020094128,63.34,41.530188922267044,1554,106,4144597.0,37.4946,0.0682
2020-04-16,1719.0,40.227547222712396,78.12999999999998,41.141580615668566,67.62,41.23548539250575,68.33999999999997,43.84837988092397,1719,124,4144597.0,41.47569,0.0721
2020-04-17,1809.0,40.547221504280316,82.80999999999999,41.4210679692976,71.97,41.55302602359029,72.04999999999998,44.3473367835993,1809,145,4144597.0,43.64719,0.0802
2020-04-18,1897.0,42.09772661152364,86.60999999999999,43.004849562096894,75.89,43.10423396672983,73.47999999999999,46.415121969835944,1897,161,4144597.0,45.77043,0.0849
2020-04-19,2043.9999999999998,44.312795425066994,93.69,45.23487745516548,81.38,45.35074132121589,75.86999999999999,49.36477168830404,2044,182,4144597.0,49.31722,0.08900000000000001
2020-04-20,2160.0000000000005,44.13528330398744,99.62,45.08600040282164,86.08,45.233848303269895,76.11000000000001,50.52536015895305,2160,185,4144597.0,52.116040000000005,0.0856
2020-04-21,2270.0,44.568895708178204,102.75999999999999,45.51625055566929,89.63,45.64123316307815,74.61999999999999,51.59088362033813,2270,193,4144597.0,54.7701,0.085
2020-04-22,2479.0,47.11108085571737,112.56,48.10964705123016,98.51,48.20879628650708,76.15,55.221785839586275,2479,206,4144597.0,59.81281,0.0831
2020-04-23,2888.0,51.37477665905397,130.19,52.46275418587626,113.39,52.57583548330618,88.91,59.73412184104837,2888,234,4144597.0,69.68108000000001,0.081
2020-04-24,3194.0000000000005,53.69993134318355,147.02,54.94625033851379,127.76,55.0840523769142,102.74000000000001,62.77130765442492,3194,255,4144597.0,77.06419,0.0798
2020-04-25,3635.0,56.29914687980574,167.44999999999996,57.59744993829102,145.87,57.75378203541254,120.77999999999994,65.41659147650572,3635,287,4144597.0,87.70455,0.079
2020-04-26,3832.9999999999995,61.08575194682547,175.3,62.35395008264586,152.71,62.526162451481795,120.44000000000001,70.90386237004229,3833,304,4144597.0,92.48185,0.0793
2020-04-27,3928.0,59.049843695000924,178.03999999999996,60.285618852293794,155.84,60.45171825849155,120.94999999999996,69.40414019176072,3928,320,4144597.0,94.77399,0.0815
