,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-20,1.0,0.9577962922113122,0.0,0.9577962922113122,0.0,0.9577962922113122,0.0,0.9577962922113122,1,0,845731.0,0.11824000000000001,0.0
2020-03-21,1.0,0.9614803401237304,0.0,0.9614803401237304,0.0,0.9614803401237304,0.0,0.9614803401237304,1,0,845731.0,0.11824000000000001,0.0
2020-03-22,1.0,0.962635271879577,0.0,0.962635271879577,0.0,0.962635271879577,0.0,0.962635271879577,1,0,845731.0,0.11824000000000001,0.0
2020-03-23,1.0,0.9589556609124115,0.0,0.9589556609124115,0.0,0.9589556609124115,0.0,0.9589556609124115,1,0,845731.0,0.11824000000000001,0.0
2020-03-24,1.0,0.9599031937722374,0.0,0.9599031937722374,0.0,0.9599031937722374,0.0,0.9599031937722374,1,0,845731.0,0.11824000000000001,0.0
2020-03-25,2.0,1.3758376695414662,0.0,1.3758376695414662,0.0,1.3758376695414662,0.0,1.3758376695414662,2,0,845731.0,0.23648000000000002,0.0
2020-03-26,2.0,1.3558701406786122,0.0,1.3558701406786122,0.0,1.3558701406786122,0.0,1.3558701406786122,2,0,845731.0,0.23648000000000002,0.0
2020-03-27,2.9999999999999996,1.6211979608557459,0.0,1.6211979608557459,0.0,1.6211979608557459,0.0,1.6211979608557459,3,0,845731.0,0.35472,0.0
2020-03-28,3.9999999999999996,1.8784261626385124,0.0,1.8784261626385124,0.0,1.8784261626385124,0.0,1.8784261626385124,4,0,845731.0,0.47296000000000005,0.0
2020-03-29,7.999999999999999,2.711852026593895,0.0,2.711852026593895,0.0,2.711852026593895,0.0,2.711852026593895,8,0,845731.0,0.9459299999999999,0.0
2020-03-30,8.0,2.6761950978992926,0.0,2.6761950978992926,0.0,2.6761950978992926,0.0,2.6761950978992926,8,0,845731.0,0.9459299999999999,0.0
2020-03-31,10.000000000000002,2.9880570356813556,0.05,2.9959948011444966,0.0,2.9959948011444966,0.05,2.9959948011444966,10,0,845731.0,1.18241,0.0
2020-04-01,11.0,3.252970670297871,0.16999999999999998,3.277150924479704,0.0,3.277150924479704,0.16999999999999998,3.277150924479704,11,0,845731.0,1.30065,0.0
2020-04-02,11.999999999999998,3.3608861265379932,0.2,3.388503438917475,0.0,3.388503438917475,0.2,3.388503438917475,12,0,845731.0,1.41889,0.0
2020-04-03,19.0,4.244901873917927,0.27,4.274212432623339,0.0,4.274212432623339,0.27,4.274212432623339,19,0,845731.0,2.24658,0.0
2020-04-04,29.0,5.2225811181209565,0.7100000000000001,5.28437825437899,0.0,5.28437825437899,0.7100000000000001,5.37113563222881,29,1,845731.0,3.42899,0.0345
2020-04-05,31.999999999999996,5.535176764854201,0.92,5.609240752381896,0.0,5.609240752381896,0.92,5.691243140549214,32,1,845731.0,3.7837099999999997,0.0312
2020-04-06,39.0,6.164512318197776,0.9600000000000001,6.236217773716062,0.0,6.236217773716062,0.9600000000000001,6.309517262105563,39,2,845731.0,4.6114,0.0513
2020-04-07,50.99999999999999,7.027679761363834,1.5300000000000002,7.125600524045875,0.95,7.128932797290409,1.5300000000000002,7.189965018669909,51,2,845731.0,6.03029,0.0392
2020-04-08,107.00000000000001,9.495708759670597,3.8600000000000003,9.672139621018966,2.89,9.677199225420798,3.8600000000000003,9.769504293535789,107,2,845731.0,12.65178,0.0187
2020-04-09,110.0,9.769484545400964,3.75,9.943185017026904,2.77,9.953091393272159,3.75,10.03520364124277,110,2,845731.0,13.0065,0.0182
2020-04-10,165.99999999999997,12.26244986810045,6.29,12.479149681275436,5.57,12.492969093361147,6.29,12.584016036065739,166,2,845731.0,19.62799,0.012
2020-04-11,193.0,13.69244427788663,7.76,13.935007366450522,6.51,13.948273380710257,7.76,14.061042463185835,193,5,845731.0,22.82049,0.0259
2020-04-12,236.99999999999997,15.103842577505256,9.709999999999999,15.390950607615522,8.29,15.41516333374579,9.709999999999999,15.628035769737732,237,5,845731.0,28.023090000000003,0.0211
2020-04-13,244.0,14.93944680057032,9.360000000000001,15.215645589559147,8.25,15.237564461129303,9.360000000000001,15.449203568763373,244,6,845731.0,28.85078,0.0246
2020-04-14,308.00000000000006,16.958416163895695,12.180000000000001,17.287332899781816,11.04,17.31734040746092,12.13,17.545023899566612,308,7,845731.0,36.4182,0.0227
2020-04-15,342.0,17.625876294570862,14.759999999999998,18.01663440133909,12.99,18.044085323216446,14.589999999999998,18.312259099666903,342,7,845731.0,40.438390000000005,0.0205
2020-04-16,362.0,18.231059079261282,15.01,18.605617838478654,13.96,18.628671856885425,14.81,18.91166229359732,362,10,845731.0,42.80321,0.0276
2020-04-17,375.0,18.69719905561399,14.4,19.024711627913117,12.96,19.049358323189065,14.13,19.498937008063912,375,10,845731.0,44.340340000000005,0.0267
2020-04-18,400.0,19.708763369002977,16.42,20.072482495579703,14.81,20.102200216278653,15.71,20.7564256814777,400,10,845731.0,47.29636,0.025
2020-04-19,416.0,19.233272937250902,18.110000000000003,19.62679515047701,16.63,19.658183738046297,17.19,20.41261055565823,416,11,845731.0,49.18822,0.0264
2020-04-20,435.0,20.003615834759636,18.0,20.426704248719286,16.4,20.45801179158538,17.04,21.357449721019098,435,13,845731.0,51.43479,0.0299
2020-04-21,466.0,20.685553442248562,19.799999999999997,21.095504763150874,17.48,21.12888830989745,18.269999999999996,22.266443452882278,466,13,845731.0,55.10026,0.0279
2020-04-22,492.0,21.805249113204116,21.700000000000003,22.226828133786633,19.19,22.267145952925556,17.840000000000003,24.240094342584023,492,14,845731.0,58.174530000000004,0.0285
2020-04-23,555.0,21.912488943914422,22.689999999999998,22.371313589442433,20.33,22.40617708840961,18.939999999999998,24.48147462878819,555,16,845731.0,65.6237,0.0288
2020-04-24,648.0,24.170288129909174,27.759999999999998,24.671555043872456,24.65,24.716252310632136,21.47,27.648052463971222,648,18,845731.0,76.62011,0.0278
2020-04-25,689.0,24.92359638105337,29.41,25.43865084012233,26.65,25.491811559119462,21.65,29.005333765855667,689,20,845731.0,81.46798000000001,0.028999999999999998
2020-04-26,820.9999999999999,28.268789228483847,36.190000000000005,28.794571440541436,33.32,28.832706158882214,26.480000000000004,32.64978874434726,821,23,845731.0,97.07578000000001,0.027999999999999997
2020-04-27,842.0000000000001,27.89056898637671,36.80000000000001,28.423877961739116,33.03,28.478165994035475,27.440000000000012,32.24023432127796,842,26,845731.0,99.55884,0.0309
2020-04-28,918.0,29.33068169833236,39.14,29.926437958582525,35.78,29.965034438306407,26.96,34.560722904429646,918,28,845731.0,108.54515,0.0305
2020-04-29,1016.0,29.289143712200595,44.39,29.975277136232442,40.76,30.017655461310422,29.630000000000003,34.973080426886256,1016,31,845731.0,120.13276,0.0305
2020-04-30,1079.9999999999998,31.328191067400553,46.56,32.01408995357444,42.62,32.06302474121174,31.550000000000004,37.02797551456292,1080,34,845731.0,127.70018,0.0315
2020-05-01,1121.0000000000002,31.800937029584457,49.510000000000005,32.503927392848944,45.26,32.5480828307843,35.11000000000001,37.66224831956861,1121,37,845731.0,132.54806000000002,0.033
2020-05-02,1187.0,32.07616566923802,52.53000000000001,32.77188893000225,47.83,32.82769873202208,36.11000000000001,38.4304730334634,1187,40,845731.0,140.35196000000002,0.0337
2020-05-03,1482.0000000000002,36.51561448216504,66.45,37.290567185417025,61.05,37.3595222267376,48.34,42.14021225491026,1482,43,845731.0,175.23301999999998,0.028999999999999998
2020-05-04,1733.0,40.63739632159004,76.28999999999999,41.48122804110289,70.18,41.55935369803025,58.28999999999999,46.2378905905387,1733,49,845731.0,204.91149,0.0283
2020-05-05,1930.9999999999998,43.171579222044365,85.88,44.09749939084134,78.51,44.163099444278735,66.08,48.883635029909286,1931,55,845731.0,228.32318999999998,0.0285
2020-05-06,2046.0000000000005,42.82113845975956,88.27999999999999,43.66302439123863,81.19,43.72177488380246,66.57999999999998,48.99481184654951,2046,56,845731.0,241.92088999999999,0.0274
