,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor
2020-03-06,1.0,0.9593769021630867,0.0,0.9593769021630867,0.0,0.9593769021630867,0.0,0.9593769021630867
2020-03-07,2.0,1.3651506743346558,0.0,1.3651506743346558,0.0,1.3651506743346558,0.0,1.3651506743346558
2020-03-09,2.0,1.3852761092973127,0.0,1.3852761092973127,0.0,1.3852761092973127,0.0,1.3852761092973127
2020-03-10,2.0,1.3615202436017522,0.0,1.3615202436017522,0.0,1.3615202436017522,0.0,1.3615202436017522
2020-03-11,3.0,1.688822433567606,0.0,1.688822433567606,0.0,1.688822433567606,0.0,1.688822433567606
2020-03-12,2.9999999999999996,1.7009207251166392,0.0,1.7009207251166392,0.0,1.7009207251166392,0.0,1.7009207251166392
2020-03-13,7.0,2.5598689991734522,0.0,2.5598689991734522,0.0,2.5598689991734522,0.0,2.5598689991734522
2020-03-15,9.000000000000002,2.9242628355387503,0.0,2.9242628355387503,0.0,2.9242628355387503,0.0,2.9242628355387503
2020-03-16,10.0,3.0481655354184976,0.0,3.0481655354184976,0.0,3.0481655354184976,0.0,3.0481655354184976
2020-03-17,13.999999999999998,3.4545826685927516,0.2,3.4818014610459076,0.0,3.4818014610459076,0.2,3.4818014610459076
2020-03-18,27.0,4.951930548949184,0.8300000000000001,5.0306973832279125,0.0,5.0306973832279125,0.8300000000000001,5.0306973832279125
2020-03-19,31.0,5.332462050043255,1.0,5.414217534893801,0.88,5.4239608696183925,1.0,5.414217534893801
2020-03-20,34.0,5.624728949698444,0.9099999999999999,5.695144928583974,0.0,5.695144928583974,0.9099999999999999,5.695144928583974
2020-03-21,41.00000000000001,6.191718157133264,1.26,6.282815749118682,0.91,6.28933015013314,1.26,6.282815749118682
2020-03-22,55.0,7.282509834868023,2.29,7.412937979974571,1.86,7.42105447325038,2.29,7.412937979974571
2020-03-23,62.99999999999999,7.669288089384815,3.34,7.846335437513476,2.66,7.8707928316008795,3.34,7.964208445389671
2020-03-24,79.0,8.537759268879238,3.85,8.73756449666229,2.68,8.755720035116092,3.85,8.846695610922943
2020-03-25,91.00000000000001,8.733252370663347,4.1899999999999995,8.93571468712475,3.43,8.961701678235947,4.1899999999999995,9.038845852399207
2020-03-26,108.0,9.808283450350743,5.289999999999999,10.043342284440188,4.39,10.074056990231108,5.289999999999999,10.184343152827553
2020-03-27,123.00000000000001,10.736965318115928,6.430000000000001,10.99941472272158,5.36,11.024405845324466,6.430000000000001,11.130150742714834
2020-03-28,126.99999999999999,10.391177298870694,6.94,10.657934399149099,5.42,10.680597626376796,6.94,10.961044427858823
2020-03-29,156.0,12.25251983978163,8.06,12.517205855311419,7.17,12.544382903285536,8.06,12.85425048595038
2020-03-30,176.0,12.963164596796432,9.400000000000002,13.27726012261703,8.1,13.302467303610873,9.400000000000002,13.622663083808154
2020-03-31,216.99999999999997,14.273193069668766,12.48,14.635786292647227,10.71,14.665338059657556,12.280000000000001,15.044240818937388
2020-04-01,245.99999999999997,15.231977262099997,14.68,15.65041633034506,12.58,15.693920202203506,13.85,16.439082926816432
2020-04-02,267.0,15.966815334286043,15.25,16.380527827856827,13.45,16.41856241938349,14.25,17.25211417288743
2020-04-03,289.99999999999994,16.745214905226575,16.37,17.178210681622875,14.45,17.21796800502958,15.46,18.09766830229237
2020-04-04,336.0,17.921089658429104,18.549999999999997,18.370148462803847,15.98,18.412548833484585,17.289999999999996,19.41484298887911
2020-04-05,401.0,19.585286169556838,24.47,20.11936714569905,21.4,20.171488153912552,22.18,21.44156206619247
2020-04-06,436.99999999999994,20.47744262757575,25.99,20.99298350796419,22.56,21.048319566313516,22.65,22.411388541624017
2020-04-07,462.0,20.99102742419323,28.39,21.51434712751545,25.36,21.573537779493478,24.54,23.220942393808343
2020-04-08,515.0,21.800037067895463,30.659999999999997,22.370033888253637,26.68,22.42578908671033,26.47,24.088698867546025
2020-04-09,568.0,22.883737774792266,34.36000000000001,23.49211473123385,30.09,23.563559886940993,29.070000000000007,25.548936940465424
2020-04-10,616.0000000000001,23.658910380743247,36.669999999999995,24.323949934252873,32.31,24.407139127805216,30.239999999999995,26.695349120145714
2020-04-11,640.0,24.281156180349928,37.440000000000005,24.92565636958324,33.19,24.98924259465552,30.500000000000004,27.108668560279963
2020-04-12,674.0,25.49566808124649,41.31,26.188504938409352,36.58,26.25759682280713,33.25,29.0261646335394
2020-04-13,723.0,26.5821729584306,42.769999999999996,27.220757138476497,37.33,27.292319783996362,33.36999999999999,30.28622220673215
2020-04-14,776.0,26.732649428265532,47.96,27.512363501788528,42.03,27.593101410579884,35.480000000000004,31.163061240170002
