,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor
2020-03-16,9.0,2.9114542168074116,0.0,2.9114542168074116,0.0,2.9114542168074116,0.0,2.9114542168074116
2020-03-17,10.0,3.070156117505848,0.0,3.070156117505848,0.0,3.070156117505848,0.0,3.070156117505848
2020-03-18,19.000000000000004,4.203317593030389,0.36,4.2426264021097575,0.0,4.2426264021097575,0.36,4.2426264021097575
2020-03-19,24.0,4.72455438548591,0.78,4.7987513106446915,0.0,4.7987513106446915,0.78,4.7987513106446915
2020-03-20,68.0,7.817837671542296,3.39,8.005291116417059,2.58,8.027968974690042,3.39,8.005291116417059
2020-03-21,84.00000000000001,8.846525312291268,3.8999999999999995,9.027901755170474,2.53,9.045004704311111,3.8999999999999995,9.027901755170474
2020-03-22,124.99999999999999,10.766061527229017,6.34,11.022008927962306,5.15,11.047722878859732,6.34,11.022008927962306
2020-03-23,164.0,12.57656149310689,8.81,12.86495235086003,6.97,12.894808993928487,8.81,12.86495235086003
2020-03-24,184.99999999999997,13.004373778607617,10.44,13.378211292012747,8.58,13.426099112316182,10.44,13.378211292012747
2020-03-25,211.0,14.48835826629523,11.72,14.855669801544638,9.67,14.88999749001071,11.72,14.855669801544638
2020-03-26,237.0,15.006564220266066,13.120000000000001,15.389319988127145,11.41,15.436096323130718,13.120000000000001,15.389319988127145
2020-03-27,282.0,16.311153771997166,16.340000000000003,16.723783584277136,13.96,16.779849146334342,16.340000000000003,16.723783584277136
2020-03-28,322.0,17.189772622937245,18.44,17.654016053812878,15.46,17.714758898395505,18.44,17.654016053812878
2020-03-29,359.0,18.74465849841555,19.99,19.206496875334196,16.48,19.26704757408935,19.99,19.206496875334196
2020-03-30,382.0,19.245784006379214,22.64,19.740881490455333,19.11,19.809601258485795,22.64,19.740881490455333
2020-03-31,401.0,19.571387071927017,24.189999999999998,20.06222051317331,20.77,20.117897303624748,24.189999999999998,20.29577666671198
2020-04-01,445.0,20.406089406069086,26.529999999999998,20.98017123019936,22.31,21.036670003793017,26.169999999999998,21.40484673237264
2020-04-02,563.0,22.7236849693411,32.89000000000001,23.323639479846594,27.63,23.38301217948318,32.11000000000001,23.812185383271164
2020-04-03,657.9999999999999,24.916381370617618,38.18,25.577729778189084,32.96,25.66512537678436,34.79,26.80121166038294
2020-04-04,745.0,26.041078660028237,42.82,26.79093461934051,36.31,26.859413206132743,38.92,28.271137010717982
2020-04-05,959.9999999999999,30.200979982762018,57.339999999999996,30.996719050880078,49.11,31.092032611574176,51.0,32.898043600300504
2020-04-06,1045.0,30.61313509596886,61.43,31.457745316599542,53.09,31.575174431886207,52.62,33.98671416000581
2020-04-07,1187.9999999999998,32.80099776752919,71.61,33.7040702964116,61.21,33.8427282373253,61.17,36.262113726576835
2020-04-08,1394.0,36.15352505271614,82.97000000000001,37.074736327280526,70.41,37.19056296612589,71.25000000000001,39.94029292568971
2020-04-09,1445.0,36.85150107272608,86.43999999999998,37.75605026102613,73.67,37.88139954269287,73.31999999999998,40.77193276029604
2020-04-10,1558.0000000000002,37.877772592453965,91.08,38.92290144074124,78.47,39.05126574857282,74.74,42.36363055663896
2020-04-11,1667.9999999999995,39.14638675484107,99.25999999999999,40.17723977527073,85.52,40.27729131855314,80.82,43.88479097350105
