,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-07,1.0,0.9619004757523124,0.0,0.9619004757523124,0.0,0.9619004757523124,0.0,0.9619004757523124,1,0,3015268.0,0.03316,0.0
2020-03-08,1.0,0.9596927117625209,0.0,0.9596927117625209,0.0,0.9596927117625209,0.0,0.9596927117625209,1,0,3015268.0,0.03316,0.0
2020-03-09,1.0,0.9648363026488438,0.0,0.9648363026488438,0.0,0.9648363026488438,0.0,0.9648363026488438,1,0,3015268.0,0.03316,0.0
2020-03-10,1.0,0.9587449708822047,0.0,0.9587449708822047,0.0,0.9587449708822047,0.0,0.9587449708822047,1,0,3015268.0,0.03316,0.0
2020-03-11,2.0,1.3625584965665356,0.0,1.3625584965665356,0.0,1.3625584965665356,0.0,1.3625584965665356,2,0,3015268.0,0.06633,0.0
2020-03-12,2.0,1.3705414398637643,0.0,1.3705414398637643,0.0,1.3705414398637643,0.0,1.3705414398637643,2,0,3015268.0,0.06633,0.0
2020-03-13,2.0,1.371867414154955,0.0,1.371867414154955,0.0,1.371867414154955,0.0,1.371867414154955,2,0,3015268.0,0.06633,0.0
2020-03-14,7.999999999999999,2.724746304565331,0.0,2.724746304565331,0.0,2.724746304565331,0.0,2.724746304565331,8,0,3015268.0,0.26532,0.0
2020-03-15,14.000000000000002,3.7054423528511458,0.19999999999999998,3.7311530430019935,0.0,3.7311530430019935,0.19999999999999998,3.7311530430019935,14,0,3015268.0,0.4643,0.0
2020-03-16,18.999999999999996,4.195066847928155,0.36,4.23483008615291,0.0,4.23483008615291,0.36,4.23483008615291,19,0,3015268.0,0.63013,0.0
2020-03-18,34.00000000000001,5.800069661720286,1.29,5.895346307114458,0.65,5.914609715003017,1.29,5.895346307114458,34,0,3015268.0,1.1275899999999999,0.0
2020-03-19,42.0,5.880785352623947,1.4100000000000001,5.987431533106359,0.68,6.005575439842244,1.4100000000000001,5.987431533106359,42,0,3015268.0,1.39291,0.0
2020-03-20,87.0,9.114911747330096,4.07,9.315713400573044,2.94,9.353016420471857,4.07,9.315713400573044,87,0,3015268.0,2.88532,0.0
2020-03-21,108.00000000000001,10.19552288353505,6.01,10.45011898825496,4.23,10.510094522347877,6.01,10.45011898825496,108,0,3015268.0,3.5817699999999997,0.0
2020-03-22,117.0,10.217167173463741,5.359999999999999,10.444563420770876,3.48,10.488970638270708,5.359999999999999,10.444563420770876,117,0,3015268.0,3.88025,0.0
2020-03-23,138.00000000000003,11.11220095665166,6.569999999999999,11.383405031053323,4.24,11.440468089243994,6.569999999999999,11.423787471851016,138,0,3015268.0,4.57671,0.0
2020-03-24,161.0,12.086197152792172,8.33,12.389054104981607,5.74,12.448335696636784,8.33,12.426567132843676,161,0,3015268.0,5.3394900000000005,0.0
2020-03-25,194.99999999999997,13.606556648850724,9.99,13.93402611732818,6.6,14.000610123790457,9.99,13.966970886973874,195,0,3015268.0,6.46709,0.0
2020-03-26,200.99999999999997,13.781219837228496,10.680000000000001,14.111981441385906,6.87,14.188062595083947,10.680000000000001,14.177608608597781,201,0,3015268.0,6.6660699999999995,0.0
2020-03-27,240.99999999999994,14.555140714267287,13.3,14.921284167662018,9.47,15.005792921805938,13.3,14.984095069456314,241,0,3015268.0,7.992660000000001,0.0
2020-03-28,260.0,15.380001444877841,14.440000000000001,15.810858434773378,10.23,15.887741955496523,14.440000000000001,15.87026353424746,260,0,3015268.0,8.62278,0.0
2020-03-29,298.0,16.28754249124282,16.27,16.698213689015972,11.44,16.821912507323308,16.27,16.919059750124497,298,1,3015268.0,9.88304,0.0034
