,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-12,3.0,1.6626618551119905,0.0,1.6626618551119905,0.0,1.6626618551119905,0.0,1.6626618551119905,3,0,7018354.0,0.04275,0.0
2020-03-13,2.9999999999999996,1.7188203612778838,0.0,1.7188203612778838,0.0,1.7188203612778838,0.0,1.7188203612778838,3,0,7018354.0,0.04275,0.0
2020-03-14,3.9999999999999996,1.864121641671888,0.0,1.864121641671888,0.0,1.864121641671888,0.0,1.864121641671888,4,0,7018354.0,0.05699,0.0
2020-03-15,4.0,1.942350965383772,0.0,1.942350965383772,0.0,1.942350965383772,0.0,1.942350965383772,4,0,7018354.0,0.05699,0.0
2020-03-16,9.0,2.8504119851082024,0.0,2.8504119851082024,0.0,2.8504119851082024,0.0,2.8504119851082024,9,0,7018354.0,0.12824000000000002,0.0
2020-03-17,10.0,3.0337495551934346,0.0,3.0337495551934346,0.0,3.0337495551934346,0.0,3.0337495551934346,10,0,7018354.0,0.14248,0.0
2020-03-18,12.0,3.3393581915262,0.07,3.3494496758890304,0.0,3.3494496758890304,0.07,3.3494496758890304,12,0,7018354.0,0.17098,0.0
2020-03-19,15.0,3.671181793043727,0.23,3.700874998912521,0.0,3.700874998912521,0.23,3.700874998912521,15,0,7018354.0,0.21373000000000003,0.0
2020-03-20,17.999999999999996,4.223383678636089,0.52,4.2776827485181395,0.0,4.2776827485181395,0.52,4.2776827485181395,18,0,7018354.0,0.25647,0.0
2020-03-21,19.0,4.278983170064704,0.30000000000000004,4.311646665683191,0.0,4.311646665683191,0.30000000000000004,4.311646665683191,19,0,7018354.0,0.27071999999999996,0.0
2020-03-22,21.0,4.44574475927785,0.42000000000000004,4.489593129076004,0.0,4.489593129076004,0.42000000000000004,4.489593129076004,21,0,7018354.0,0.29922,0.0
2020-03-23,23.0,4.570524802437568,0.67,4.635191147050676,0.0,4.635191147050676,0.67,4.635191147050676,23,0,7018354.0,0.32771,0.0
2020-03-24,29.0,5.117172514724763,0.8600000000000001,5.191613867137517,0.0,5.191613867137517,0.8600000000000001,5.191613867137517,29,0,7018354.0,0.4132,0.0
2020-03-25,35.0,5.537712761263681,0.91,5.615867041362591,0.0,5.615867041362591,0.91,5.615867041362591,35,0,7018354.0,0.49868999999999997,0.0
2020-03-26,38.0,5.808927298876821,1.37,5.9137074973011945,0.91,5.920628037939586,1.37,5.9137074973011945,38,1,7018354.0,0.5414399999999999,0.0263
2020-03-27,48.99999999999999,6.6470012985275,1.9500000000000002,6.779611070159281,0.87,6.787947131690573,1.9500000000000002,6.994102494028073,49,1,7018354.0,0.69817,0.0204
2020-03-28,56.0,7.395466806965555,2.9200000000000004,7.56225689149273,1.82,7.573330132308328,2.9200000000000004,7.788624961305993,56,1,7018354.0,0.79791,0.0179
2020-03-29,55.99999999999999,7.173548492886766,2.24,7.308515442947219,1.69,7.3258649987423325,2.24,7.562216953547766,56,1,7018354.0,0.79791,0.0179
2020-03-30,59.99999999999999,7.596676572653002,2.3499999999999996,7.738242368231623,1.64,7.755694356374222,2.3499999999999996,8.246529175013173,60,1,7018354.0,0.8549,0.0167
2020-03-31,65.0,7.704295010976775,2.97,7.874583266190131,1.66,7.892620706467632,2.97,8.438761637811437,65,1,7018354.0,0.92614,0.0154
2020-04-01,72.99999999999999,8.208187585231192,3.5200000000000005,8.382192042320641,2.61,8.402323692547407,3.4500000000000006,9.026624871216073,73,1,7018354.0,1.04013,0.0137
2020-04-02,73.0,8.32576626133498,3.37,8.509387982598035,2.53,8.531048226237141,3.14,9.279340472035694,73,1,7018354.0,1.04013,0.0137
2020-04-03,87.99999999999999,9.126020075818507,4.720000000000001,9.350114567439398,3.22,9.383828772108028,4.200000000000001,10.282179346870592,88,2,7018354.0,1.25386,0.0227
2020-04-04,103.0,9.808242256470635,5.09,10.02569280207688,4.25,10.058927187410006,4.79,10.913515159256121,103,2,7018354.0,1.4675799999999999,0.0194
