,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-20,1.0,0.961165117884739,0.0,0.961165117884739,0.0,0.961165117884739,0.0,0.961165117884739,1,0,7075181.0,0.014130000000000002,0.0
2020-03-21,2.0,1.3723827248382081,0.0,1.3723827248382081,0.0,1.3723827248382081,0.0,1.3723827248382081,2,0,7075181.0,0.02827,0.0
2020-03-22,2.0,1.3476504057661307,0.0,1.3476504057661307,0.0,1.3476504057661307,0.0,1.3476504057661307,2,0,7075181.0,0.02827,0.0
2020-03-23,8.0,2.729080209132518,0.0,2.729080209132518,0.0,2.729080209132518,0.0,2.729080209132518,8,0,7075181.0,0.11307,0.0
2020-03-24,7.999999999999999,2.667537736519875,0.0,2.667537736519875,0.0,2.667537736519875,0.0,2.667537736519875,8,0,7075181.0,0.11307,0.0
2020-03-25,7.999999999999999,2.789373775707741,0.0,2.789373775707741,0.0,2.789373775707741,0.0,2.789373775707741,8,0,7075181.0,0.11307,0.0
2020-03-26,10.0,3.041065735573766,0.09,3.054501728282505,0.0,3.054501728282505,0.09,3.054501728282505,10,0,7075181.0,0.14134000000000002,0.0
2020-03-27,12.999999999999998,3.528241041721052,0.15000000000000002,3.5482932303411525,0.0,3.5482932303411525,0.15000000000000002,3.5482932303411525,13,0,7075181.0,0.18374000000000001,0.0
2020-03-28,14.999999999999998,3.8247466411106075,0.15000000000000002,3.843330179504081,0.0,3.843330179504081,0.15000000000000002,3.843330179504081,15,0,7075181.0,0.21201,0.0
2020-03-29,21.0,4.217112804282145,0.44,4.264368699355207,0.0,4.264368699355207,0.44,4.264368699355207,21,1,7075181.0,0.29681,0.0476
2020-03-30,30.0,5.252877999033223,0.8600000000000001,5.327450353849136,0.0,5.327450353849136,0.8600000000000001,5.327450353849136,30,1,7075181.0,0.42402,0.0333
2020-03-31,51.0,7.077735756182442,1.4899999999999998,7.173788638811673,0.93,7.178324556213896,1.4899999999999998,7.173788638811673,51,1,7075181.0,0.72083,0.0196
2020-04-01,70.0,7.8360343505777434,2.59,7.9740789025087,1.86,7.981624793451165,2.59,7.9740789025087,70,1,7075181.0,0.9893700000000001,0.0143
2020-04-02,80.0,8.293541359565786,3.11,8.461154075114594,2.82,8.472232780255055,3.11,8.461154075114594,80,1,7075181.0,1.13071,0.0125
2020-04-03,87.0,9.048734494922257,3.29,9.207741088866257,2.83,9.215399934869673,3.29,9.207741088866257,87,1,7075181.0,1.22965,0.0115
2020-04-04,94.99999999999999,9.60777252693323,3.9000000000000004,9.776629937217269,2.77,9.788748282047758,3.9000000000000004,9.872483338690792,95,2,7075181.0,1.3427200000000001,0.0211
2020-04-05,132.0,10.7679847208981,6.27,11.016505568895019,5.64,11.032397515929842,6.27,11.09862858940944,132,2,7075181.0,1.86568,0.0152
2020-04-06,171.0,12.642512855960693,8.260000000000002,12.928562615895526,7.48,12.948255917811146,8.260000000000002,13.213463213745674,171,4,7075181.0,2.4169,0.0234
