,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-08,1.0,0.9702649851530981,0.0,0.9702649851530981,0.0,0.9702649851530981,0.0,0.9702649851530981,1,0,21168791.0,0.00472,0.0
2020-03-09,1.0,0.9680762971851534,0.0,0.9680762971851534,0.0,0.9680762971851534,0.0,0.9680762971851534,1,0,21168791.0,0.00472,0.0
2020-03-10,1.0,0.9637888196533975,0.0,0.9637888196533975,0.0,0.9637888196533975,0.0,0.9637888196533975,1,0,21168791.0,0.00472,0.0
2020-03-11,1.0,0.9630549036658022,0.0,0.9630549036658022,0.0,0.9630549036658022,0.0,0.9630549036658022,1,0,21168791.0,0.00472,0.0
2020-03-12,2.0,1.3865151432365397,0.0,1.3865151432365397,0.0,1.3865151432365397,0.0,1.3865151432365397,2,0,21168791.0,0.00945,0.0
2020-03-13,2.0,1.375397096011611,0.0,1.375397096011611,0.0,1.375397096011611,0.0,1.375397096011611,2,0,21168791.0,0.00945,0.0
2020-03-14,4.0,1.9867744530451181,0.0,1.9867744530451181,0.0,1.9867744530451181,0.0,1.9867744530451181,4,0,21168791.0,0.0189,0.0
2020-03-16,6.0,2.334847993235353,0.0,2.334847993235353,0.0,2.334847993235353,0.0,2.334847993235353,6,0,21168791.0,0.028339999999999997,0.0
2020-03-17,14.0,3.6913494288756525,0.17,3.7134028337982143,0.0,3.7134028337982143,0.17,3.7134028337982143,14,0,21168791.0,0.06614,0.0
2020-03-18,19.0,4.162555547601579,0.48,4.2150763559950715,0.0,4.2150763559950715,0.48,4.2150763559950715,19,0,21168791.0,0.08975,0.0
2020-03-19,29.000000000000004,5.398372369744815,0.9900000000000001,5.4771456291050225,0.0,5.4771456291050225,0.9900000000000001,5.4771456291050225,29,0,21168791.0,0.13699,0.0
2020-03-20,37.99999999999999,5.8930021845808565,1.62,6.017480764196488,0.72,6.034208709306859,1.62,6.017480764196488,38,0,21168791.0,0.17951,0.0
2020-03-21,54.99999999999999,7.040532004691898,2.74,7.2039080303048655,1.59,7.227599249342131,2.74,7.2039080303048655,55,0,21168791.0,0.25982,0.0
2020-03-22,83.00000000000001,8.586470447598055,4.45,8.816993520893316,3.13,8.86185503985902,4.45,8.816993520893316,83,0,21168791.0,0.39209,0.0
2020-03-23,128.00000000000003,11.001230417870117,7.69,11.296697336260307,5.22,11.354601301105676,7.69,11.296697336260307,128,0,21168791.0,0.6046600000000001,0.0
2020-03-24,130.0,10.969378866976594,7.430000000000001,11.250776538856005,5.2,11.294245115423728,7.430000000000001,11.292348933877506,130,0,21168791.0,0.61411,0.0
2020-03-25,133.0,11.068902658376127,8.139999999999999,11.388266156909317,6.09,11.458381476482886,8.139999999999999,11.42897611116127,133,0,21168791.0,0.6282800000000001,0.0
2020-03-26,153.0,11.994737903503243,9.22,12.328103559499223,7.03,12.405290700896025,9.22,12.365662623620787,153,0,21168791.0,0.7227600000000001,0.0
2020-03-27,188.99999999999997,13.534773770185485,12.229999999999999,13.910959744392224,8.94,13.99039674241231,12.229999999999999,13.97988645349186,189,0,21168791.0,0.8928200000000001,0.0
2020-03-28,204.99999999999997,14.252343418866,12.669999999999998,14.622099470640082,9.21,14.67486602764376,12.669999999999998,14.686643935937514,205,0,21168791.0,0.96841,0.0
