,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-14,2.0,1.3710572489133996,0.0,1.3710572489133996,0.0,1.3710572489133996,0.0,1.3710572489133996,2,0,2778986.0,0.07197,0.0
2020-03-15,2.0,1.34997194134702,0.0,1.34997194134702,0.0,1.34997194134702,0.0,1.34997194134702,2,0,2778986.0,0.07197,0.0
2020-03-16,4.0,1.9266341614118627,0.0,1.9266341614118627,0.0,1.9266341614118627,0.0,1.9266341614118627,4,0,2778986.0,0.14394,0.0
2020-03-17,6.0,2.365962336508715,0.0,2.365962336508715,0.0,2.365962336508715,0.0,2.365962336508715,6,0,2778986.0,0.21591,0.0
2020-03-18,7.0,2.532376214729813,0.0,2.532376214729813,0.0,2.532376214729813,0.0,2.532376214729813,7,0,2778986.0,0.25189,0.0
2020-03-19,9.0,2.9713106314700366,0.0,2.9713106314700366,0.0,2.9713106314700366,0.0,2.9713106314700366,9,0,2778986.0,0.32386,0.0
2020-03-20,11.999999999999998,3.288455472397246,0.07,3.298338884035325,0.0,3.298338884035325,0.07,3.298338884035325,12,0,2778986.0,0.43181,0.0
2020-03-21,16.0,3.9573738869113795,0.28,3.9899132923922145,0.0,3.9899132923922145,0.28,3.9899132923922145,16,0,2778986.0,0.57575,0.0
2020-03-22,21.0,4.294770134134132,0.49,4.346855243167238,0.0,4.346855243167238,0.49,4.346855243167238,21,0,2778986.0,0.75567,0.0
2020-03-23,21.0,4.507591800327957,0.42,4.550316894281522,0.0,4.550316894281522,0.42,4.550316894281522,21,0,2778986.0,0.75567,0.0
2020-03-24,24.0,4.658239143624114,0.68,4.724192197528793,0.0,4.724192197528793,0.68,4.724192197528793,24,0,2778986.0,0.86362,0.0
2020-03-25,23.999999999999993,4.645449603666155,0.73,4.713990031831,0.0,4.713990031831,0.73,4.713990031831,24,0,2778986.0,0.86362,0.0
2020-03-26,25.0,4.960388547831163,0.8200000000000001,5.033274733754809,0.0,5.033274733754809,0.8200000000000001,5.033274733754809,25,0,2778986.0,0.89961,0.0
2020-03-27,28.0,5.351654138694131,1.0,5.432642268749344,0.79,5.447889685025021,1.0,5.432642268749344,28,0,2778986.0,1.00756,0.0
2020-03-28,31.0,5.497915123669218,1.08,5.585899274697916,0.77,5.601729260422241,1.08,5.585899274697916,31,0,2778986.0,1.11551,0.0
2020-03-29,36.00000000000001,5.927593410176143,1.4500000000000002,6.035119189905336,0.78,6.049319270493469,1.4500000000000002,6.18426130421313,36,0,2778986.0,1.29544,0.0
2020-03-30,43.99999999999999,6.3195703728156785,2.03,6.451935345070477,1.59,6.475289159332554,2.03,6.733452969234201,44,0,2778986.0,1.58331,0.0
2020-03-31,48.0,6.779499698474524,2.17,6.9162356930353495,1.57,6.939698564175259,2.17,7.309725982510831,48,1,2778986.0,1.72725,0.0208
2020-04-01,51.00000000000001,6.753973764841082,2.42,6.912623352690469,1.5,6.939334378466109,2.42,7.3618809355416035,51,1,2778986.0,1.8352,0.0196
2020-04-02,53.0,6.937906417251926,2.14,7.080278628312975,1.51,7.104945140854042,2.14,7.678478516166619,53,1,2778986.0,1.90717,0.0189
2020-04-03,59.99999999999999,7.6008904316228225,2.3,7.723880847963372,1.5,7.751666617801321,2.23,8.398653150801906,60,1,2778986.0,2.1590599999999998,0.0167
2020-04-04,62.0,7.730485369005236,2.9400000000000004,7.890754339123987,1.54,7.911536136579548,2.66,8.842138435990023,62,1,2778986.0,2.23103,0.0161
2020-04-05,65.0,7.9475172414427835,3.0999999999999996,8.115788951360818,2.3,8.152056814266588,2.6099999999999994,9.206583557872097,65,1,2778986.0,2.33898,0.0154
2020-04-06,66.0,7.68372279299533,2.81,7.844290660065826,1.54,7.865195227049101,2.39,9.068532394934683,66,1,2778986.0,2.3749700000000002,0.0152
2020-04-07,79.99999999999999,8.6733074790568,3.95,8.87383584625401,2.39,8.899599014914246,3.27,10.053007238903916,80,2,2778986.0,2.87875,0.025
2020-04-08,85.0,8.920717007011934,3.99,9.114455108188967,2.37,9.139277428724437,3.2600000000000002,10.261334900459783,85,2,2778986.0,3.05867,0.0235
2020-04-09,89.00000000000001,9.515611839859204,4.23,9.70555349719266,3.06,9.734175295671877,3.41,10.933051871839044,89,2,2778986.0,3.20261,0.0225
2020-04-10,97.0,9.630328775448548,4.86,9.847539404502648,3.1,9.886558163649894,3.8600000000000003,11.24667214528077,97,2,2778986.0,3.4904800000000002,0.0206
2020-04-11,100.00000000000001,9.387763365685196,5.43,9.639429496090578,4.07,9.685231076752947,4.35,11.140954704026571,100,2,2778986.0,3.5984300000000005,0.02
2020-04-12,101.0,9.90138241546976,5.19,10.132012324181893,4.08,10.170116702249477,3.74,11.793232693953655,101,2,2778986.0,3.6344199999999995,0.0198
2020-04-13,113.0,10.124447858744913,5.879999999999999,10.363987863966479,3.91,10.410290315089414,3.849999999999999,12.208182261967346,113,4,2778986.0,4.06623,0.0354
2020-04-14,115.0,10.344588201108108,5.58,10.594512969009244,3.98,10.624655526204371,3.41,12.652194323994602,115,4,2778986.0,4.1382,0.0348
2020-04-15,121.0,10.512512986576011,6.1000000000000005,10.769806372118735,4.83,10.817108176075957,3.6800000000000006,12.797386096742214,121,4,2778986.0,4.3541099999999995,0.0331
2020-04-16,131.0,11.38674579491348,7.16,11.655598646057602,5.56,11.696126700663763,5.02,13.637570357381305,131,5,2778986.0,4.71395,0.0382
2020-04-17,143.0,11.608086697112354,7.21,11.881833897495655,5.52,11.928435637906455,4.91,14.17167287659478,143,5,2778986.0,5.14576,0.035
2020-04-18,161.0,12.235376759399136,8.78,12.53938772207178,6.22,12.589989850847559,5.839999999999999,14.815540775984132,161,5,2778986.0,5.793480000000001,0.0311
2020-04-19,168.0,12.21908591532364,9.899999999999999,12.567547915407388,7.29,12.617811244667617,6.799999999999999,14.960257046892307,168,5,2778986.0,6.04537,0.0298
2020-04-20,171.0,12.402028182128237,9.239999999999998,12.725953914355618,7.1,12.79687082963265,6.429999999999998,14.949341088820571,171,5,2778986.0,6.15332,0.0292
2020-04-21,172.99999999999997,12.661649724162084,8.690000000000001,12.951203563274488,6.24,13.002156503341043,4.740000000000001,15.699638096581603,173,6,2778986.0,6.22529,0.0347
2020-04-22,175.0,12.49610848515358,9.409999999999998,12.799133848535506,7.21,12.860938040155832,5.419999999999998,15.712769303719803,175,6,2778986.0,6.29726,0.0343
2020-04-23,186.00000000000003,13.275533811481857,10.450000000000001,13.614275521664677,7.94,13.679360291322032,6.220000000000001,16.71963715714748,186,7,2778986.0,6.69309,0.0376
2020-04-24,213.0,14.368793346075453,11.3,14.692597531485786,8.71,14.758669391995412,6.44,17.687466029520863,213,7,2778986.0,7.66467,0.0329
2020-04-25,217.00000000000003,13.834023348982827,13.010000000000002,14.21864627945298,10.16,14.281607123156764,7.580000000000002,17.178140266929454,217,7,2778986.0,7.8086,0.0323
2020-04-26,234.00000000000003,14.582991337981257,13.34,14.989270708197795,10.21,15.079261797702049,8.149999999999999,18.092426871512018,234,7,2778986.0,8.42034,0.0299
2020-04-27,238.0,14.986175447573492,13.999999999999998,15.392967697798063,10.2,15.463617123605157,8.12,18.556823515620852,238,9,2778986.0,8.56427,0.0378
2020-04-28,240.00000000000003,14.104881309946453,12.98,14.490151026392954,9.52,14.551085071831475,7.4,17.9501582672182,240,9,2778986.0,8.636239999999999,0.0375
2020-04-29,249.00000000000003,15.18255910609608,14.06,15.557933699887688,10.94,15.632840465190611,7.96,18.9218928837215,249,9,2778986.0,8.9601,0.0361
2020-04-30,254.99999999999997,14.796737287099287,14.530000000000001,15.205957199184613,11.05,15.279025961867935,7.370000000000001,19.15917832636395,255,9,2778986.0,9.17601,0.0353
2020-05-01,261.0,15.689287344354979,14.810000000000004,16.09578942996389,11.34,16.164121917807268,7.600000000000004,20.006309358335287,261,9,2778986.0,9.391910000000001,0.0345
2020-05-02,266.0,15.440233420541544,15.75,15.880740161617407,11.89,15.972345102733287,6.970000000000001,20.23447929958299,266,9,2778986.0,9.57184,0.0338
2020-05-03,272.0,15.956721771622444,15.590000000000002,16.382627069458966,11.68,16.48417634269209,5.690000000000003,20.647850500791368,272,10,2778986.0,9.78774,0.0368
2020-05-04,273.99999999999994,15.84553596761593,15.73,16.25827512687032,11.67,16.336848230335317,6.490000000000002,20.64658357044364,274,10,2778986.0,9.85971,0.0365
2020-05-05,283.00000000000006,16.005990040347932,15.27,16.413251267549562,11.99,16.49013999854814,6.579999999999998,20.907618011363493,283,10,2778986.0,10.18357,0.0353
2020-05-06,288.0,16.895334362844768,16.81,17.326113910289383,12.73,17.40664595010547,7.4,21.540938942048243,288,10,2778986.0,10.363489999999999,0.0347
2020-05-07,311.0,16.77085615469932,17.93,17.22924015044239,13.25,17.303011765632483,7.479999999999999,21.9589438302805,311,10,2778986.0,11.191130000000001,0.0322
2020-05-08,326.00000000000006,17.238387981537606,18.68,17.694705993658673,14.07,17.772105114533286,7.379999999999999,22.999457437605834,326,11,2778986.0,11.7309,0.0337
2020-05-09,346.00000000000006,18.484888723254763,19.78,18.909899817585263,15.01,18.985631701660893,6.77,23.65912536699768,346,11,2778986.0,12.45058,0.0318
2020-05-10,362.0,18.215550022611524,20.14,18.673871120532635,15.86,18.764164319954745,6.800000000000001,23.945598739432246,362,11,2778986.0,13.02633,0.0304
2020-05-11,384.99999999999994,19.758061901436843,22.31,20.242739688614535,17.35,20.353280082114775,8.31,25.43053213455166,385,11,2778986.0,13.85397,0.0286
2020-05-12,405.0,20.11099503286999,23.45,20.587511292337428,17.96,20.661171825724725,10.469999999999999,25.17558535525635,405,12,2778986.0,14.57366,0.0296
2020-05-13,430.0,19.326226488971674,25.210000000000004,19.891770416507182,20.09,19.99210920095802,11.150000000000004,25.253352872700514,430,13,2778986.0,15.473270000000001,0.0302
2020-05-14,452.00000000000006,20.928328874875547,27.080000000000002,21.43643509296612,21.66,21.538921734732902,12.55,26.281968796845945,452,14,2778986.0,16.26493,0.031
2020-05-15,479.0,21.152825347977046,27.730000000000004,21.71374496032456,21.4,21.809326449985114,12.92,27.02889486412194,479,14,2778986.0,17.2365,0.0292
2020-05-16,507.99999999999994,21.94958870786522,29.36,22.517896092762406,22.6,22.612731910241283,13.61,27.554555930467334,508,15,2778986.0,18.28005,0.0295
2020-05-17,570.0,23.044800460902852,32.800000000000004,23.681440587152384,25.38,23.780795366909583,17.21,28.79585209678293,570,15,2778986.0,20.51108,0.0263
2020-05-18,613.0,23.618777840241155,35.660000000000004,24.269471907453337,27.76,24.369851593037385,19.930000000000003,29.211962905078405,613,16,2778986.0,22.058410000000002,0.0261
2020-05-19,642.0,24.087781386445954,38.05,24.79249709329845,30.09,24.946939935014317,22.779999999999998,29.73319238314193,642,16,2778986.0,23.10195,0.0249
2020-05-20,693.0000000000001,25.42682906623703,41.580000000000005,26.105356468809926,32.29,26.2430092855914,24.770000000000007,31.33183460309912,693,17,2778986.0,24.93715,0.0245
2020-05-21,746.0,26.21400658835161,44.33,26.942205578128558,34.45,27.079326827196823,26.4,31.980136922404782,746,17,2778986.0,26.84432,0.0228
2020-05-22,805.0,26.782494659796356,47.61999999999999,27.507519339301034,37.03,27.668261965689503,28.93999999999999,32.707281152734794,805,17,2778986.0,28.9674,0.0211
2020-05-23,858.0,28.318338278018416,48.84,29.07513856937371,37.95,29.184433913103106,29.060000000000002,34.68354067766718,858,17,2778986.0,30.874570000000002,0.0198
2020-05-24,1023.0000000000001,30.760505309059653,61.230000000000004,31.53979053305026,47.98,31.72409158460943,41.09,36.65340160878591,1023,17,2778986.0,36.81199,0.0166
2020-05-25,1100.0000000000002,31.64741679662007,66.63000000000001,32.55189226295439,52.04,32.71244548943093,44.32000000000001,38.33267796541222,1100,17,2778986.0,39.58278,0.0155
2020-05-26,1185.9999999999998,33.511180103350455,71.71,34.46093863955525,56.42,34.6202237416108,48.25999999999999,40.142270901523666,1186,18,2778986.0,42.677440000000004,0.0152
2020-05-27,1262.0,34.64684165062721,75.39,35.46654954127391,59.01,35.68649655491047,50.17999999999999,40.66397258835722,1262,18,2778986.0,45.41225,0.0143
2020-05-28,1355.9999999999998,35.45128397327149,81.33999999999999,36.39576809676553,63.8,36.554506361781655,54.25999999999999,42.23946833056123,1356,18,2778986.0,48.794779999999996,0.0133
2020-05-29,1418.0,37.10536730485609,86.07,38.08728374179869,68.43,38.313526107998506,58.33999999999999,43.84207913671868,1418,19,2778986.0,51.02581,0.0134
2020-05-30,1488.9999999999998,36.15983038308302,89.14000000000001,37.26307197928444,70.09,37.50197905888879,59.780000000000015,43.5383988885418,1489,20,2778986.0,53.580690000000004,0.0134
2020-05-31,1568.0,37.4608590344103,94.27,38.498057867845226,74.65,38.73045261284665,61.46999999999999,45.19857395846453,1568,20,2778986.0,56.42346,0.0128
2020-06-01,1646.0000000000002,40.80089868291302,100.56999999999998,41.87699646982019,79.34,42.09165277502575,64.90999999999997,48.40134398960426,1646,20,2778986.0,59.23024,0.0122
2020-06-02,1802.0,40.14948582636162,109.21999999999998,41.25524223806246,86.52,41.44013286804487,71.16999999999999,48.13172471709719,1802,20,2778986.0,64.8438,0.0111
2020-06-03,1925.0000000000002,41.605113322108075,116.77999999999999,42.8170042686951,91.42,43.025799871071015,75.19999999999999,50.147636942423226,1925,20,2778986.0,69.26987,0.0104
2020-06-04,1997.0,43.14778456805533,122.6,44.3475919654192,97.04,44.60591119046122,78.27,51.8901855320007,1997,21,2778986.0,71.86074,0.0105
2020-06-05,2132.0,45.544960581204094,128.82,46.85226178471467,100.95,47.10500965230168,81.2,54.330452368312336,2132,21,2778986.0,76.71863,0.0098
2020-06-06,2253.0,46.70043799677803,136.48,47.941888876961336,108.03,48.11895477970099,87.63999999999999,56.069496091183055,2253,21,2778986.0,81.07274,0.0093
2020-06-07,2324.0,44.90735243844045,141.00999999999993,46.24578903024904,110.52,46.52958846831017,79.77999999999993,55.97706128316303,2324,22,2778986.0,83.62763000000001,0.0095
2020-06-08,2455.0,48.346288754811745,147.79000000000002,49.594999106398184,116.71,49.902803892803824,81.16000000000001,59.32360092124067,2455,22,2778986.0,88.34156999999999,0.009000000000000001
2020-06-09,2597.0000000000005,49.39974236222842,154.89999999999998,50.73317992649925,121.63,50.95339679996365,83.18999999999998,61.33035005096366,2597,24,2778986.0,93.45135,0.0092
2020-06-10,2852.9999999999995,50.28834835026877,170.22,51.69654707809777,134.42,51.91509009717675,94.83,62.692975014443334,2853,25,2778986.0,102.66335,0.0088
2020-06-11,3001.0,52.62577238570395,182.99999999999997,54.09798997367574,143.94,54.33349721113045,101.65999999999998,65.20156788410426,3001,28,2778986.0,107.98903,0.0093
