,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor
2020-03-20,1.0,0.9669278643981125,0.0,0.9669278643981125,0.0,0.9669278643981125,0.0,0.9669278643981125
2020-03-22,2.0,1.3581776263237684,0.0,1.3581776263237684,0.0,1.3581776263237684,0.0,1.3581776263237684
2020-03-23,5.999999999999999,2.3472743703489307,0.0,2.3472743703489307,0.0,2.3472743703489307,0.0,2.3472743703489307
2020-03-24,6.999999999999998,2.534728483457051,0.0,2.534728483457051,0.0,2.534728483457051,0.0,2.534728483457051
2020-03-25,9.000000000000002,2.909198230343602,0.0,2.909198230343602,0.0,2.909198230343602,0.0,2.909198230343602
2020-03-26,11.0,3.206905428016615,0.0,3.206905428016615,0.0,3.206905428016615,0.0,3.206905428016615
2020-03-27,11.0,3.2411495653626514,0.04,3.247067985899049,0.0,3.247067985899049,0.04,3.247067985899049
2020-03-30,18.000000000000004,3.998686653076851,0.39,4.043116984393965,0.0,4.043116984393965,0.39,4.043116984393965
2020-03-31,25.0,4.93660824960833,0.73,5.0019597169610455,0.0,5.0019597169610455,0.73,5.0019597169610455
2020-04-01,27.999999999999993,5.003695603948116,0.96,5.091146206599227,0.0,5.091146206599227,0.96,5.091146206599227
2020-04-02,41.0,6.065317865378599,1.65,6.18182665626276,0.78,6.195690502928693,1.65,6.18182665626276
2020-04-03,44.0,6.515389706710032,1.9,6.645773320713176,0.79,6.658243239046095,1.9,6.645773320713176
2020-04-04,60.0,7.599441765782217,2.4699999999999998,7.75047193089009,1.71,7.765031561527303,2.4699999999999998,7.75047193089009
2020-04-05,60.0,7.526062460650732,2.5,7.6738527586614635,1.65,7.696461275262558,2.5,7.6738527586614635
2020-04-06,75.99999999999999,8.305383431208577,3.59,8.492095968569476,2.47,8.520844672882728,3.59,8.492095968569476
2020-04-07,77.99999999999999,8.741807131205304,3.0599999999999996,8.889363977202866,2.44,8.911071311531064,3.0599999999999996,8.992521247338724
2020-04-08,90.0,9.296463974234637,4.3100000000000005,9.495143096564815,3.28,9.52572004754719,4.3100000000000005,9.78097333571355
2020-04-09,108.0,9.926812991167717,5.53,10.15748572047316,4.18,10.184405537959304,5.53,10.468971518084507
