,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-18,1.0,0.9651503258638792,0.0,0.9651503258638792,0.0,0.9651503258638792,0.0,0.9651503258638792,1,0,8602865.0,0.01162,0.0
2020-03-19,1.0,0.9641031840497931,0.0,0.9641031840497931,0.0,0.9641031840497931,0.0,0.9641031840497931,1,0,8602865.0,0.01162,0.0
2020-03-20,2.0,1.3483997249264852,0.0,1.3483997249264852,0.0,1.3483997249264852,0.0,1.3483997249264852,2,0,8602865.0,0.02325,0.0
2020-03-21,2.0,1.3706151387555374,0.0,1.3706151387555374,0.0,1.3706151387555374,0.0,1.3706151387555374,2,0,8602865.0,0.02325,0.0
2020-03-22,3.9999999999999996,1.967924610529396,0.0,1.967924610529396,0.0,1.967924610529396,0.0,1.967924610529396,4,0,8602865.0,0.0465,0.0
2020-03-23,4.999999999999999,2.1632840728387897,0.0,2.1632840728387897,0.0,2.1632840728387897,0.0,2.1632840728387897,5,0,8602865.0,0.058120000000000005,0.0
2020-03-24,5.0,2.1051644049140608,0.0,2.1051644049140608,0.0,2.1051644049140608,0.0,2.1051644049140608,5,0,8602865.0,0.058120000000000005,0.0
2020-03-25,6.999999999999999,2.4767606736104795,0.0,2.4767606736104795,0.0,2.4767606736104795,0.0,2.4767606736104795,7,0,8602865.0,0.08137,0.0
2020-03-26,13.000000000000002,3.5466871724173674,0.11,3.561472995684496,0.0,3.561472995684496,0.11,3.561472995684496,13,0,8602865.0,0.15111,0.0
2020-03-27,15.999999999999996,3.7878860605990785,0.27,3.821306165184989,0.0,3.821306165184989,0.27,3.821306165184989,16,0,8602865.0,0.18598,0.0
2020-03-28,17.999999999999996,4.002246843709144,0.23,4.029153732234574,0.0,4.029153732234574,0.23,4.029153732234574,18,0,8602865.0,0.20923000000000003,0.0
2020-03-29,20.0,4.3357801949579855,0.36,4.373327097186981,0.0,4.373327097186981,0.36,4.373327097186981,20,0,8602865.0,0.23248000000000002,0.0
