,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-18,1.0,0.9681806326165263,0.0,0.9681806326165263,0.0,0.9681806326165263,0.0,0.9681806326165263,1,0,4018127.0,0.02489,0.0
2020-03-19,1.0,0.9672412085697945,0.0,0.9672412085697945,0.0,0.9672412085697945,0.0,0.9672412085697945,1,0,4018127.0,0.02489,0.0
2020-03-20,1.0,0.9668233937733796,0.0,0.9668233937733796,0.0,0.9668233937733796,0.0,0.9668233937733796,1,0,4018127.0,0.02489,0.0
2020-03-21,1.0,0.9628451106334329,0.0,0.9628451106334329,0.0,0.9628451106334329,0.0,0.9628451106334329,1,0,4018127.0,0.02489,0.0
2020-03-22,1.0,0.9646268970462366,0.0,0.9646268970462366,0.0,0.9646268970462366,0.0,0.9646268970462366,1,0,4018127.0,0.02489,0.0
2020-03-23,2.0,1.3671469961532707,0.0,1.3671469961532707,0.0,1.3671469961532707,0.0,1.3671469961532707,2,0,4018127.0,0.04977,0.0
2020-03-24,3.0,1.7012770010622713,0.0,1.7012770010622713,0.0,1.7012770010622713,0.0,1.7012770010622713,3,0,4018127.0,0.07466,0.0
2020-03-25,5.0,2.139999055980156,0.0,2.139999055980156,0.0,2.139999055980156,0.0,2.139999055980156,5,0,4018127.0,0.12444000000000001,0.0
2020-03-26,6.0,2.3861130219533506,0.0,2.3861130219533506,0.0,2.3861130219533506,0.0,2.3861130219533506,6,0,4018127.0,0.14932,0.0
2020-03-27,10.0,3.027016399497743,0.0,3.027016399497743,0.0,3.027016399497743,0.0,3.027016399497743,10,0,4018127.0,0.24886999999999998,0.0
2020-03-28,14.0,3.568124878912614,0.12000000000000001,3.5843151579507,0.0,3.5843151579507,0.12000000000000001,3.5843151579507,14,0,4018127.0,0.34842,0.0
2020-03-29,14.0,3.5767769476629847,0.19,3.6018930208063282,0.0,3.6018930208063282,0.19,3.6018930208063282,14,0,4018127.0,0.34842,0.0
2020-03-30,17.0,3.945077485124515,0.31,3.9818759854666954,0.0,3.9818759854666954,0.31,3.9818759854666954,17,0,4018127.0,0.42308,0.0
2020-03-31,17.999999999999993,4.11489042774206,0.4,4.159774420845827,0.0,4.159774420845827,0.4,4.159774420845827,18,1,4018127.0,0.44797,0.0556
2020-04-01,21.0,4.446812500448091,0.56,4.504124933229695,0.0,4.504124933229695,0.56,4.504124933229695,21,1,4018127.0,0.52263,0.0476
2020-04-02,29.000000000000004,5.2913880862008105,0.92,5.368387828649108,0.0,5.368387828649108,0.92,5.454827534793693,29,1,4018127.0,0.72173,0.0345
2020-04-03,32.0,5.424206873084783,1.06,5.51300464375101,0.9,5.52116112806176,1.06,5.597139240430568,32,1,4018127.0,0.7963899999999999,0.0312
2020-04-04,34.0,5.758103644061782,1.3800000000000001,5.861941451068714,0.86,5.8722021061742735,1.3800000000000001,5.940490575939691,34,3,4018127.0,0.8461700000000001,0.0882
2020-04-05,35.0,5.746865636715778,1.15,5.835029104166033,0.89,5.843412072279745,1.15,5.914226043783726,35,4,4018127.0,0.87105,0.1143
2020-04-06,36.0,5.8780708716140175,1.3900000000000001,5.984999346008083,0.86,5.995049388596993,1.3900000000000001,6.139161838623258,36,4,4018127.0,0.89594,0.1111
2020-04-07,41.0,6.216416844440081,1.12,6.296811763411575,0.86,6.306364910456608,1.12,6.522590115757836,41,4,4018127.0,1.0203799999999998,0.0976
2020-04-08,54.99999999999999,7.078577726228809,2.6,7.236813015842168,1.77,7.250418100100339,2.6,7.546592514894293,55,7,4018127.0,1.3688,0.1273
2020-04-09,78.99999999999999,8.642074666736832,4.63,8.851234633962346,3.57,8.87070766880831,4.63,9.16721822032125,79,11,4018127.0,1.9660900000000001,0.1392
2020-04-10,85.00000000000001,8.93412479533311,4.4,9.141344860499787,3.57,9.161292804980413,4.4,9.629486701866,85,11,4018127.0,2.11541,0.1294
2020-04-11,100.99999999999999,9.488004122165115,5.19,9.727215543115216,4.44,9.750134472007154,5.07,10.36658272400975,101,13,4018127.0,2.51361,0.1287
2020-04-12,111.00000000000003,10.270994758704404,5.93,10.517910121945963,4.56,10.53531363241424,5.739999999999999,11.117556686010946,111,13,4018127.0,2.76248,0.1171
2020-04-13,135.99999999999997,11.338786566828077,7.449999999999999,11.619637722755424,6.21,11.649115022527713,7.14,12.282968581402349,136,16,4018127.0,3.38466,0.1176
2020-04-14,152.0,11.398493609493165,7.779999999999999,11.698626268312726,6.34,11.719311266693813,7.379999999999999,12.416182174806382,152,21,4018127.0,3.78286,0.1382
2020-04-15,165.0,12.420771133691963,9.399999999999999,12.734047100413738,8.01,12.775204716776773,8.839999999999998,13.507149846273895,165,24,4018127.0,4.10639,0.1455
2020-04-16,195.0,13.455230667782413,11.360000000000001,13.81845260234417,10.08,13.846415865603356,10.440000000000001,14.824615347523194,195,26,4018127.0,4.85301,0.1333
2020-04-17,204.99999999999997,14.081178784448268,11.22,14.405714003810989,9.88,14.437804402318104,10.16,15.424584797057463,205,28,4018127.0,5.10188,0.1366
2020-04-18,236.0,14.506578096877572,14.54,14.916595056540489,12.47,14.955062958102454,13.159999999999998,16.02707601705831,236,29,4018127.0,5.87338,0.1229
2020-04-19,245.00000000000003,15.493863236126684,14.02,15.87244776270497,12.59,15.918432648341922,12.87,16.91100714405451,245,32,4018127.0,6.09737,0.1306
2020-04-20,263.0,16.22667089962844,15.08,16.618966528784167,13.52,16.652316610155133,13.69,17.66381231944468,263,33,4018127.0,6.54534,0.1255
2020-04-21,301.0,16.89715175329077,17.610000000000003,17.331590734082585,15.02,17.37652546896926,16.490000000000002,18.44000747715618,301,39,4018127.0,7.49105,0.1296
2020-04-22,344.99999999999994,17.68010352362397,20.159999999999997,18.131267484819162,17.83,18.203405192602304,17.559999999999995,19.52214955460395,345,40,4018127.0,8.586089999999999,0.1159
2020-04-23,386.0,18.901509746765488,23.25,19.45475701999567,20.82,19.50833592870163,18.62,21.373626862386395,386,44,4018127.0,9.60647,0.114
2020-04-24,447.0,20.58781143778959,26.84,21.120671859530887,23.07,21.17753242939271,22.439999999999998,23.014060173219455,447,46,4018127.0,11.12459,0.1029
2020-04-25,499.0,21.669967114591447,30.529999999999998,22.298483687180948,26.98,22.36608984036939,25.339999999999996,24.327784464880832,499,49,4018127.0,12.41872,0.0982
2020-04-26,543.0,22.352840869775253,33.33,22.951858202539835,29.73,23.014884204564122,27.4,25.247063755669263,543,50,4018127.0,13.513760000000001,0.0921
2020-04-27,632.9999999999999,23.99864895187126,38.120000000000005,24.661041168514185,33.95,24.73892583592003,30.670000000000005,27.261381702386846,633,53,4018127.0,15.75361,0.0837
2020-04-28,698.0,24.703751810916366,41.51,25.40464236188641,36.94,25.494161165556193,33.73,27.96879886768486,698,57,4018127.0,17.37128,0.0817
2020-04-29,814.0000000000001,27.80840654815509,50.2,28.5544650579813,44.78,28.63335598122363,40.800000000000004,31.265211182767192,814,62,4018127.0,20.25819,0.0762
2020-04-30,926.0,30.007568068974557,57.17999999999999,30.78547289573674,50.89,30.872046278375223,45.81999999999999,33.7445547272056,926,67,4018127.0,23.045560000000002,0.0724
2020-05-01,1034.0,31.259545612807486,64.53999999999999,32.12126074610385,57.57,32.19628071562292,53.31999999999999,35.20369281593606,1034,74,4018127.0,25.73338,0.0716
2020-05-02,1169.0,33.420365169770484,73.13000000000001,34.33570019791075,65.41,34.41863169971764,58.59000000000001,37.435880063938875,1169,76,4018127.0,29.093159999999997,0.065
2020-05-03,1219.0,33.89489100681158,75.67,34.804995853521326,66.94,34.92197211446737,61.650000000000006,38.25339637657596,1219,79,4018127.0,30.33752,0.0648
2020-05-04,1361.0000000000002,35.456776930553495,85.03999999999999,36.46737213322384,76.45,36.560316332097436,69.96,40.07566941160034,1361,85,4018127.0,33.8715,0.0625
2020-05-05,1492.9999999999998,37.22773214156404,94.21,38.398730973875175,83.98,38.53935832890891,76.6,42.12892803974222,1493,92,4018127.0,37.156620000000004,0.0616
2020-05-06,1657.0,39.16366074861138,102.01,40.26301557549215,91.33,40.3622536936718,81.85000000000001,44.15714306698729,1657,101,4018127.0,41.23812,0.061
2020-05-07,1849.0000000000002,42.26870275183794,114.84,43.47495178057398,102.47,43.579588482720126,91.59,47.62939221772942,1849,111,4018127.0,46.016459999999995,0.06
2020-05-08,2030.0,44.65748661883146,125.94000000000001,45.834603861177975,112.47,45.95889479862533,99.10000000000001,50.46675827620683,2030,114,4018127.0,50.52105,0.0562
2020-05-09,2156.0000000000005,43.86414057385404,134.16,45.087124861570274,120.5,45.23515036211141,103.63,50.299813151047616,2156,124,4018127.0,53.65684,0.0575
2020-05-10,2341.0,46.63379361654708,144.39999999999998,47.99847817452869,129.41,48.135598127276936,111.06999999999998,53.20377526097375,2341,135,4018127.0,58.26098,0.0577
2020-05-11,2524.9999999999995,49.4036558578534,158.48000000000002,50.85010336391867,141.33,50.97169912923458,120.36000000000001,56.51459956185096,2525,139,4018127.0,62.840219999999995,0.055
2020-05-12,2776.9999999999995,50.88917449525076,174.40999999999997,52.43767711110095,155.06,52.56012158288907,132.89999999999998,58.26753671079149,2777,154,4018127.0,69.1118,0.0555
2020-05-13,3045.0,54.706860685480805,192.46,56.14897689237628,172.26,56.31802558737838,142.26,62.99257956940707,3045,157,4018127.0,75.78158,0.0516
2020-05-14,3361.0000000000005,57.28769677705852,209.29,58.75453941628852,186.91,58.87867017876849,152.11,66.33129912367421,3361,160,4018127.0,83.64594,0.0476
2020-05-15,3739.0,59.7711747695604,231.64,61.34104770325768,207.61,61.51603070203192,167.1,69.2423246667277,3739,170,4018127.0,93.05331,0.0455
2020-05-16,4063.0,62.36407441610737,249.58,64.02571184905152,223.63,64.19084730534233,176.45,72.65144242104614,4063,183,4018127.0,101.11676,0.045
2020-05-17,4346.999999999999,64.39023390408067,270.65000000000003,66.16993971753504,241.53,66.32955617386733,194.98000000000002,74.76529046680591,4347,194,4018127.0,108.18473,0.0446
2020-05-18,4786.000000000001,67.29967055317326,298.23999999999995,69.06172063137187,266.88,69.28063839606023,213.19999999999996,78.09859465360876,4786,207,4018127.0,119.11022,0.0433
2020-05-19,5299.999999999999,70.1123845311687,331.47999999999996,72.0928586244606,296.14,72.2948176887283,237.26999999999998,81.68134918725636,5300,219,4018127.0,131.90225,0.0413
2020-05-20,5838.0,75.71694364906415,366.3399999999999,77.83631771580383,328.06,78.03517639856757,264.3299999999999,87.63334284841518,5838,230,4018127.0,145.29157,0.0394
2020-05-21,6238.0,77.47905419133508,390.35,79.57878321753756,349.68,79.79498943156668,275.51,90.67995462453139,6238,245,4018127.0,155.24646,0.0393
2020-05-22,6882.0,79.6294740112801,432.37,81.97555874352508,387.51,82.19575494703562,306.43,93.91913086493211,6882,248,4018127.0,171.27383,0.036000000000000004
2020-05-23,7508.0,83.86188621534792,472.66,86.11709911275437,424.07,86.33006347499091,338.5,97.20598535007393,7508,258,4018127.0,186.85323,0.0344
2020-05-24,7822.999999999999,84.29005477120853,492.25,86.71568274155105,441.99,87.00413515076933,347.85,99.11338729154625,7823,272,4018127.0,194.6927,0.0348
2020-05-25,8016.0,86.07185863268464,505.63,88.50251266763475,452.24,88.72405056400913,347.15,102.07069981442305,8016,279,4018127.0,199.49593000000002,0.0348
2020-05-26,8919.0,90.04604658201549,560.5900000000001,92.6179766840677,501.81,92.88306360715342,386.1800000000002,106.43213605795285,8919,286,4018127.0,221.96909,0.0321
2020-05-27,10209.000000000002,99.63296987879407,638.65,102.46437716039992,571.6,102.83058196309445,446.18999999999994,116.84030209191215,10209,298,4018127.0,254.0736,0.0292
2020-05-28,11132.000000000004,101.71763352387318,698.3,104.6395459169093,626.96,104.86902769501094,489.01,120.00637679605684,11132,318,4018127.0,277.0445,0.0286
2020-05-29,12011.0,106.46405283218625,756.6,109.40998649782637,678.73,109.72211374857189,524.96,125.4323294800343,12011,327,4018127.0,298.92037,0.0272
2020-05-30,12862.000000000002,108.72043473649713,803.8,111.6614263266099,720.44,111.92989113410648,554.2199999999999,128.71505703324186,12862,346,4018127.0,320.09938999999997,0.0269
2020-05-31,13162.0,108.88149892466033,825.73,112.22113307252253,739.77,112.54048075284204,555.0799999999999,130.27679620831574,13162,360,4018127.0,327.56555,0.0274
2020-06-01,13694.999999999998,113.72027439327083,859.53,117.06695224563084,770.13,117.34148630420877,561.29,135.91980195926737,13695,370,4018127.0,340.83044,0.027000000000000003
2020-06-02,14858.999999999998,118.10737966491821,928.7,121.43474598035412,830.73,121.67807785839294,597.22,141.2224408369987,14859,379,4018127.0,369.79916000000003,0.0255
2020-06-03,16018.000000000002,120.09261913921759,1002.7099999999999,123.61325766970616,896.51,124.02389838945221,636.37,146.07782113405418,16018,414,4018127.0,398.64345,0.0258
2020-06-04,17579.000000000004,128.14105233269038,1105.18,131.60192283142862,991.55,131.9944453108891,714.83,153.79157594391552,17579,438,4018127.0,437.49239000000006,0.0249
2020-06-05,18579.0,126.47504005761675,1161.9900000000002,130.3939049862982,1040.55,130.8060318088419,729.6200000000002,154.02130595761383,18579,451,4018127.0,462.37960999999996,0.0243
2020-06-06,19787.0,140.56867691378804,1243.0,144.33309298041434,1113.12,144.72618052478595,770.3399999999999,168.07199793210316,19787,467,4018127.0,492.44337,0.0236
2020-06-07,20950.999999999996,140.36086248371274,1320.35,144.21151416295342,1184.96,144.56119540586164,828.0999999999999,168.27528175731885,20951,507,4018127.0,521.41209,0.0242
2020-06-08,20951.0,136.16807128091241,1311.6699999999998,140.18655547649226,1175.64,140.68319279986378,806.0399999999998,165.78590134522443,20951,507,4018127.0,521.41209,0.0242
2020-06-09,22452.0,144.70567202135345,1407.72,148.56382976738152,1261.03,148.97073744582028,847.1299999999999,175.0694180038365,22452,534,4018127.0,558.7678,0.0238
2020-06-10,24032.0,139.58816699002952,1507.0399999999997,144.03832602344545,1350.44,144.59317329540963,868.3899999999998,176.765347142773,24032,559,4018127.0,598.08961,0.0233
2020-06-11,25370.0,150.65703509037414,1592.9199999999998,155.0520622959341,1426.03,155.55684209388613,894.6199999999999,187.0576825257899,25370,570,4018127.0,631.3887,0.0225
2020-06-12,26556.000000000004,157.7381873788835,1662.4300000000003,162.33152761424924,1489.79,162.8087551625396,905.8300000000003,195.76023601086692,26556,610,4018127.0,660.90494,0.023
