,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor
2020-03-12,2.0,1.389062615397503,0.0,1.389062615397503,0.0,1.389062615397503,0.0,1.389062615397503
2020-03-13,2.0,1.346150516146398,0.0,1.346150516146398,0.0,1.346150516146398,0.0,1.346150516146398
2020-03-14,7.0,2.4950455958263626,0.0,2.4950455958263626,0.0,2.4950455958263626,0.0,2.4950455958263626
2020-03-15,8.0,2.7753605644359554,0.0,2.7753605644359554,0.0,2.7753605644359554,0.0,2.7753605644359554
2020-03-16,8.0,2.719365642010926,0.0,2.719365642010926,0.0,2.719365642010926,0.0,2.719365642010926
2020-03-17,18.0,4.125799585804215,0.33000000000000007,4.163234586499088,0.0,4.163234586499088,0.33000000000000007,4.163234586499088
2020-03-18,19.000000000000004,4.169901774392391,0.42000000000000004,4.2153150307042075,0.0,4.2153150307042075,0.42000000000000004,4.2153150307042075
2020-03-19,28.0,5.325941847753932,0.6699999999999999,5.382950544604378,0.0,5.382950544604378,0.6699999999999999,5.382950544604378
2020-03-20,31.000000000000004,5.531763194534276,1.0,5.61702804340552,0.92,5.623575734388579,1.0,5.61702804340552
2020-03-21,33.00000000000001,5.530850118228032,1.09,5.619644386462816,0.84,5.63158974271946,1.09,5.619644386462816
2020-03-22,37.00000000000001,5.979020560985458,1.21,6.06964470695665,0.88,6.078337508619185,1.21,6.06964470695665
2020-03-23,41.99999999999999,6.18200385936241,1.54,6.295392896171909,0.77,6.309443059190861,1.54,6.295392896171909
2020-03-24,42.0,6.207440956813301,1.4800000000000002,6.313693311550952,0.85,6.3237823517514595,1.4800000000000002,6.313693311550952
2020-03-25,46.0,6.829348431585549,1.92,6.951647286794692,0.9,6.958117561524813,1.92,6.951647286794692
2020-03-26,48.0,6.914499477930636,2.23,7.052503316575118,1.68,7.073570741167648,2.23,7.052503316575118
2020-03-27,57.0,7.626283630983182,2.21,7.758717807743881,1.73,7.772695929997649,2.21,7.8746316251824275
2020-03-28,68.0,7.783704812366706,2.89,7.936293883549211,1.72,7.952758050265368,2.89,8.319255563529296
2020-03-29,73.0,8.140719448016442,3.43,8.319147380069255,2.65,8.336408887003634,3.43,8.769882518821984
2020-03-30,76.99999999999999,8.693931472265264,3.42,8.869760112001027,2.56,8.890390567598505,3.42,9.277262200638395
2020-03-31,87.0,8.8804859271906,4.590000000000001,9.097435369544007,3.55,9.120900739676443,4.260000000000001,10.004791478349388
2020-04-01,95.0,8.971042077685068,4.5600000000000005,9.189178198271923,3.43,9.219875051192181,4.140000000000001,10.109890047259508
2020-04-02,105.99999999999999,10.104394483529822,5.39,10.342334740221276,4.32,10.366363290893672,4.72,11.659332933081739
2020-04-03,136.0,11.578035631786122,7.01,11.827493778941887,5.97,11.86249168981412,6.01,13.093533256203733
2020-04-04,176.0,13.033778958513679,9.68,13.347890992190262,7.73,13.396391078920992,8.59,14.48263087183047
2020-04-05,201.0,13.944232361862596,11.030000000000001,14.26991647353327,9.3,14.323425433939194,9.82,15.50713071558704
2020-04-06,223.0,14.231832296125841,12.16,14.61725181096127,10.25,14.662590170397946,10.620000000000001,15.915276379071218
2020-04-07,351.99999999999994,17.55026259552025,20.860000000000003,18.0492082145372,17.16,18.102163328500744,19.380000000000003,19.121627556357232
2020-04-08,401.0,19.310660686823123,23.560000000000002,19.780222854194946,19.6,19.846843984916493,21.64,20.966225605998236
2020-04-09,555.0000000000001,22.361104398016437,32.57,22.95903939408158,27.93,23.042625499256584,30.34,24.01781199296249
2020-04-10,684.0,25.978230979966376,40.99,26.65344227015499,34.26,26.754408699287016,38.78,27.759749402123333
2020-04-11,816.0,27.310811120148077,48.900000000000006,28.03793508874011,41.85,28.14059885717438,46.010000000000005,29.13950179132211
2020-04-12,960.0000000000002,28.70571336507734,56.559999999999995,29.53178592293361,47.67,29.651433014240304,53.129999999999995,30.68117652452873
2020-04-13,1154.0000000000002,32.78757771664831,68.92999999999999,33.629786685693574,58.44,33.7352775670403,65.50999999999999,34.77981019168588
2020-04-14,1284.0,34.32540655773119,76.17999999999999,35.301222859180605,65.51,35.444128362163674,71.58999999999999,36.45462474990746
2020-04-15,1484.0,37.571088175173564,87.80999999999999,38.54622117233629,75.17,38.67728359989448,83.24999999999999,39.62640738984879
2020-04-16,1683.0000000000002,39.345044481516666,101.61,40.47246502565077,87.66,40.6150812537969,96.22,41.773009385622586
2020-04-17,2006.0,43.68351051494249,120.66,44.89872927944722,102.82,45.03491413236058,113.64999999999999,46.43043721525784
2020-04-18,2193.0,44.64052830866552,131.21,45.96971032839742,113.09,46.10071764817516,121.53,47.868365980218734
2020-04-19,2459.0,49.21296330821542,147.63000000000002,50.48435062052159,126.48,50.652139713695796,136.60000000000002,52.46236912051699
2020-04-20,2690.0,49.54048645279735,162.04,50.8687821554615,139.55,51.06192806759062,149.88,52.92728075845999
2020-04-21,2908.0,50.27152335672812,176.17999999999998,51.80198317252015,150.89,51.97271746412786,155.31999999999996,54.85635220991073
2020-04-22,3298.0000000000005,55.92328800610835,200.47999999999996,57.46578931341796,172.2,57.677352066596654,176.91999999999996,60.77478225033602
2020-04-23,3604.0000000000005,58.03931617638361,216.35999999999999,59.609044802129006,184.89,59.8519516993575,183.79,63.877662074634614
2020-04-24,3999.0,59.8088503974001,241.04999999999998,61.53188674060455,206.39,61.80122155636234,200.05999999999997,67.05653637571113
2020-04-25,4507.0,63.91399050144015,271.20000000000005,65.78116129879575,233.38,65.99118715266594,222.30000000000004,71.50725128166086
2020-04-26,4898.0,68.06469145028295,292.59000000000003,69.87753517563583,251.42,70.12241811448192,236.03000000000003,75.86169192695482
2020-04-27,5358.0,72.23114132960782,321.01000000000005,74.10999310334456,276.19,74.3539170304953,252.08000000000004,81.3833744096608
2020-04-28,5724.0,72.2002154505865,344.08000000000004,74.16116174326768,295.77,74.44417378889439,267.90000000000003,82.1343670241918
2020-04-29,6194.0,77.90483835028374,372.6700000000001,79.75912322978381,319.11,80.09628979162417,284.86000000000007,88.58515058998604
2020-04-30,6876.000000000001,79.45395718988019,413.20000000000005,81.69013840808029,354.55,82.0207669625889,311.59000000000003,91.16632677904622
2020-05-01,7334.0,84.52189842361157,446.04,86.94097718067881,382.68,87.2744585381732,325.38,97.85003527868759
2020-05-02,8145.0,87.98590796258229,491.21000000000004,90.41876077452068,422.19,90.77745424938948,360.0,101.43355740422776
2020-05-03,8643.000000000002,90.18525154347354,523.8000000000001,92.52653671222974,449.57,92.7847244753122,376.1700000000001,105.40317667667972
2020-05-04,8862.999999999998,90.00105835516884,534.5999999999999,92.5681776046742,459.7,92.9612688438067,372.55999999999995,105.62433669865248
2020-05-05,9325.0,91.56270027040532,559.7400000000001,94.09733407917614,479.71,94.36436923335037,383.5600000000002,107.4139364394311
2020-05-06,9881.0,97.09748199670787,597.0,99.64893381316736,512.89,99.98253802590236,396.52000000000004,115.03141723683643
2020-05-07,10824.0,100.93735530996291,650.77,103.66204800682695,558.93,104.04299734710499,434.40999999999997,119.5786704190673
2020-05-08,11587.0,104.30993347817945,701.7699999999999,107.30989480109568,601.36,107.67006976045953,460.7199999999999,123.69958208531186
2020-05-09,12470.000000000002,107.69021414326475,751.52,110.81674342003657,644.21,111.24511909392797,480.31999999999994,128.8701354233804
2020-05-10,13275.0,113.08012176945134,801.6100000000001,116.01210557262522,686.87,116.44003495101647,509.0200000000001,135.4314533689134
2020-05-11,13768.000000000002,110.67879086561594,831.72,113.80193121153414,714.48,114.21054744407255,510.71,135.8056354694183
2020-05-12,14308.999999999998,114.4164571054604,861.39,117.48411278366815,739.66,117.87307222841721,517.31,138.93305822473198
2020-05-13,14901.0,123.9101866007567,900.24,126.99655327383631,773.44,127.41950770362577,527.5699999999999,149.96547029839297
2020-05-14,15588.0,123.57846156032274,942.5299999999999,126.6624824548144,809.96,127.15409101407694,529.3299999999998,150.72048027639602
