,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-19,2.9999999999999996,1.6562096192904758,0.0,1.6562096192904758,0.0,1.6562096192904758,0.0,1.6562096192904758,3,0,3273227.0,0.09165,0.0
2020-03-20,4.0,1.886903293866445,0.0,1.886903293866445,0.0,1.886903293866445,0.0,1.886903293866445,4,0,3273227.0,0.1222,0.0
2020-03-21,4.0,1.9272631979943569,0.0,1.9272631979943569,0.0,1.9272631979943569,0.0,1.9272631979943569,4,0,3273227.0,0.1222,0.0
2020-03-22,6.0,2.3924544684984888,0.0,2.3924544684984888,0.0,2.3924544684984888,0.0,2.3924544684984888,6,0,3273227.0,0.18331,0.0
2020-03-23,6.0,2.397810449033649,0.0,2.397810449033649,0.0,2.397810449033649,0.0,2.397810449033649,6,0,3273227.0,0.18331,0.0
2020-03-24,7.999999999999998,2.7647492442965573,0.0,2.7647492442965573,0.0,2.7647492442965573,0.0,2.7647492442965573,8,0,3273227.0,0.24441,0.0
2020-03-25,8.0,2.7254876312841394,0.0,2.7254876312841394,0.0,2.7254876312841394,0.0,2.7254876312841394,8,0,3273227.0,0.24441,0.0
2020-03-26,8.999999999999998,2.9201148448427006,0.0,2.9201148448427006,0.0,2.9201148448427006,0.0,2.9201148448427006,9,0,3273227.0,0.27496,0.0
2020-03-27,9.999999999999998,3.0863989673823093,0.0,3.0863989673823093,0.0,3.0863989673823093,0.0,3.0863989673823093,10,1,3273227.0,0.30551,0.1
2020-03-28,11.0,3.1807184246597022,0.05,3.1881765473338675,0.0,3.1881765473338675,0.05,3.1881765473338675,11,1,3273227.0,0.33605999999999997,0.0909
2020-03-30,17.999999999999996,3.9124251695170753,0.19999999999999998,3.936708105393479,0.0,3.936708105393479,0.19999999999999998,3.936708105393479,18,4,3273227.0,0.54992,0.2222
2020-03-31,18.0,4.121169785878812,0.39,4.16539798867292,0.0,4.16539798867292,0.39,4.16539798867292,18,4,3273227.0,0.54992,0.2222
