,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-12,5.999999999999999,2.382427248828303,0.0,2.382427248828303,0.0,2.382427248828303,0.0,2.382427248828303,6,0,11433957.0,0.05248,0.0
2020-03-13,6.000000000000001,2.3633993665177644,0.0,2.3633993665177644,0.0,2.3633993665177644,0.0,2.3633993665177644,6,0,11433957.0,0.05248,0.0
2020-03-16,5.999999999999999,2.3033133797320167,0.0,2.3033133797320167,0.0,2.3033133797320167,0.0,2.3033133797320167,6,0,11433957.0,0.05248,0.0
2020-03-17,11.999999999999998,3.301453613121947,0.06,3.3099842838895714,0.0,3.3099842838895714,0.06,3.3099842838895714,12,0,11433957.0,0.10495,0.0
2020-03-18,14.000000000000002,3.5525776671042792,0.17,3.5752633582448277,0.0,3.5752633582448277,0.17,3.5752633582448277,14,0,11433957.0,0.12244000000000001,0.0
2020-03-19,23.0,4.626952222433994,0.63,4.689305584912,0.0,4.689305584912,0.63,4.689305584912,23,0,11433957.0,0.20115999999999998,0.0
2020-03-20,35.99999999999999,5.764958583957693,1.72,5.890920766293457,0.7,5.908717921406258,1.72,5.890920766293457,36,0,11433957.0,0.31485,0.0
2020-03-21,42.99999999999999,6.27404465744677,1.78,6.402424256766834,0.79,6.415367204115159,1.78,6.402424256766834,43,0,11433957.0,0.37606999999999996,0.0
2020-03-22,54.0,7.061962413615151,2.88,7.238529763101974,1.4,7.270234737015932,2.88,7.238529763101974,54,0,11433957.0,0.47228000000000003,0.0
2020-03-23,60.0,7.421644567129855,3.0700000000000003,7.600007110576153,2.27,7.635260839081274,3.0700000000000003,7.600007110576153,60,0,11433957.0,0.52475,0.0
2020-03-24,70.0,8.018274582023697,3.38,8.20451871060864,2.26,8.239328083814073,3.38,8.20451871060864,70,0,11433957.0,0.61221,0.0
2020-03-25,97.0,9.734142764185009,5.449999999999999,9.964930273390545,3.77,10.012838526288904,5.449999999999999,9.964930273390545,97,0,11433957.0,0.84835,0.0
2020-03-26,105.99999999999999,9.800917293701637,5.8,10.064421483522032,3.85,10.112372609728135,5.8,10.064421483522032,106,0,11433957.0,0.92706,0.0
2020-03-27,125.0,10.914340487763257,7.57,11.206262904413242,5.27,11.261324446210947,7.57,11.206262904413242,125,2,11433957.0,1.09323,0.016
2020-03-28,137.00000000000003,11.572843517075096,7.67,11.862141757317987,5.18,11.915452449265494,7.67,11.862141757317987,137,2,11433957.0,1.1981899999999999,0.0146
2020-03-29,152.0,12.220598606575306,8.810000000000002,12.51456472687046,5.92,12.590787517190112,8.810000000000002,12.735775864417798,152,2,11433957.0,1.3293700000000002,0.0132
