,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-05,1.0,0.966091783079296,0.0,0.966091783079296,0.0,0.966091783079296,0.0,0.966091783079296,1,0,17264943.0,0.00579,0.0
2020-03-06,2.0,1.3686976778431874,0.0,1.3686976778431874,0.0,1.3686976778431874,0.0,1.3686976778431874,2,0,17264943.0,0.01158,0.0
2020-03-08,2.9999999999999996,1.6838508055506392,0.0,1.6838508055506392,0.0,1.6838508055506392,0.0,1.6838508055506392,3,0,17264943.0,0.01738,0.0
2020-03-12,14.999999999999998,3.75093254398089,0.41000000000000003,3.8002361702261283,0.0,3.8002361702261283,0.41000000000000003,3.8002361702261283,15,0,17264943.0,0.08688,0.0
2020-03-15,24.0,4.773051456041533,0.5700000000000001,4.827351261511866,0.0,4.827351261511866,0.5700000000000001,4.827351261511866,24,0,17264943.0,0.13901,0.0
2020-03-16,25.0,4.926612949229436,1.1,5.020887884778465,0.73,5.040477670966827,1.1,5.020887884778465,25,0,17264943.0,0.1448,0.0
2020-03-18,63.00000000000001,7.507975557345467,3.37,7.692034644338062,2.06,7.731998252049529,3.37,7.692034644338062,63,0,17264943.0,0.3649,0.0
2020-03-19,66.00000000000001,7.973630783952055,3.5100000000000002,8.163129784512059,2.0,8.198578405966968,3.5100000000000002,8.163129784512059,66,2,17264943.0,0.38228,0.0303
2020-03-21,119.00000000000001,10.565007995235685,7.080000000000001,10.854040443051332,4.85,10.925094687891448,7.080000000000001,10.854040443051332,119,3,17264943.0,0.68926,0.0252
2020-03-22,186.0,13.498148021117565,12.09,13.842561179203797,8.26,13.930861423472708,12.09,13.842561179203797,186,3,17264943.0,1.07733,0.0161
2020-03-23,233.0,14.526304944945062,15.66,14.99985117771291,10.34,15.104963930891573,15.66,14.99985117771291,233,4,17264943.0,1.34956,0.0172
2020-03-24,305.00000000000006,16.541127195233372,20.189999999999998,17.069498788449796,14.25,17.170186047008606,20.189999999999998,17.069498788449796,305,6,17264943.0,1.76659,0.0197
2020-03-25,369.99999999999994,18.68599648524169,25.44,19.2421741143371,17.48,19.406979791983726,25.44,19.2421741143371,370,8,17264943.0,2.1430700000000003,0.0216
2020-03-26,421.0,20.13771776462459,28.15,20.716760769185825,19.13,20.8474765083853,28.15,20.716760769185825,421,9,17264943.0,2.43847,0.0214
2020-03-27,493.0,21.96108587773594,33.660000000000004,22.563658677822904,22.82,22.718413081227588,33.660000000000004,22.563658677822904,493,10,17264943.0,2.8555,0.0203
2020-03-28,558.0,22.85463063394684,37.95,23.489764609594143,25.71,23.628688948270945,37.95,23.529606344932226,558,13,17264943.0,3.23198,0.0233
2020-03-29,600.0000000000001,24.48864919496254,40.39,25.187374603041494,27.82,25.37146900346804,40.39,25.243597067955534,600,17,17264943.0,3.47525,0.0283
2020-03-30,657.0,24.835340573749768,45.48,25.560796963595273,30.66,25.779424768876076,45.07,25.84175180524022,657,18,17264943.0,3.8054,0.0274
2020-03-31,707.9999999999999,25.081890122580713,49.620000000000005,25.9264307632426,34.06,26.11888611945793,49.050000000000004,26.37201418783238,708,23,17264943.0,4.1008,0.0325
2020-04-01,832.0,28.669115469755635,57.4,29.49962680811711,39.36,29.671170887212753,56.3,29.92385832358015,832,28,17264943.0,4.81901,0.0337
2020-04-02,992.0,31.01340863483914,68.36,31.965286095255195,47.62,32.17165079929091,64.99,32.87775710295963,992,41,17264943.0,5.74575,0.0413
2020-04-03,1074.0,32.729161000520314,74.66999999999999,33.67487609179847,51.36,33.91913441994031,71.15999999999998,34.650165478346096,1074,47,17264943.0,6.2207,0.0438
2020-04-04,1246.0000000000002,34.01024503994007,85.82000000000001,35.06733191557019,57.98,35.34313749056198,78.74000000000001,36.70869054619303,1246,58,17264943.0,7.216939999999999,0.0465
2020-04-05,1394.0,36.32461391064709,96.82999999999998,37.49238423676969,65.46,37.69041357902001,84.73999999999998,39.966177897787226,1394,64,17264943.0,8.07417,0.0459
2020-04-06,1461.0,37.807978421534685,101.74999999999999,38.91270142669656,69.02,39.199973626562965,86.08999999999999,41.70364333816372,1461,71,17264943.0,8.46223,0.0486
2020-04-07,1688.0,39.30571449444969,117.05999999999999,40.624374357264784,80.66,40.92461596544545,96.86999999999999,44.06481114004781,1688,89,17264943.0,9.77704,0.0527
2020-04-08,1938.0,44.46140080582439,135.6,45.71613896225448,93.24,45.970292163702446,110.16,49.60067163116471,1938,106,17264943.0,11.225060000000001,0.0547
2020-04-09,2215.9999999999995,45.21244800434339,155.16,46.544826291924814,107.51,46.906191004444764,127.00999999999999,50.947080694708426,2216,122,17264943.0,12.83526,0.0551
2020-04-10,2464.0,48.62848855341794,170.99,50.077541862494606,117.61,50.46264062640698,137.33,54.9261221270826,2464,147,17264943.0,14.27169,0.0597
2020-04-11,2607.0,49.14603881609516,180.78,50.622316534440934,122.73,50.92166563765498,142.82999999999998,55.80670186211754,2607,155,17264943.0,15.099960000000001,0.0595
2020-04-12,2854.9999999999995,51.04519091110851,199.7,52.69375783858574,137.07,53.124544375942804,159.31,58.40407481114187,2855,170,17264943.0,16.5364,0.0595
2020-04-13,3221.0,55.659155726273966,225.07000000000002,57.19766880006227,154.87,57.74951442360028,179.59000000000003,62.6492430726482,3221,182,17264943.0,18.6563,0.0565
2020-04-14,3410.0,55.34873644684788,238.42999999999995,57.183042296319165,165.69,57.607588269798505,188.80999999999995,62.78598679947492,3410,224,17264943.0,19.75101,0.0657
2020-04-15,3743.0000000000005,57.72005761002886,261.91,59.68938892722098,180.06,60.16327410060934,204.51000000000002,66.58116199288828,3743,265,17264943.0,21.67977,0.0708
2020-04-16,3944.000000000001,60.845789509300495,276.73999999999995,62.67636477181891,190.43,63.134553146514804,208.37999999999994,70.35699123869367,3944,301,17264943.0,22.84398,0.0763
2020-04-17,4349.000000000001,64.93841838094136,299.35999999999996,66.87353723124104,205.15,67.32159743958978,224.68999999999997,74.87367535800658,4349,341,17264943.0,25.189770000000003,0.0784
2020-04-18,4543.0,65.69093844617684,320.72,67.65360887594537,220.81,68.2230510453717,234.90000000000003,76.20189342540093,4543,387,17264943.0,26.313440000000003,0.0852
