,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-12,1.0,0.9681806326165264,0.0,0.9681806326165264,0.0,0.9681806326165264,0.0,0.9681806326165264,1,0,3506853.0,0.02852,0.0
2020-03-13,1.0000000000000002,0.9624253873743287,0.0,0.9624253873743287,0.0,0.9624253873743287,0.0,0.9624253873743287,1,0,3506853.0,0.02852,0.0
2020-03-16,1.0,0.9639984073082948,0.0,0.9639984073082948,0.0,0.9639984073082948,0.0,0.9639984073082948,1,0,3506853.0,0.02852,0.0
2020-03-18,1.0,0.9674500483020276,0.0,0.9674500483020276,0.0,0.9674500483020276,0.0,0.9674500483020276,1,0,3506853.0,0.02852,0.0
2020-03-20,6.0,2.372868527859277,0.0,2.372868527859277,0.0,2.372868527859277,0.0,2.372868527859277,6,0,3506853.0,0.17109000000000002,0.0
2020-03-21,9.0,2.837376793925522,0.0,2.837376793925522,0.0,2.837376793925522,0.0,2.837376793925522,9,0,3506853.0,0.25664000000000003,0.0
2020-03-22,12.999999999999998,3.38800617747162,0.19000000000000003,3.4138667019357767,0.0,3.4138667019357767,0.19000000000000003,3.4138667019357767,13,0,3506853.0,0.3707,0.0
2020-03-24,13.999999999999998,3.551127292917708,0.19,3.5762557305798266,0.0,3.5762557305798266,0.19,3.5762557305798266,14,0,3506853.0,0.39921999999999996,0.0
2020-03-25,14.0,3.5724535325773297,0.08,3.5833258632762166,0.0,3.5833258632762166,0.08,3.5833258632762166,14,0,3506853.0,0.39921999999999996,0.0
2020-03-26,19.0,4.133040067797578,0.38,4.175406591222011,0.0,4.175406591222011,0.38,4.175406591222011,19,0,3506853.0,0.5418,0.0
2020-03-27,28.0,5.150404514857709,0.75,5.215166983584195,0.0,5.215166983584195,0.75,5.215166983584195,28,0,3506853.0,0.7984399999999999,0.0
2020-03-28,68.0,8.082841284617881,3.3500000000000005,8.26050986515501,2.65,8.27668552213525,3.3500000000000005,8.26050986515501,68,1,3506853.0,1.9390599999999998,0.0147
2020-03-30,77.0,8.177895805033211,3.7800000000000002,8.384567955355827,2.57,8.407501400414976,3.7800000000000002,8.384567955355827,77,1,3506853.0,2.1957,0.013000000000000001
2020-03-31,82.0,8.989983202420236,3.8,9.176720437051463,2.47,9.20007054210988,3.8,9.176720437051463,82,1,3506853.0,2.33828,0.0122
2020-04-01,92.0,9.48106033366021,4.23,9.67189769644536,3.34,9.700000260335308,4.23,9.67189769644536,92,2,3506853.0,2.62343,0.0217
2020-04-02,106.0,10.131957641865943,5.86,10.378928926270074,4.31,10.407500451912826,5.86,10.423455678556335,106,2,3506853.0,3.02265,0.0189
2020-04-03,175.99999999999997,13.32842333837235,10.12,13.64456187229435,8.72,13.69874697506559,10.12,13.67857308406698,176,4,3506853.0,5.01874,0.0227
2020-04-04,215.0,13.93430473632784,12.29,14.313418476550194,10.06,14.380206830391852,12.29,14.346076400215079,215,6,3506853.0,6.13085,0.0279
2020-04-05,246.0,15.116036036426529,14.33,15.513956473270946,12.08,15.568443899585645,14.33,15.694373211602002,246,7,3506853.0,7.0148399999999995,0.0285
2020-04-07,254.0,15.272633477345464,15.12,15.692308094519854,12.75,15.744079310437092,15.12,15.946762693538785,254,8,3506853.0,7.242960000000001,0.0315
2020-04-08,261.0,15.621566289374872,14.74,16.021982815286425,11.65,16.087617391439093,14.55,16.381648854493232,261,11,3506853.0,7.44257,0.0421
2020-04-10,263.0,16.124233597008853,15.130000000000003,16.530517508260566,12.74,16.57921617842379,14.940000000000003,16.9129422083035,263,11,3506853.0,7.4996,0.0418
2020-04-11,289.00000000000006,16.829645560645947,17.360000000000003,17.298004789482796,14.39,17.35335326952603,17.280000000000005,17.665253860032525,289,13,3506853.0,8.241010000000001,0.045
2020-04-12,339.0,17.439071423708665,19.459999999999997,17.884468460684317,16.51,17.94391574103078,19.08,18.36540858035106,339,17,3506853.0,9.666789999999999,0.0501
2020-04-13,376.0,18.550264775261923,21.94,19.038874001167276,18.11,19.117965980520083,21.19,19.740230239259873,376,18,3506853.0,10.721860000000001,0.0479
2020-04-14,399.00000000000006,19.128723972290487,24.380000000000003,19.68420383983261,20.75,19.747794327673176,21.03,21.34722239637757,399,19,3506853.0,11.37772,0.0476
2020-04-15,400.00000000000006,19.58291875770073,23.73,20.10720783875044,19.92,20.169120136255504,19.95,21.785334215216597,400,20,3506853.0,11.406239999999999,0.05
2020-04-16,463.0,20.34974995503196,28.099999999999998,20.917526699691894,24.02,20.992916024990986,24.299999999999997,22.841959662255803,463,23,3506853.0,13.202720000000001,0.0497
2020-04-17,516.0,21.71912995634508,29.779999999999998,22.33949431076286,24.79,22.408456128448613,25.549999999999997,24.34334839563184,516,24,3506853.0,14.71405,0.0465
2020-04-18,561.0000000000001,22.828703357170706,33.7,23.481194538815462,28.39,23.567867891892494,27.840000000000003,25.672722150684816,561,26,3506853.0,15.99725,0.0463
2020-04-19,595.0000000000001,23.6351604200354,34.85,24.230033183650576,29.42,24.306750257506824,24.730000000000004,27.807707146898622,595,27,3506853.0,16.96678,0.0454
2020-04-20,608.0,23.405399532431126,35.81999999999999,24.013340610434177,30.03,24.090031699288552,23.529999999999994,27.95558040459142,608,28,3506853.0,17.33748,0.0461
2020-04-21,646.0,25.167511525052223,38.95,25.83808693312329,32.81,25.901363600467768,24.620000000000005,30.137843018673085,646,29,3506853.0,18.42107,0.0449
2020-04-22,708.0,25.829436656260974,43.07,26.4962997035397,36.93,26.61689309404458,27.950000000000003,30.7945195012543,708,34,3506853.0,20.18904,0.048
2020-04-23,754.0000000000001,25.315998854080362,45.2,26.08220462268859,38.13,26.226980344290457,30.46,30.610216126534155,754,38,3506853.0,21.50076,0.0504
2020-04-24,781.0000000000001,26.326796273382794,48.339999999999996,27.09469693538206,41.29,27.186917847012413,33.209999999999994,31.73925977572746,781,40,3506853.0,22.27068,0.0512
2020-04-25,825.0,27.786425724541374,49.870000000000005,28.57198198490008,41.81,28.687140926649604,32.510000000000005,33.400286289827285,825,44,3506853.0,23.525370000000002,0.0533
2020-04-26,832.0,26.933892133417064,51.319999999999986,27.69750792859433,43.38,27.776384672137333,31.85999999999999,32.96977642592921,832,45,3506853.0,23.72498,0.0541
2020-04-27,857.0000000000001,28.154379604407747,51.06999999999999,28.956584586395735,43.46,29.058771324835657,29.129999999999992,34.65490606164464,857,48,3506853.0,24.43786,0.055999999999999994
2020-04-28,1086.0,31.284500954945727,65.49999999999999,32.16645768498608,56.05,32.26745264194246,41.11999999999998,37.71138927178473,1086,54,3506853.0,30.967940000000002,0.0497
2020-04-29,1176.9999999999998,34.30376190460867,71.73,35.2018831997392,60.29,35.31626368697687,48.0,40.5397630466532,1177,56,3506853.0,33.56286,0.0476
2020-04-30,1297.0,35.012551861850746,80.17,35.974550558398754,68.72,36.132670644152334,52.07000000000001,41.61383437164991,1297,56,3506853.0,36.98473,0.0432
2020-05-01,1366.0000000000002,36.48139971619133,83.81,37.41297402309158,71.38,37.59050711619258,54.03,43.575034495834096,1366,59,3506853.0,38.9523,0.0432
2020-05-02,1392.0000000000002,36.20587317722434,85.47999999999999,37.214033005376514,72.98,37.33689666436209,51.77999999999999,44.00284933382098,1392,61,3506853.0,39.693709999999996,0.0438
2020-05-03,1421.0,35.72640706278987,86.52,36.735491852106215,73.5,36.8920907731747,51.669999999999995,44.00671391613977,1421,62,3506853.0,40.52066,0.0436
