,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-21,2.0,1.3661861683038106,0.0,1.3661861683038106,0.0,1.3661861683038106,0.0,1.3661861683038106,2,0,605761.0,0.33016,0.0
2020-03-22,2.0,1.3371913879773565,0.0,1.3371913879773565,0.0,1.3371913879773565,0.0,1.3371913879773565,2,0,605761.0,0.33016,0.0
2020-03-23,1.9999999999999998,1.3476504057661312,0.0,1.3476504057661312,0.0,1.3476504057661312,0.0,1.3476504057661312,2,0,605761.0,0.33016,0.0
2020-03-24,8.0,2.6116676819243456,0.0,2.6116676819243456,0.0,2.6116676819243456,0.0,2.6116676819243456,8,0,605761.0,1.32065,0.0
2020-03-25,7.999999999999999,2.666553027881698,0.0,2.666553027881698,0.0,2.666553027881698,0.0,2.666553027881698,8,0,605761.0,1.32065,0.0
2020-03-26,10.0,3.0545875417975914,0.07,3.065551345272992,0.0,3.065551345272992,0.07,3.065551345272992,10,0,605761.0,1.6508200000000002,0.0
2020-03-27,11.999999999999998,3.2719808351912127,0.1,3.2866789599622575,0.0,3.2866789599622575,0.1,3.2866789599622575,12,0,605761.0,1.98098,0.0
2020-03-28,16.0,3.7114074762205047,0.16,3.732177039550168,0.0,3.732177039550168,0.16,3.732177039550168,16,0,605761.0,2.64131,0.0
2020-03-29,16.0,3.8579577996445718,0.19000000000000003,3.8813578015738748,0.0,3.8813578015738748,0.19000000000000003,3.8813578015738748,16,0,605761.0,2.64131,0.0
2020-03-30,16.0,3.822765406552612,0.13,3.839119085615261,0.0,3.839119085615261,0.13,3.839119085615261,16,0,605761.0,2.64131,0.0
2020-03-31,16.000000000000004,3.739199936031258,0.43000000000000005,3.7890521455393253,0.0,3.7890521455393253,0.43000000000000005,3.7890521455393253,16,0,605761.0,2.64131,0.0
2020-04-01,25.999999999999996,4.862908470028898,0.48000000000000004,4.907634744750141,0.0,4.907634744750141,0.48000000000000004,4.907634744750141,26,0,605761.0,4.29212,0.0
2020-04-02,30.0,5.190142171229586,0.77,5.258105719513042,0.0,5.258105719513042,0.77,5.258105719513042,30,0,605761.0,4.95245,0.0
2020-04-03,37.0,5.83796353036041,1.37,5.944991016125945,0.96,5.94821974895163,1.37,5.944991016125945,37,1,605761.0,6.10802,0.027000000000000003
2020-04-04,41.99999999999999,6.478464713997064,1.35,6.567069746127648,0.94,6.571362495746604,1.35,6.567069746127648,42,1,605761.0,6.93343,0.0238
2020-04-05,42.0,6.363167370885272,1.26,6.4522475921107505,0.93,6.457290375219236,1.26,6.5893535189713255,42,1,605761.0,6.93343,0.0238
2020-04-06,41.99999999999999,6.13036818971048,1.1300000000000001,6.2192213452661536,0.95,6.22303897958338,1.1300000000000001,6.3635584194360755,42,1,605761.0,6.93343,0.0238
2020-04-07,48.99999999999999,6.653335155158553,1.2800000000000002,6.7459816696214565,0.94,6.750160641560221,1.2800000000000002,7.2338839337991026,49,1,605761.0,8.089,0.0204
2020-04-08,52.0,6.979652968132123,1.71,7.090984103462336,0.95,7.094332636376416,1.71,7.575787787818545,52,1,605761.0,8.58424,0.0192
2020-04-09,63.00000000000001,7.5414678527284975,2.12,7.667746564261066,1.93,7.67199044405931,2.0500000000000003,8.257841269014706,63,2,605761.0,10.400139999999999,0.0317
2020-04-10,74.99999999999999,8.025602969889741,2.58,8.165923280946437,1.93,8.169908385673796,2.48,8.802531545877107,75,3,605761.0,12.38112,0.04
2020-04-11,79.0,8.501182330129204,2.3200000000000003,8.624505841501936,1.91,8.629252633345544,2.16,9.397406369027918,79,3,605761.0,13.04145,0.038
2020-04-12,83.0,8.612218240981997,3.13,8.782346100576033,2.8,8.791450564628288,2.94,9.60179886344957,83,3,605761.0,13.701770000000002,0.0361
2020-04-13,113.0,10.1916186599132,3.9799999999999995,10.364414643822917,2.85,10.371527896558487,3.8499999999999996,11.052598167970563,113,3,605761.0,18.654220000000002,0.0265
2020-04-14,113.99999999999999,10.638219642953288,3.92,10.798236762162476,2.87,10.80439804763399,3.4899999999999998,11.443724626769614,114,3,605761.0,18.8193,0.0263
2020-04-15,142.0,11.272044619277814,5.15,11.47968161139454,4.84,11.48640456796599,4.67,12.484709395371151,142,3,605761.0,23.441589999999998,0.0211
