,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-10,1.0,0.963579186411189,0.0,0.963579186411189,0.0,0.963579186411189,0.0,0.963579186411189,1,0,11377239.0,0.008790000000000001,0.0
2020-03-11,2.0,1.396243155576761,0.0,1.396243155576761,0.0,1.396243155576761,0.0,1.396243155576761,2,0,11377239.0,0.017580000000000002,0.0
2020-03-12,4.0,1.8982181969500567,0.0,1.8982181969500567,0.0,1.8982181969500567,0.0,1.8982181969500567,4,0,11377239.0,0.035160000000000004,0.0
2020-03-13,3.9999999999999996,1.9603648392659723,0.0,1.9603648392659723,0.0,1.9603648392659723,0.0,1.9603648392659723,4,0,11377239.0,0.035160000000000004,0.0
2020-03-16,8.0,2.7678529767691975,0.0,2.7678529767691975,0.0,2.7678529767691975,0.0,2.7678529767691975,8,0,11377239.0,0.07032000000000001,0.0
2020-03-18,19.000000000000004,4.225559552929473,0.68,4.29778472417518,0.0,4.29778472417518,0.68,4.29778472417518,19,0,11377239.0,0.16699999999999998,0.0
2020-03-19,31.0,5.212378429171168,1.42,5.328854369270087,0.74,5.346876554483832,1.42,5.328854369270087,31,0,11377239.0,0.27247,0.0
2020-03-20,43.0,6.495219687422344,2.08,6.630782667821258,1.56,6.656852017874424,2.08,6.630782667821258,43,0,11377239.0,0.37795,0.0
2020-03-21,69.00000000000001,7.6260054809814815,3.7199999999999998,7.837445986796949,2.35,7.860856161765053,3.7199999999999998,7.837445986796949,69,0,11377239.0,0.60647,0.0
2020-03-22,77.0,8.649400049258977,4.5,8.894139711749597,3.07,8.929211679208933,4.5,8.894139711749597,77,0,11377239.0,0.67679,0.0
2020-03-23,96.0,9.473748951282126,6.319999999999999,9.760047089636359,4.63,9.816904766367003,6.319999999999999,9.760047089636359,96,0,11377239.0,0.8437899999999999,0.0
2020-03-24,111.99999999999999,9.820602956246752,6.359999999999999,10.09805141719146,4.57,10.156561545338189,6.359999999999999,10.09805141719146,112,0,11377239.0,0.9844200000000001,0.0
2020-03-25,162.00000000000003,11.972308115654291,10.6,12.329272550161328,7.79,12.399873451618836,10.6,12.329272550161328,162,1,11377239.0,1.4239,0.0062
2020-03-26,190.00000000000003,13.140161276934101,13.309999999999999,13.556863146902325,10.18,13.625569286596374,13.309999999999999,13.556863146902325,190,1,11377239.0,1.67,0.0053
2020-03-27,197.0,13.544181351593329,13.26,13.94706594538251,10.24,14.03007656731953,13.26,13.94706594538251,197,2,11377239.0,1.73153,0.0102
2020-03-28,199.99999999999997,13.428343309597206,13.709999999999999,13.87173039099319,10.28,13.94153879743567,13.709999999999999,13.941821939398704,200,2,11377239.0,1.7579,0.01
2020-03-29,230.0,15.091123887968724,15.670000000000003,15.529743082292772,11.41,15.61905311477044,15.670000000000003,15.645323663166975,230,2,11377239.0,2.0215799999999997,0.0087
2020-03-30,253.99999999999997,15.297289652323078,17.09,15.77029393217104,13.19,15.86808339740722,17.09,15.89167080612045,254,4,11377239.0,2.23253,0.0157
2020-03-31,304.99999999999994,17.067601773624506,21.330000000000002,17.576101112107608,16.13,17.648581537988548,21.330000000000002,17.792704696139943,305,4,11377239.0,2.68079,0.0131
2020-04-01,316.0,18.081901214063514,22.29,18.585958450269697,17.23,18.686223575542265,21.61,19.076393921559312,316,5,11377239.0,2.7774799999999997,0.0158
2020-04-02,386.00000000000006,19.350493951359905,27.150000000000006,19.875379648238578,21.02,19.985752829493723,25.730000000000004,20.577351750176824,386,5,11377239.0,3.3927400000000003,0.013000000000000001
2020-04-03,410.0,19.874022433235996,29.160000000000004,20.478172957487384,22.29,20.62041385803805,27.080000000000005,21.524935457850887,410,6,11377239.0,3.6036900000000003,0.0146
2020-04-04,418.0,19.879033165522905,29.009999999999998,20.505117887882516,22.49,20.6453326346649,25.29,21.95188873860104,418,7,11377239.0,3.674,0.0167
2020-04-05,467.99999999999994,20.8874472960545,34.01,21.534729033481117,26.41,21.649167525460523,29.509999999999998,23.299147532851407,468,7,11377239.0,4.11348,0.015
2020-04-06,501.0,21.93621147184203,35.51,22.595629527352713,26.81,22.726556574575344,29.189999999999998,24.613431149055447,501,8,11377239.0,4.40353,0.016
2020-04-07,555.0,23.062790881251196,39.470000000000006,23.736103792162762,30.09,23.897793271185595,33.11000000000001,25.794830211818915,555,8,11377239.0,4.87816,0.0144
2020-04-08,581.0,24.01102861081747,40.379999999999995,24.77361287639522,30.76,24.912934290233558,29.779999999999994,27.672059131290837,581,10,11377239.0,5.10669,0.0172
2020-04-09,636.0,24.35469382092723,44.98,25.144492659648378,33.9,25.27005166419553,31.669999999999998,28.566309693324925,636,14,11377239.0,5.59011,0.022000000000000002
2020-04-10,640.0000000000001,24.307034356167748,46.82,25.156715190817724,36.24,25.32553492410218,33.56,28.764230698504136,640,15,11377239.0,5.6252699999999995,0.0234
2020-04-11,653.0,24.51296502966246,46.290000000000006,25.28366181045488,35.89,25.443691841897756,32.580000000000005,28.83900932046485,653,16,11377239.0,5.73953,0.0245
2020-04-12,664.0,24.92800542653693,48.07999999999999,25.748030109999764,36.93,25.89065766923379,32.40999999999999,30.068820641113856,664,16,11377239.0,5.8362099999999995,0.0241
2020-04-13,685.0000000000001,25.035691693777082,48.97,25.843389069273766,37.49,25.976348060993075,31.88,30.27512063217799,685,17,11377239.0,6.02079,0.0248
2020-04-14,720.0,25.0726298516284,51.13000000000001,25.93898740654245,39.25,26.085217416704957,29.800000000000008,31.332896418617256,720,18,11377239.0,6.3284199999999995,0.025
2020-04-15,762.0,26.11425169163653,53.7,26.98658076552384,40.86,27.161663082626976,31.410000000000004,32.76756617341747,762,19,11377239.0,6.69758,0.0249
2020-04-16,792.0,27.48988059911384,57.14,28.367279308272327,44.09,28.53181444201429,29.989999999999995,34.637165754650766,792,21,11377239.0,6.96127,0.0265
2020-04-17,830.9999999999999,28.310893074339187,59.25,29.159070058331196,45.46,29.312450710690616,30.089999999999996,35.631544091484926,831,24,11377239.0,7.304060000000001,0.0289
2020-04-18,854.0000000000001,28.38216113524604,60.77,29.23010384359027,45.96,29.36490031835747,31.760000000000005,35.705165316842184,854,24,11377239.0,7.50621,0.0281
2020-04-19,869.0,28.572077914699104,62.0,29.49663771285867,47.92,29.676678324294254,27.990000000000002,36.521174555442364,869,26,11377239.0,7.63806,0.0299
2020-04-20,903.9999999999999,28.71887071863264,65.35000000000001,29.683746989784414,51.14,29.87683442658434,29.84000000000001,37.305325478956874,904,27,11377239.0,7.945689999999999,0.0299
2020-04-21,918.0000000000001,30.629229454390412,66.19,31.526445993319594,51.18,31.666455390044796,26.71999999999999,39.462886617707284,918,27,11377239.0,8.06874,0.0294
2020-04-22,970.0000000000001,28.760424548361943,69.29,29.746057221117898,53.66,29.935469266440776,28.91000000000001,38.711236290662626,970,28,11377239.0,8.525789999999999,0.0289
2020-04-23,1038.9999999999998,31.225410527745872,74.11000000000001,32.226395433344116,57.59,32.44691761363878,29.130000000000017,40.875250136694866,1039,29,11377239.0,9.13227,0.0279
2020-04-24,1096.0,31.88646842607172,78.92999999999999,32.9660365935438,60.41,33.19399747976836,32.10999999999999,41.468299794888964,1096,34,11377239.0,9.63327,0.031
2020-04-25,1166.0,32.43193338409388,83.01,33.540384658353325,64.29,33.73282234012302,36.72,42.002630364963544,1166,35,11377239.0,10.24853,0.03
2020-04-26,1208.0000000000002,33.6583278001601,86.76999999999998,34.65873526692845,66.5,34.842186072389744,38.68999999999999,43.17625487288684,1208,38,11377239.0,10.61769,0.0315
2020-04-27,1256.0,34.659025964502824,89.80999999999999,35.73632298947502,69.6,35.969775934916264,40.83999999999999,44.10176344993406,1256,45,11377239.0,11.039589999999999,0.0358
2020-04-28,1350.0,37.22439462980635,97.14999999999999,38.32612758361528,75.2,38.54285998152649,46.01999999999998,46.27875455576051,1350,49,11377239.0,11.8658,0.0363
2020-04-29,1420.0000000000002,36.484320694863655,101.49,37.608610138712336,79.63,37.838349020083534,47.78999999999999,46.28912505092095,1420,51,11377239.0,12.481060000000001,0.0359
2020-04-30,1529.0000000000002,38.6216718352991,110.71,39.77303150821591,85.34,40.01147879488504,53.56999999999999,48.85280514675765,1529,58,11377239.0,13.439110000000001,0.0379
2020-05-01,1619.0,38.81007366885327,115.5,40.054730284721906,89.39,40.26436784778594,56.25,49.54425077492327,1619,62,11377239.0,14.230170000000001,0.0383
2020-05-02,1666.0,40.08577419645645,122.25,41.3303011473337,94.51,41.57792314353007,61.48,50.62205807389071,1666,65,11377239.0,14.643270000000001,0.039
2020-05-03,1689.9999999999998,38.99092875596227,123.48,40.21080856253111,95.01,40.51122097953264,61.480000000000004,49.86943714958253,1690,67,11377239.0,14.854220000000002,0.0396
2020-05-04,1768.0,41.359163483325,128.78,42.77135027141889,98.8,43.08489763293404,63.42999999999999,52.06258963395828,1768,76,11377239.0,15.5398,0.043
2020-05-05,2018.9999999999998,43.55295163315106,145.01999999999998,44.9323023665558,113.01,45.25396884207612,78.82999999999998,54.8892393181878,2019,83,11377239.0,17.74596,0.0411
2020-05-06,2100.0,45.06743992522919,151.70000000000002,46.47709480393693,117.65,46.75625991687253,82.41000000000001,55.18104984155486,2100,90,11377239.0,18.457910000000002,0.0429
2020-05-07,2182.0,44.26640653446751,159.98,45.7563978857028,122.58,46.05248687611504,85.86999999999998,55.96595849354329,2182,91,11377239.0,19.178639999999998,0.0417
2020-05-08,2492.9999999999995,48.49477947535834,181.33,50.060031326035315,140.63,50.37717574818617,102.40000000000002,59.93968889684452,2493,95,11377239.0,21.91217,0.0381
2020-05-09,2542.0,48.97055186022463,185.1,50.580693446165306,142.76,50.845343439640075,102.08999999999999,60.69072377658099,2542,97,11377239.0,22.34285,0.0382
2020-05-10,2576.0,47.10927335847621,185.73000000000002,48.78668195689922,142.96,49.07299396168565,98.96000000000004,59.84453414194705,2576,100,11377239.0,22.6417,0.0388
2020-05-11,2808.0,51.59909364171492,204.23,53.15407571058371,157.47,53.5909028161167,114.42,64.05029699739531,2808,105,11377239.0,24.68086,0.0374
2020-05-12,2917.0,52.4678756935897,212.45000000000002,54.09517057739979,164.6,54.364579275461885,115.30000000000003,66.29615023026251,2917,111,11377239.0,25.63891,0.0381
2020-05-13,2997.0000000000005,53.87291630412364,217.0,55.52031620146909,168.96,55.803260756976485,115.51,67.05902674268967,2997,120,11377239.0,26.34207,0.04
2020-05-14,3101.0000000000005,53.84624763006596,224.92,55.61950362811937,174.22,55.910828860234076,114.21,68.37706647109043,3101,126,11377239.0,27.25617,0.0406
2020-05-15,3695.0,58.56080842020782,268.37,60.53874117313874,207.08,60.933018822542216,152.87,72.5900861069203,3695,132,11377239.0,32.47712,0.0357
2020-05-16,3734.0,57.7449145078175,271.0,59.78178779122578,209.65,60.110478716403115,148.75,72.67775412355864,3734,138,11377239.0,32.81991,0.037000000000000005
2020-05-17,3735.0000000000005,57.728449999925864,269.45,59.57162612682266,207.82,59.98871760084508,145.96999999999997,71.87271919613495,3735,144,11377239.0,32.8287,0.0386
2020-05-18,3750.0,57.56008191709799,273.20000000000005,59.49507063869267,211.4,59.83329700344976,144.42000000000004,73.27381411079564,3750,151,11377239.0,32.96055,0.0403
2020-05-19,3798.0,58.540032059568894,275.84000000000003,60.5103673227601,214.64,60.8617692277784,130.82000000000005,75.36853686715001,3798,160,11377239.0,33.38244,0.0421
2020-05-20,4973.000000000001,64.68620292214446,360.96,66.97739953510325,280.76,67.43437141758533,209.25999999999996,81.52356953604884,4973,161,11377239.0,43.71008,0.0324
2020-05-21,5473.0,68.57257896461665,400.32000000000005,70.93212661311225,311.1,71.33047445418113,240.34000000000006,84.40980116866368,5473,166,11377239.0,48.104820000000004,0.0303
2020-05-22,5918.0,74.85239077037154,431.89,77.08606815787405,334.36,77.53213723379747,250.55999999999997,91.9144637171106,5918,172,11377239.0,52.01614,0.0291
2020-05-23,6336.0,77.39142932737019,467.22,80.05328433820397,362.28,80.69677771344611,282.12,94.69390098009629,6336,176,11377239.0,55.69014,0.0278
2020-05-24,6469.999999999999,80.68355445563834,471.55,83.01543265921077,366.68,83.62104794605219,285.82,96.28967959215356,6470,180,11377239.0,56.86793,0.0278
2020-05-25,6559.0,76.58567658894096,476.92999999999995,79.21678836323686,370.85,79.64312310919166,272.69999999999993,95.39735490689625,6559,197,11377239.0,57.65019,0.03
2020-05-26,6785.0,80.2785843865667,494.97999999999996,82.93958591113844,384.86,83.46433556382698,282.53,99.02152488680981,6785,203,11377239.0,59.63661,0.0299
2020-05-27,7048.0,83.20555051415522,517.05,85.7689077484588,400.63,86.35148311617836,300.04999999999995,102.17049988854292,7048,209,11377239.0,61.94825,0.0297
2020-05-28,8234.0,86.15805536948072,598.94,89.0008309233712,464.31,89.50676960459755,374.0200000000001,104.95083176844712,8234,213,11377239.0,72.37257,0.0259
2020-05-29,8843.0,94.16123609977933,641.51,96.87797729018905,496.75,97.4491148437911,373.14,114.23782940281502,8843,216,11377239.0,77.72536,0.0244
2020-05-30,9241.999999999998,93.64616728123285,676.2800000000001,96.64036654765256,524.19,97.02141179381304,405.2800000000001,113.6363612492929,9242,218,11377239.0,81.23236,0.0236
