,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-12,2.0,1.35944135882384,0.0,1.35944135882384,0.0,1.35944135882384,0.0,1.35944135882384,2,0,7164788.0,0.02791,0.0
2020-03-13,3.0,1.6754917866921124,0.0,1.6754917866921124,0.0,1.6754917866921124,0.0,1.6754917866921124,3,0,7164788.0,0.04187,0.0
2020-03-14,5.0,2.228420648319923,0.0,2.228420648319923,0.0,2.228420648319923,0.0,2.228420648319923,5,0,7164788.0,0.06978999999999999,0.0
2020-03-15,6.0,2.4071442487610577,0.0,2.4071442487610577,0.0,2.4071442487610577,0.0,2.4071442487610577,6,0,7164788.0,0.08374,0.0
2020-03-16,7.0,2.555485286693127,0.0,2.555485286693127,0.0,2.555485286693127,0.0,2.555485286693127,7,0,7164788.0,0.0977,0.0
2020-03-17,6.999999999999999,2.4907911201143316,0.0,2.4907911201143316,0.0,2.4907911201143316,0.0,2.4907911201143316,7,0,7164788.0,0.0977,0.0
2020-03-18,14.000000000000002,3.5638193109090253,0.24000000000000002,3.5952479859959703,0.0,3.5952479859959703,0.24000000000000002,3.5952479859959703,14,0,7164788.0,0.1954,0.0
2020-03-19,21.0,4.350850375489715,0.53,4.4061546715814455,0.0,4.4061546715814455,0.53,4.4061546715814455,21,0,7164788.0,0.2931,0.0
2020-03-20,40.0,6.1459521046561445,1.7100000000000002,6.269675212698604,0.8,6.28242208648283,1.7100000000000002,6.269675212698604,40,0,7164788.0,0.55829,0.0
2020-03-21,57.0,7.573505119690606,3.12,7.746068667264693,2.38,7.775421518990453,3.12,7.746068667264693,57,0,7164788.0,0.79556,0.0
2020-03-22,68.0,7.835119074340281,3.5399999999999996,8.022262206453421,2.42,8.051104949576233,3.5399999999999996,8.022262206453421,68,0,7164788.0,0.94909,0.0
2020-03-23,86.0,8.777243302996679,4.99,9.003538193399304,3.13,9.03641521843701,4.99,9.003538193399304,86,0,7164788.0,1.20031,0.0
