,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor
2020-03-14,1.0,0.959060988570581,0.0,0.959060988570581,0.0,0.959060988570581,0.0,0.959060988570581
2020-03-16,4.999999999999999,2.133049223505869,0.0,2.133049223505869,0.0,2.133049223505869,0.0,2.133049223505869
2020-03-18,5.999999999999999,2.4510150443183223,0.0,2.4510150443183223,0.0,2.4510150443183223,0.0,2.4510150443183223
2020-03-20,7.0,2.549628612289653,0.0,2.549628612289653,0.0,2.549628612289653,0.0,2.549628612289653
2020-03-21,10.0,3.1340747027510756,0.0,3.1340747027510756,0.0,3.1340747027510756,0.0,3.1340747027510756
2020-03-24,14.999999999999998,3.615538855014729,0.16,3.636855951522031,0.0,3.636855951522031,0.16,3.636855951522031
2020-03-25,16.0,3.7876193850571376,0.39,3.8348090703528652,0.0,3.8348090703528652,0.39,3.8348090703528652
2020-03-27,16.0,3.8059496220066458,0.24,3.8356814942396524,0.0,3.8356814942396524,0.24,3.8356814942396524
2020-03-30,18.000000000000004,4.107544180154267,0.30000000000000004,4.1409563136936365,0.0,4.1409563136936365,0.30000000000000004,4.1409563136936365
2020-03-31,18.999999999999996,4.015399649279551,0.38,4.059240611670408,0.0,4.059240611670408,0.38,4.059240611670408
2020-04-01,22.0,4.543771405546123,0.62,4.605047077485592,0.0,4.605047077485592,0.62,4.605047077485592
2020-04-02,24.0,4.530458089978375,0.72,4.602026782304782,0.0,4.602026782304782,0.72,4.602026782304782
2020-04-03,26.999999999999996,5.059943705519885,0.78,5.130714404742316,0.0,5.130714404742316,0.78,5.130714404742316
2020-04-04,32.0,5.491885658023852,0.8200000000000001,5.55847173967882,0.0,5.55847173967882,0.8200000000000001,5.55847173967882
2020-04-06,31.999999999999996,5.478221343730928,0.9800000000000001,5.559236376599676,0.0,5.559236376599676,0.9800000000000001,5.559236376599676
2020-04-07,36.00000000000001,5.845830768482558,1.4,5.956218378613847,0.83,5.968051388329139,1.4,6.326644953183034
2020-04-08,39.0,5.840091323486873,1.26,5.935289939562065,0.92,5.94148690705169,1.26,6.421459445806802
2020-04-09,39.99999999999999,6.156297588648554,1.31,6.249727994081023,0.87,6.258769847182433,1.31,6.749793038353552
2020-04-10,42.0,6.37159098790653,1.6900000000000002,6.485481610271647,0.9,6.49241647748908,1.6900000000000002,7.203047685500628
2020-04-11,44.0,6.447002278876469,1.93,6.580846327322831,0.82,6.592051151488313,1.77,7.518926758252112
2020-04-13,45.0,6.624777488163416,1.7300000000000002,6.74741259800205,0.86,6.756328645623803,1.3400000000000003,7.761013939797904
2020-04-14,46.00000000000001,6.771195677950159,1.81,6.89247349716275,0.86,6.901202135069723,1.57,7.887879527119024
2020-04-15,48.00000000000001,6.667908975159312,1.79,6.796742609589546,0.8,6.8085027796873305,1.49,7.958845977459879
2020-04-16,53.0,6.851247766618572,2.12,6.9831651820357195,1.73,6.997263462211206,1.7400000000000002,8.077253883779456
2020-04-17,58.00000000000001,7.447757441612268,2.46,7.59545198846592,1.77,7.609730015519007,1.8399999999999999,8.882417998211382
2020-04-18,71.0,8.159669234730169,3.19,8.333684780467882,2.52,8.36539909509415,2.4699999999999998,9.519923976863078
2020-04-19,85.99999999999999,9.093343108499147,4.1,9.289342758714898,3.45,9.316618962310786,3.3199999999999994,10.612074217226303
2020-04-20,91.99999999999999,9.061596175758732,4.369999999999999,9.272498328526419,3.42,9.29531200404404,3.549999999999999,10.810912696591965
2020-04-21,117.0,10.358512821770693,5.7299999999999995,10.58745899065436,4.27,10.623153386767408,4.749999999999999,11.95823552911118
2020-04-22,118.0,11.083648890472519,5.8,11.323986609285297,4.4,11.34868594716026,4.4,12.794889999566628
2020-04-23,135.0,11.238282337572317,6.76,11.503685926649332,5.16,11.537295605946392,5.5,12.944591788297403
2020-04-24,145.00000000000003,11.243916424700807,7.380000000000001,11.51403737034306,6.12,11.54377133200656,6.07,13.10084564315054
2020-04-25,153.99999999999997,11.733109501997268,7.22,12.004451615374132,6.18,12.037211412360364,5.529999999999999,13.644351589688325
2020-04-26,175.0,12.841504679134857,9.14,13.135937059237246,7.77,13.188250165364718,7.210000000000001,14.692187747509928
2020-04-27,211.0,13.708214745733725,11.12,14.052656386432835,9.52,14.099175561540878,9.389999999999999,15.588608927124586
2020-04-28,280.0,15.430770780122645,14.570000000000002,15.828360207825915,11.88,15.88214679659796,12.760000000000002,17.263927067089277
2020-04-30,452.99999999999994,20.734536650260846,24.869999999999997,21.221859251748192,20.89,21.269349075630178,23.08,22.283694042999702
2020-05-01,517.0,22.01215917430981,28.28,22.505371614686826,24.2,22.570151783166004,26.16,23.56387802282866
2020-05-02,601.0000000000001,23.832369126501426,33.13,24.42200888915198,28.47,24.506807588541967,30.67,25.575875529312952
2020-05-03,730.0,25.44484230644788,39.77,26.14271409016287,33.45,26.22268102235163,36.580000000000005,27.438873920410842
2020-05-04,772.0,27.822256914168193,43.32,28.44454569505338,37.17,28.534422717096973,39.22,29.922968914980157
2020-05-05,898.0,28.47873564325467,49.24999999999999,29.162525333694678,42.44,29.264983920008973,44.879999999999995,30.601178230435984
2020-05-06,997.9999999999999,30.449537655510362,55.7,31.217756861029326,47.06,31.314289764169065,49.970000000000006,32.96426294205789
2020-05-07,1213.9999999999998,32.37256601357128,67.78000000000002,33.245758079836754,57.42,33.357818128634115,61.98000000000002,35.12140519726259
2020-05-08,1438.0,37.22344759026292,81.87,38.13641764121337,70.03,38.246508997620296,75.11,39.833668427651
2020-05-09,1588.0000000000002,38.04026574804411,90.46,39.020264199282636,77.48,39.18482637682369,83.08,40.68358483156904
2020-05-10,1771.0,41.27683822360155,99.30000000000001,42.30123135013181,85.75,42.46035414050822,92.08000000000001,43.971593470367125
2020-05-11,1799.9999999999998,41.33674961443956,102.08,42.330441394897704,88.16,42.47635423016986,92.94,44.32176791499987
2020-05-12,2032.0,43.163768476476996,114.47999999999999,44.20625192312632,98.08,44.31372596714148,103.35999999999999,46.386095552504315
2020-05-13,2268.0,47.26142211362265,126.66,48.368012365632936,108.6,48.52220749514619,112.08999999999999,50.89205838901299
2020-05-14,2493.9999999999995,47.62610480173514,141.93000000000004,48.94952460020279,121.1,49.11380619119087,117.06000000000003,53.351881585253096
2020-05-15,2868.0,50.44719411364119,163.28,51.75901654725864,140.87,51.96584353149089,135.0,56.44012354216232
2020-05-16,3135.0,52.90012506906985,176.62999999999997,54.3894450451853,151.43,54.57945430583959,143.49999999999997,59.6208541577949
2020-05-17,3343.0000000000005,54.647685174666776,187.80999999999997,56.10309790866718,161.37,56.2715798156538,148.03999999999996,61.89506519060705
2020-05-18,3566.0,59.88644304520065,202.23000000000002,61.3653922060803,174.18,61.54704672529837,158.91000000000003,67.63729400563007
2020-05-19,3966.9999999999995,61.37938323955925,225.46,62.95486706259245,194.05,63.16282757182968,176.21,69.38132436547367
2020-05-20,4277.0,63.99348767371931,243.20999999999995,65.56093627036198,209.81,65.7874628226873,187.50999999999993,72.6139429316492
2020-05-21,4734.0,65.89742564828089,267.02,67.57116032058875,229.81,67.85540219518788,199.23999999999995,75.3069859798793
2020-05-22,4922.0,67.83143694765604,280.4200000000001,69.6917946273723,241.45,69.94622032950629,198.55000000000007,79.44389585669178
