,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor
2020-02-25,1.0,0.9651503258638793,0.0,0.9651503258638793,0.0,0.9651503258638793,0.0,0.9651503258638793
2020-02-26,1.0,0.9678675925805539,0.0,0.9678675925805539,0.0,0.9678675925805539,0.0,0.9678675925805539
2020-02-27,1.0,0.9682849568054631,0.0,0.9682849568054631,0.0,0.9682849568054631,0.0,0.9682849568054631
2020-02-28,2.0,1.3595899560105797,0.0,1.3595899560105797,0.0,1.3595899560105797,0.0,1.3595899560105797
2020-02-29,2.0,1.3838170019729834,0.0,1.3838170019729834,0.0,1.3838170019729834,0.0,1.3838170019729834
2020-03-01,2.0,1.3699517059983093,0.0,1.3699517059983093,0.0,1.3699517059983093,0.0,1.3699517059983093
2020-03-02,2.0,1.3420924413810407,0.0,1.3420924413810407,0.0,1.3420924413810407,0.0,1.3420924413810407
2020-03-03,2.0,1.3371158468430433,0.0,1.3371158468430433,0.0,1.3371158468430433,0.0,1.3371158468430433
2020-03-04,3.0,1.6482620170251074,0.0,1.6482620170251074,0.0,1.6482620170251074,0.0,1.6482620170251074
2020-03-05,5.999999999999999,2.3676694418475286,0.0,2.3676694418475286,0.0,2.3676694418475286,0.0,2.3676694418475286
2020-03-06,10.0,3.0387065297157894,0.0,3.0387065297157894,0.0,3.0387065297157894,0.0,3.0387065297157894
2020-03-07,12.999999999999998,3.4671328357895526,0.14,3.4860593943606446,0.0,3.4860593943606446,0.14,3.4860593943606446
2020-03-08,16.0,3.9863656519580735,0.38,4.030572057551026,0.0,4.030572057551026,0.38,4.030572057551026
2020-03-09,15.999999999999998,3.8555220794401515,0.39999999999999997,3.903389617377506,0.0,3.903389617377506,0.39999999999999997,3.903389617377506
2020-03-10,19.0,4.2184060372313015,0.49,4.270158017562055,0.0,4.270158017562055,0.49,4.270158017562055
2020-03-11,30.0,5.203068247862909,0.97,5.289103817464656,0.0,5.289103817464656,0.97,5.376930989764223
2020-03-12,46.00000000000001,6.534338203488993,2.2800000000000002,6.682033803983318,1.26,6.717289316203059,2.2800000000000002,6.751825791232437
2020-03-14,65.0,7.944771484403685,3.31,8.125176548198443,1.89,8.164336711539644,3.31,8.23814170719822
2020-03-16,152.00000000000003,11.62100153892412,9.37,11.963928149553423,5.67,12.054736694249144,9.37,12.043692384921922
2020-03-17,164.0,12.726850642351678,10.43,13.063277815032768,6.18,13.155106509364616,10.43,13.134915110098541
2020-03-18,240.00000000000003,15.501847397238587,15.459999999999999,15.926941725493716,9.38,16.029443930694313,15.459999999999999,15.983387777579724
2020-03-19,286.0,15.993957192223151,18.16,16.447579355840382,11.2,16.572955881998443,18.16,16.501840668681343
2020-03-20,395.99999999999994,18.80611334087666,25.459999999999994,19.42046598282078,15.81,19.57826343141544,25.459999999999994,19.490286469589584
2020-03-21,395.99999999999994,18.978334271404634,25.65,19.555486997698925,15.73,19.68436363505744,25.65,19.698297649873968
2020-03-22,631.0000000000001,24.085613292518996,41.23,24.835471964043034,25.36,25.005020849356786,41.23,25.020679548135877
2020-03-23,744.9999999999999,26.84972772278853,50.01,27.680989483540483,31.03,27.869809450153742,49.87,27.89963779135652
2020-03-24,810.0,27.58942485149634,54.25,28.388777071870564,33.76,28.55004489727405,53.87,28.673475107622984
2020-03-25,862.0,28.890077287133824,55.660000000000004,29.725113383409756,34.73,29.939930956108864,55.260000000000005,29.980307139214172
2020-03-26,1051.9999999999998,31.071299563514508,70.48,31.96844470044886,43.75,32.274586853523886,69.99000000000001,32.25237520029504
