,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-03-18,1.0,0.9654642469409275,0.0,0.9654642469409275,0.0,0.9654642469409275,0.0,0.9654642469409275,1,0,1572866.0,0.06358,0.0
2020-03-19,1.0,0.9676588429625579,0.0,0.9676588429625579,0.0,0.9676588429625579,0.0,0.9676588429625579,1,0,1572866.0,0.06358,0.0
2020-03-20,1.0,0.9632646510065591,0.0,0.9632646510065591,0.0,0.9632646510065591,0.0,0.9632646510065591,1,0,1572866.0,0.06358,0.0
2020-03-21,2.0,1.370688833684684,0.0,1.370688833684684,0.0,1.370688833684684,0.0,1.370688833684684,2,0,1572866.0,0.12716,0.0
2020-03-22,5.0,2.11234945073494,0.0,2.11234945073494,0.0,2.11234945073494,0.0,2.11234945073494,5,0,1572866.0,0.31789,0.0
2020-03-23,7.0,2.5378349159482494,0.0,2.5378349159482494,0.0,2.5378349159482494,0.0,2.5378349159482494,7,0,1572866.0,0.44505,0.0
2020-03-24,7.0,2.517373972450601,0.0,2.517373972450601,0.0,2.517373972450601,0.0,2.517373972450601,7,0,1572866.0,0.44505,0.0
2020-03-25,6.999999999999999,2.524106002352341,0.0,2.524106002352341,0.0,2.524106002352341,0.0,2.524106002352341,7,0,1572866.0,0.44505,0.0
2020-03-26,8.0,2.7288581250527972,0.0,2.7288581250527972,0.0,2.7288581250527972,0.0,2.7288581250527972,8,0,1572866.0,0.50863,0.0
2020-03-27,9.0,2.9638904272335145,0.0,2.9638904272335145,0.0,2.9638904272335145,0.0,2.9638904272335145,9,0,1572866.0,0.5722,0.0
2020-03-28,8.999999999999998,2.9030809130781714,0.0,2.9030809130781714,0.0,2.9030809130781714,0.0,2.9030809130781714,9,0,1572866.0,0.5722,0.0
2020-03-29,10.000000000000002,3.09450474162823,0.0,3.09450474162823,0.0,3.09450474162823,0.0,3.09450474162823,10,0,1572866.0,0.63578,0.0
2020-03-30,11.0,3.2288785306444354,0.02,3.23191221502945,0.0,3.23191221502945,0.02,3.23191221502945,11,0,1572866.0,0.69936,0.0
2020-03-31,11.999999999999998,3.350380650769477,0.05,3.357640615826909,0.0,3.357640615826909,0.05,3.357640615826909,12,0,1572866.0,0.76294,0.0
2020-04-01,12.0,3.3604953939753135,0.1,3.374600612358342,0.0,3.374600612358342,0.1,3.374600612358342,12,0,1572866.0,0.76294,0.0
2020-04-02,12.000000000000002,3.2563225214398472,0.08,3.267971291739933,0.0,3.267971291739933,0.08,3.4082253446625272,12,0,1572866.0,0.76294,0.0
2020-04-03,13.0,3.440871395387506,0.17,3.4642597996680276,0.0,3.4642597996680276,0.17,3.595688355165774,13,0,1572866.0,0.82652,0.0
2020-04-04,16.0,3.9333846940663144,0.37,3.9756779486667626,0.0,3.9756779486667626,0.37,4.205330311676247,16,0,1572866.0,1.01725,0.0
2020-04-05,17.0,3.9551781683552947,0.37,3.998241406347839,0.0,3.998241406347839,0.37,4.521941457543933,17,0,1572866.0,1.08083,0.0
2020-04-06,18.999999999999996,4.192995602336369,0.29000000000000004,4.225436323175646,0.0,4.225436323175646,0.29000000000000004,4.928987541252075,19,0,1572866.0,1.20799,0.0
2020-04-07,19.0,4.264677566648475,0.26,4.293585302224093,0.0,4.293585302224093,0.26,4.97715244538948,19,0,1572866.0,1.20799,0.0
