,uf,date,n_mean,n_std,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,n_mean_ICU_cor,n_std_ICU_cor,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate,Leitos UTI adulto,UTI adulto SUS,Uti adulto não SUS
0,RO,2020-06-14,11865.0,107.367232553804,637.6100000000001,109.98043792539936,583.12,110.2025513600417,382.70000000000016,128.75388300116927,11865,324,1777225.0,667.61384,0.0273,285.0,213.0,72.0
1,AC,2020-06-14,9642.0,95.85493880301262,441.01,97.91372218912574,419.77,98.01139777051084,160.54000000000005,125.37760682406288,9642,259,881935.0,1093.27785,0.0269,58.0,43.0,15.0
2,AM,2020-06-14,56506.0,227.12087601810697,2607.62,232.00401704115453,2276.16,232.6259192850881,716.0499999999997,305.78512174368126,56506,2492,4144597.0,1363.36536,0.0441,450.0,356.0,94.0
3,RR,2020-06-13,6874.999999999999,79.61845504553821,308.31,81.18379323386155,293.51,81.25809611256213,161.63,99.40025748904723,6875,200,605761.0,1134.93606,0.0291,25.0,17.0,8.0
4,PA,2020-06-14,69224.00000000001,249.24288385331118,3465.9300000000007,254.93882688110725,3150.37,255.4805639408117,1599.37,321.6827084695148,69224,4201,8602865.0,804.6621700000002,0.0607,661.0,400.0,261.0
5,AP,2020-06-14,16512.0,123.05549622635776,737.6200000000001,125.68110101170801,679.32,125.85816124318342,309.5900000000001,158.77273802005132,16512,324,845731.0,1952.39385,0.0196,78.0,44.0,34.0
6,TO,2020-06-13,6972.000000000001,81.71318279460323,381.89,83.74673332389894,354.98,83.87296908077266,183.39,102.27987685312745,6972,132,1572866.0,443.26726,0.0189,161.0,109.0,52.0
7,MA,2020-06-14,59850.0,235.76585714207943,3142.49,241.51914519130654,2931.99,241.9828659098396,1294.4800000000002,303.01079028691873,59850,1467,7075181.0,845.91475,0.0245,682.0,413.0,269.0
8,PI,2020-06-14,10357.0,97.44016864028136,612.58,100.01141167210102,551.49,100.26570881735421,308.47,122.30149402772699,10357,374,3273227.0,316.41557,0.0361,293.0,206.0,87.0
9,CE,2020-06-14,76833.0,265.0023834464951,4669.949999999999,272.25289591172987,4025.52,273.532793157097,1770.3199999999995,350.21077414216217,76833,4885,9132078.0,841.3528699999998,0.0636,1002.0,630.0,372.0
