date;n_mean;n_std;n_mean_ICU;n_std_ICU;n_mean_ICU_SUS;n_std_ICU_SUS;n_mean_ICU_PRIVATE;n_std_ICU_PRIVATE
2020-03-16;9.0;2.8405789707186258;0.0;2.8405789707186258;0.0;2.8405789707186258;0.0;3.302948358604402
2020-03-17;9.999999999999998;3.0688727243044482;0.0;3.0688727243044482;0.0;3.0688727243044482;0.0;3.5336740826347093
2020-03-18;19.0;4.2669744207190545;0.41000000000000003;4.311260918463496;0.0;4.311260918463496;0.41000000000000003;4.785209674145346
2020-03-19;24.000000000000004;4.767546009163934;0.56;4.820860395146799;0.0;4.820860395146799;0.56;5.297315862268528
2020-03-20;67.99999999999999;8.080354027647626;3.2300000000000004;8.254394054812336;2.65;8.275416679063431;0.5800000000000005;8.741306417875114
2020-03-21;84.00000000000001;9.090354528539878;4.3;9.30022287122978;3.47;9.326480871933716;0.8299999999999996;9.7888010668559
2020-03-22;125.0;10.908239865793975;6.36;11.148116296921959;5.02;11.183921359241443;1.3400000000000007;11.638918262834327
2020-03-23;164.0;12.523255135623454;8.25;12.798758501976636;6.75;12.830265749076252;1.5;13.290541183149596
2020-03-24;185.00000000000003;12.910742531987568;10.530000000000001;13.253262720072849;8.79;13.304693635227862;1.740000000000002;13.746041843472637
2020-03-25;211.0;13.801214995555114;11.96;14.16779924171483;9.51;14.208322749485081;2.450000000000001;14.660656810082568
2020-03-26;236.99999999999997;14.934320854794146;13.110000000000001;15.306235310942382;11.29;15.346228832971944;1.820000000000002;15.79959076137453
2020-03-27;282.0;16.06049799849295;15.850000000000001;16.510902336322985;13.25;16.555887048406554;2.6000000000000014;17.004875271756696
2020-03-28;321.99999999999994;17.050240674861666;18.32;17.516897758185014;15.37;17.567435984534203;2.950000000000001;18.011361499210473
2020-03-29;359.00000000000006;17.744015921152155;19.56;18.217741380591093;16.47;18.2700629722533;3.09;18.712460126406533
2020-03-30;382.00000000000006;19.260112128228105;21.649999999999995;19.73822229056911;18.21;19.787453580284634;3.439999999999994;20.233261545588835
2020-03-31;401.0;19.56539410450621;23.439999999999998;20.333977138342274;19.77;20.393815882826495;3.669999999999998;20.82941290928414
2020-04-01;445.0;19.994388101553785;25.470000000000002;21.009053435664974;21.36;21.081525710029297;4.110000000000003;21.50492622569665
2020-04-02;563.0;23.04883265739692;32.699999999999996;24.143661317583582;27.13;24.250556319766805;5.569999999999997;24.64075766160506
2020-04-03;658.0000000000001;24.84297352036051;34.0;26.741351023189807;29.56;26.802728490686437;4.440000000000001;27.237888740431792
2020-04-04;744.9999999999999;26.575807332111953;39.81;28.808849001792503;33.47;28.90188368961582;6.340000000000003;29.30617109923602
2020-04-05;960.0;29.89756586152867;50.64;32.677468405831895;43.03;32.76959019295392;7.609999999999999;33.17508902184131
2020-04-06;1045.0;31.713547434954215;54.3;34.971883136328394;46.33;35.08808501615627;7.969999999999999;35.46999711188551
2020-04-07;1188.0;33.08130174664421;61.059999999999995;36.52884063284514;52.34;36.635510068508644;8.719999999999992;37.02690519133765
2020-04-08;1394.0000000000002;36.849439780289906;70.97999999999999;40.33753521814078;60.48;40.43446979341695;10.499999999999993;40.83566109747906
2020-04-09;1445.0000000000002;37.571771049525736;73.58999999999999;41.4115058793075;63.08;41.505257729496385;10.509999999999991;41.90964181332758
2020-04-10;1557.9999999999998;38.608393916453984;78.53;42.973095964424964;67.42;43.09281351649805;11.11;43.47159751244685
2020-04-11;1668.0;38.906964918789534;82.75000000000001;43.594184546366115;70.76;43.715390039008305;11.990000000000009;44.09272407440523
2020-04-12;1747.0000000000002;39.32210933849153;85.07;44.42688469652565;73.67;44.522681678425265;11.399999999999991;44.92516850849655
2020-04-13;1935.0;42.4152083454732;93.39;47.730970220411585;80.21;47.82939909910868;13.180000000000007;48.229398889898334
2020-04-14;2070.0;43.11931531848985;101.08999999999999;48.63194114982457;87.17;48.73486226511777;13.919999999999987;49.1304443524086
2020-04-15;2291.0;47.1456351011513;112.61999999999999;52.6560733880382;96.55;52.78038996300108;16.069999999999993;53.15489116355583
2020-04-16;2411.9999999999995;46.584800486463784;109.66;53.371315547139396;93.97;53.4769709616422;15.689999999999998;53.86997581393522
2020-04-17;2747.0;52.325951998269964;128.51999999999998;59.421026462512295;109.69;59.51917578275581;18.829999999999984;59.919759359007294
2020-04-18;3062.0000000000005;53.131327668316175;137.98999999999998;60.98886960053871;117.69;61.14684059828043;20.299999999999983;61.48812125727859
2020-04-19;3306.0;55.70860695519938;141.55;64.9291508748831;121.43;65.03137499187092;20.120000000000005;65.42802158345616
2020-04-20;3484.9999999999995;57.56292472616644;148.03000000000003;67.45113411900051;127.48;67.5882023280646;20.550000000000026;67.95030313594974
2020-04-21;3682.0;59.33521958186624;150.46999999999997;69.69878842620443;130.35;69.79948859469394;20.119999999999976;70.19772501068324
2020-04-22;4116.0;60.81826878645773;166.48;73.09636673804678;143.53;73.23174127591828;22.94999999999999;73.5955879898989
2020-04-23;4702.0;66.21388056743072;199.15;78.07755541508686;172.07;78.23253645124872;27.080000000000013;78.57695079377417
2020-04-24;5120.999999999999;68.57577243937224;217.67;80.86483875248034;187.19;81.006395096095;30.47999999999999;81.36417234606851
2020-04-25;5667.0;74.21283751835159;240.31;85.990669678269;207.0;86.10246960289334;33.31;86.48987074403607
2020-04-26;6259.999999999999;77.38237212150786;272.14;89.15581752179607;235.08;89.35341850192302;37.059999999999974;89.65552529811937
2020-04-27;6783.0;76.49853104815315;294.98;89.96405810942031;253.82;90.15286657403165;41.160000000000025;90.46371989968789
2020-04-28;6985.0;79.92911632417587;302.37;93.37899490730766;260.86;93.61675645897475;41.50999999999999;93.87892972524753
2020-04-29;7409.0;82.1151359711202;308.48;97.29286440765564;265.21;97.46285120314543;43.27000000000004;97.79245531148919
2020-04-30;7861.0;84.14454134632763;332.36000000000007;98.9426322408469;286.13;99.13262618708069;46.230000000000075;99.44233052847544
2020-05-01;8000.0;88.21862534967238;317.4;105.21267561996088;272.97;105.40311290996632;44.42999999999995;105.71239389977447
2020-05-02;8309.0;90.65397749885902;318.90999999999997;107.83470923669066;274.07;108.06132340556272;44.839999999999975;108.33460130340251
2020-05-03;8379.000000000002;91.19645460944923;306.75;109.7668862736947;264.12;109.88182252867043;42.629999999999995;110.26627383180632
2020-05-04;11040.0;102.23818496357643;460.36999999999995;120.37690338132464;396.53;120.64189971845092;63.839999999999975;120.87696541275024
2020-05-05;11469.999999999998;101.75495222852942;470.51000000000005;121.00062762588709;403.95;121.23365615974217;66.56000000000006;121.50055778480332
