date;n_mean_ICU;n_std_ICU;n_mean_ICU_SUS;n_std_ICU_SUS;confirmed;confirmed_per_100k_inhabitants;growth_rate;growth_rate_EWM;growth_accel;growth_accel_EWM;growth_rate_EWM_NORM_(%);growth_accel_EWM_NORM_(%);growth_rate_NORM_(%);growth_accel_NORM_(%)
2020-03-20;0.0;0.9612702034497916;0.0;0.9612702034497916;1;0.0287;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-22;0.0;1.3524388744379208;0.0;1.3524388744379208;2;0.0574;1;0.5081967213114754;0.5081967213114754;0.2710382513661202;25.40983606557377;13.55191256830601;50.0;25.40983606557377
2020-03-23;0.0;2.3482209040338207;0.0;2.3482209040338207;6;0.17219;4;1.7104980293801506;1.2023013080686753;0.6237059178096914;28.50830048966918;10.395098630161524;66.66666666666667;20.03835513447792
2020-03-24;0.0;2.6009710696296695;0.0;2.6009710696296695;7;0.20089;1;1.5240440094784224;-0.18645401990172816;0.37898503986972276;21.77205727826318;5.414071998138896;14.285714285714286;-2.6636288557389736
2020-03-25;0.0;2.978169731478539;0.0;2.978169731478539;9;0.25829;2;1.6255778557966676;0.10153384631824514;0.3077839817413566;18.061976175518527;3.4198220193484072;22.22222222222222;1.1281538479805016
2020-03-26;0.07;3.255334239383263;0.0;3.255334239383263;11;0.31569;2;1.693206494049813;0.06762863825314547;0.2533225104418535;15.392786309543755;2.302931913107759;18.181818181818183;0.6148058023013224
2020-03-27;0.04;3.2255319818064994;0.0;3.2255319818064994;11;0.31569;0;1.426888974084586;-0.266317519965227;0.14636620271237472;12.97171794622351;1.3306018428397701;0.0;-2.4210683633202454
2020-03-30;0.43000000000000005;4.239614643246757;0.0;4.239614643246757;18;0.51658;7;2.2060446462515175;0.7791556721669315;0.26687162331680736;12.25580359028621;1.4826201295378185;38.888888888888886;4.328642623149619
2020-03-31;0.64;4.94312521272594;0.0;4.94312521272594;25;0.7174699999999999;7;2.8111874909859833;0.6051428447344658;0.3273340160590553;11.244749963943935;1.3093360642362213;28.0;2.420571378937863
2020-04-01;0.79;5.219001510603037;0.0;5.219001510603037;28;0.80357;3;2.8329740351000936;0.021786544114110296;0.27550586006675365;10.117764411071763;0.9839495002384059;10.714285714285714;0.07780908612182248
2020-04-02;1.66;6.401263921912594;0.83;6.412275711319642;41;1.17665;13;3.9160808352458303;1.0831068001457367;0.40664245946386723;9.551416671331294;0.9918108767411395;31.70731707317073;2.6417239027944794
2020-04-03;1.53;6.677974122729018;0.85;6.68751361746938;44;1.26275;3;3.8252368078824426;-0.0908440273633877;0.3287722451135099;8.693720017914641;0.7472096479852497;6.818181818181818;-0.20646369855315386
2020-04-04;2.1799999999999997;7.666827534544158;1.59;7.687791909543627;60;1.72193;16;4.95684525053178;1.1316084426493371;0.4505972121354008;8.2614087508863;0.7509953535590014;26.666666666666668;1.8860140710822286
2020-04-05;2.44;7.6900864951592265;1.66;7.708555656089557;60;1.72193;0;4.5224821204944385;-0.43436313003734117;0.31980818377280584;7.537470200824064;0.5330136396213431;0.0;-0.7239385500622352
2020-04-06;3.44;8.451695066372752;2.37;8.477278424998763;76;2.18111;16;5.475476772200297;0.9529946517058585;0.41130211770367425;7.204574700263549;0.5411869969785187;21.05263157894737;1.253940331191919
2020-04-07;3.42;8.766859313472654;2.46;8.792395704369898;78;2.2385099999999998;2;5.200846869982081;-0.2746299022182157;0.31408213506277005;6.667752397412924;0.40266940392662826;2.5641025641025643;-0.35208961822848167
