date;n_mean_ICU;n_std_ICU;n_mean_ICU_SUS;n_std_ICU_SUS;confirmed;confirmed_per_100k_inhabitants;growth_rate;growth_rate_EWM;growth_accel;growth_accel_EWM;growth_rate_EWM_NORM_(%);growth_accel_EWM_NORM_(%);growth_rate_NORM_(%);growth_accel_NORM_(%)
2020-03-12;0.0;0.9664053983393273;0.0;0.9664053983393273;1;0.02852;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-13;0.0;0.9699526178159845;0.0;0.9699526178159845;1;0.02852;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-16;0.0;0.9676588429625581;0.0;0.9676588429625581;1;0.02852;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-18;0.0;0.967554451264432;0.0;0.967554451264432;1;0.02852;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2020-03-20;0.0;2.328132732513768;0.0;2.328132732513768;6;0.17109000000000002;5;1.0666306164880828;1.0666306164880828;0.2737246416349343;17.777176941468046;4.562077360582239;83.33333333333333;17.777176941468046
2020-03-21;0.0;2.8569249556157756;0.0;2.8569249556157756;9;0.25664000000000003;3;1.4158384309068506;0.3492078144187678;0.2908424146082597;15.73153812118723;3.2315823845362193;33.333333333333336;3.880086826875198
2020-03-22;0.1;3.4684508811790193;0.0;3.4684508811790193;13;0.3707;4;1.8222906283729028;0.4064521974660522;0.3146381092975036;14.017620218253098;2.4202931484423353;30.76923076923077;3.1265553651234788
2020-03-24;0.12;3.6412676780251005;0.0;3.6412676780251005;14;0.39921999999999996;1;1.7073292711906778;-0.114961357182225;0.23282722764012906;12.195209079933411;1.6630516260009218;7.142857142857143;-0.8211525513016072
2020-03-25;0.14;3.61800575684529;0.0;3.61800575684529;14;0.39921999999999996;0;1.4918124347105701;-0.21551683648010767;0.15269048182153175;10.6558031050755;1.0906462987252268;0.0;-1.5394059748579119
2020-03-26;0.48;4.1774261081303266;0.0;4.1774261081303266;19;0.5418;5;1.8966123261524948;0.40479989144192463;0.1954542648951065;9.98217013764471;1.0287066573426658;26.31578947368421;2.1305257444311825
2020-03-27;0.8300000000000001;5.1201374074049095;0.0;5.1201374074049095;28;0.7984399999999999;9;2.6533456639227584;0.7567333377702636;0.2865936200850773;9.476234514009851;1.0235486431609904;32.142857142857146;2.702619063465227
2020-03-28;2.9400000000000004;8.471121710275627;1.71;8.484444768533947;68;1.9390599999999998;40;6.356862163672622;3.7035164997498633;0.8214353175049484;9.348326711283267;1.2079931139778652;58.8235294117647;5.4463477937497995
2020-03-30;3.4299999999999997;8.662804675651232;2.53;8.684082268638686;77;2.1957;9;6.602534054244626;0.24567189057200434;0.734067108754761;8.574719550967046;0.9533339074737155;11.688311688311689;0.31905440334026536
2020-03-31;3.6;8.858078547605885;2.59;8.877356338209905;82;2.33828;5;6.462105682445355;-0.14042837179927137;0.6048246910342877;7.8806166859089695;0.7375910866271801;6.097560975609756;-0.17125411195033094
2020-04-01;4.6899999999999995;9.517252754865765;3.47;9.54186564566909;92;2.62343;10;6.755862085033974;0.29375640258861946;0.5598760655149478;7.343328353297798;0.6085609407771172;10.869565217391305;0.3193004375963255
2020-04-02;5.529999999999999;10.198616909595481;4.25;10.230312158907317;106;3.02265;14;7.328289126743962;0.5724270417099877;0.5616549672900059;6.913480308249021;0.5298631766886848;13.20754716981132;0.5400255110471582
2020-04-03;10.17;13.463888139701098;8.63;13.49849561389653;176;5.01874;70;12.059336887287577;4.731047760543615;1.1428740555329486;6.851895958686123;0.6493602588255389;39.77272727272727;2.6880953184906904
2020-04-04;12.16;14.435674384991335;10.28;14.477233677381014;215;6.13085;39;14.0087929583332;1.9494560710456224;1.2537164151503246;6.5157176550386975;0.5831239140234068;18.13953488372093;0.9067237539747081
2020-04-05;13.22;15.613689215207625;11.02;15.66610643743655;246;7.0148399999999995;31;15.19088975192027;1.1820967935870712;1.2439950435248874;6.175158435739947;0.5056890420832876;12.601626016260163;0.4805271518646631
2020-04-07;15.1;16.011038237870316;12.83;16.073408022399775;254;7.242960000000001;8;14.70860713757218;-0.4822826143480903;1.0121657163065916;5.790790211642591;0.3984904394907841;3.1496062992125986;-0.18987504501893318
2020-04-08;14.81;16.520893077579316;12.05;16.578522493901808;261;7.44257;7;14.208993753159426;-0.49961338441275416;0.8110119250266636;5.444058909256484;0.3107325383243922;2.681992337164751;-0.19142275264856481
2020-04-10;14.999999999999998;16.620618872869077;12.02;16.660869476626115;263;7.4996;2;13.442647381420933;-0.7663463717384928;0.6028099403406272;5.111272768601116;0.22920530050974416;0.7604562737642585;-0.2913864531325068
2020-04-11;15.77;17.3516813437357;12.82;17.41345587339129;289;8.241010000000001;26;14.207522824038323;0.7648754426173898;0.6240530536323946;4.916097862989039;0.2159353126755691;8.996539792387543;0.2646627829125916
2020-04-12;19.919999999999998;19.153156239622597;16.39;19.217213480091072;339;9.666789999999999;50;16.326936334187803;2.1194135101494798;0.8188769005953485;4.816205408314986;0.24155660784523553;14.749262536873156;0.6251957257078111
2020-04-13;21.310000000000002;20.4826338120562;18.22;20.53703697904807;376;10.721860000000001;37;17.51893838028169;1.1920020460938865;0.8672341181756762;4.6592921224153425;0.23064737185523304;9.840425531914894;0.3170218207696507
2020-04-14;20.450000000000003;21.642894534659266;17.21;21.6905690067915;399;11.37772;23;17.827145629875233;0.3082072495935435;0.7951157213091352;4.467956298214344;0.1992771231351216;5.764411027568922;0.07724492471016128
2020-04-15;20.130000000000003;21.689712661848137;17.0;21.741288723383796;400;11.406239999999999;1;16.903085970513818;-0.924059659361415;0.5742151642524236;4.225771492628454;0.1435537910631059;0.25;-0.23101491484035375
2020-04-16;24.01;23.45654772794009;20.75;23.52099341679963;463;13.202720000000001;63;19.37840692896218;2.4753209584483606;0.817642266759062;4.185401064570665;0.17659660189180604;13.606911447084233;0.5346265569002939
2020-04-17;25.49;24.51458277611244;21.65;24.568114878575216;516;14.71405;53;21.1459297862808;1.767522857318621;0.9389005004887641;4.098048408193954;0.1819574613350318;10.271317829457365;0.34254318940283357
