date,n_mean_ICU,n_std_ICU,n_mean_ICU_SUS,n_std_ICU_SUS,confirmed,confirmed_per_100k_inhabitants,growth_rate,growth_rate_EWM,growth_accel,growth_accel_EWM,growth_rate_EWM_NORM_(%),growth_accel_EWM_NORM_(%),growth_rate_NORM_(%),growth_accel_NORM_(%)
2020-03-21,0.0,1.364336520589456,0.0,1.364336520589456,2,0.33016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,1.3479501834154322,0.0,1.3479501834154322,2,0.33016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.0,1.3652246642360315,0.0,1.3652246642360315,2,0.33016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,2.700205753477152,0.0,2.700205753477152,8,1.32065,6,1.574563296658768,1.574563296658768,0.47562029963969865,19.682041208234597,5.945253745496233,75.0,19.682041208234597
2020-03-25,0.0,2.7522993142373733,0.0,2.7522993142373733,8,1.32065,0,1.238667812695838,-0.33589548396293,0.26736463585695525,15.483347658697975,3.3420579482119406,0.0,-4.198693549536625
2020-03-26,0.04,3.015518113848679,0.0,3.015518113848679,10,1.6508200000000002,2,1.376180670529664,0.13751285783382605,0.23791736735450256,13.76180670529664,2.3791736735450257,20.0,1.3751285783382605
2020-03-27,0.15000000000000002,3.2453324680659192,0.0,3.2453324680659192,12,1.98098,2,1.4742986598680765,0.09811798933841254,0.2091427841420332,12.285822165567303,1.7428565345169433,16.666666666666668,0.8176499111534378
2020-03-28,0.15,3.871920542427065,0.0,3.871920542427065,16,2.64131,4,1.8274074560525502,0.35310879618447366,0.23655898758939947,11.42129660032844,1.4784936724337467,25.0,2.2069299761529604
2020-03-29,0.22,3.781234366358866,0.0,3.781234366358866,16,2.64131,0,1.5967331036975718,-0.23067435235497835,0.15304598407820424,9.979581898109824,0.9565374004887766,0.0,-1.4417147022186148
2020-03-30,0.13,3.78252748058942,0.0,3.78252748058942,16,2.64131,0,1.4124905639218575,-0.18424253977571436,0.09583378684600502,8.828066024511608,0.5989611677875314,0.0,-1.1515158735982147
2020-03-31,0.2,3.9195557365238693,0.0,3.9195557365238693,16,2.64131,0,1.2620160652624541,-0.15047449865940332,0.055838748007449826,7.887600407890338,0.34899217504656144,0.0,-0.9404656166212708
2020-04-01,0.55,4.8101627474094535,0.0,4.8101627474094535,26,4.29212,10,2.128526553340858,0.8665104880784038,0.18273100305079615,8.18664058977253,0.7028115501953699,38.46153846153846,3.3327326464553995
2020-04-02,0.73,5.500912229215747,0.0,5.500912229215747,30,4.95245,4,2.3024745077293813,0.1739479543885234,0.18139823477637454,7.674915025764604,0.6046607825879151,13.333333333333334,0.5798265146284114
2020-04-03,0.8600000000000001,5.802365592122445,0.0,5.802365592122445,37,6.10802,7,2.7141137203987635,0.4116392126693822,0.2154257412677357,7.335442487564226,0.5822317331560424,18.91891891891892,1.1125384126199518
2020-04-04,0.98,6.3865066089895075,0.0,6.3865066089895075,42,6.93343,5,2.9039141129346473,0.18980039253588377,0.21172293951412113,6.91408122127297,0.5041022369383837,11.904761904761905,0.45190569651400897
2020-04-05,1.2,6.443046522014915,0.97,6.445304374880095,42,6.93343,0,2.6744487183550003,-0.229465394579647,0.14919149188342168,6.367735043702381,0.35521783781767063,0.0,-0.546346177570588
2020-04-06,1.28,6.422063609938865,0.9,6.429066884867586,42,6.93343,0,2.472556278474895,-0.2018924398801052,0.10024990905953335,5.88703875827356,0.23869025966555557,0.0,-0.4806962854288218
2020-04-07,1.5100000000000002,7.191113132249282,0.96,7.193782598939732,49,8.089,7,2.800167095340044,0.3276108168651488,0.13149436904157857,5.714626725183764,0.26835585518689503,14.285714285714286,0.6685935038064262
2020-04-08,1.49,7.580695511920028,0.97,7.582614617956293,52,8.58424,3,2.8140696883266663,0.01390259298662233,0.11553291420317528,5.4116724775512814,0.22217868115995246,5.769230769230769,0.026735755743504484
2020-04-09,1.9100000000000001,8.331696627150361,0.98,8.332872775151959,63,10.400139999999999,11,3.363088239268964,0.5490185509422978,0.1737475838223426,5.338235300426927,0.27578981559101995,17.46031746031746,0.8714580173687266
2020-04-10,2.3600000000000003,9.325877433195757,1.93,9.329367068509518,75,12.38112,12,3.922867280883502,0.5597790416145378,0.22511202671698824,5.230489707844669,0.3001493689559843,16.0,0.7463720554860505
2020-04-11,2.49,9.408433730038453,1.88,9.414044043477027,79,13.04145,4,3.9277088248004164,0.0048415439169144925,0.1960376231520037,4.971783322532173,0.24814889006582747,5.063291139240507,0.006128536603689231
2020-04-12,3.0999999999999996,9.793270107269555,2.87,9.800063234180657,83,13.701770000000002,4,3.932112121124699,0.004403296324282824,0.17091870729265643,4.7374844832827705,0.2059261533646463,4.819277108433735,0.005305176294316655
2020-04-13,3.89,10.998460360570032,2.86,11.003932492660535,113,18.654220000000002,30,5.475694407422987,1.5435822862982875,0.3497569251165327,4.845747263206182,0.30951940275799356,26.548672566371682,1.3660020232728207
2020-04-14,3.95,11.138659631384668,2.91,11.142335409771079,114,18.8193,1,5.217627341138955,-0.2580670662840321,0.2709826121084175,4.576866088718381,0.23770404570913817,0.8771929824561403,-0.22637461954739657
2020-04-15,4.51,12.437703878842662,3.81,12.444692755459164,142,23.441589999999998,28,6.498709894770895,1.28108255363194,0.40129260712247733,4.576556263923165,0.28260042755104037,19.718309859154928,0.902170812416859
2020-04-16,5.4399999999999995,13.483100833295289,4.68,13.496355362867714,164,27.07338,22,7.349960437754796,0.8512505429839017,0.4591086739423199,4.481683193752924,0.27994431337946335,13.414634146341463,0.5190552091365254
2020-04-17,7.24,14.675427892854907,6.68,14.684882833662101,201,33.1814,37,8.942113966737281,1.592153528982485,0.6041894090147917,4.448812918774767,0.30059174577850334,18.407960199004975,0.7921161835733757
2020-04-18,7.79,15.858435890367275,6.62,15.87027374965186,222,36.64812,21,9.576009842215408,0.6338958754781263,0.6079816263624191,4.313517946943877,0.27386559746054917,9.45945945945946,0.28553868264780463
2020-04-19,8.96,17.031628272603932,7.61,17.044478918880493,244,40.27991,22,10.216149054093957,0.6401392118785498,0.6120758689762017,4.186946333645064,0.25085076597385314,9.01639344262295,0.2623521360157991
2020-04-20,9.200000000000001,16.889590004054288,8.45,16.90283261779074,247,40.77516,3,9.851368963175842,-0.36478009091811536,0.48799206483658697,3.9884084871157253,0.19756763758566273,1.214574898785425,-0.1476842473352694
2020-04-21,10.39,17.850699078068555,9.52,17.862168333541074,280,46.22285,33,11.000523453708364,1.1491544905325224,0.5718057166970467,3.9287583763244163,0.2042163273918024,11.785714285714286,0.41041231804732947
2020-04-22,11.17,17.879668804697044,10.47,17.896135241041755,297,49.02924,17,11.293263004842204,0.29273955113384,0.5364917084211973,3.802445456175826,0.180636938862356,5.723905723905724,0.09856550543226936
2020-04-23,11.12,18.903807857549538,10.53,18.914096634921574,304,50.18481,7,11.08718448657036,-0.20607851827184476,0.44266909058217463,3.647100160056039,0.1456148324283469,2.3026315789473686,-0.06778898627363314
2020-04-24,12.24,20.16639539011132,11.43,20.18089698279794,345,56.95315,41,12.500759792823235,1.4135753062528753,0.5651764146538722,3.6234086356009376,0.1638192506243108,11.884057971014492,0.40973197282692037
2020-04-25,13.7,21.41779893245595,12.43,21.430053922263266,401,66.19771999999999,56,14.526006575789285,2.0252467829660503,0.7491888270018647,3.6224455301220164,0.1868301314219114,13.965087281795512,0.5050490730588654
2020-04-26,14.49,22.253506113496687,13.43,22.267097573402655,407,67.18821,6,14.13464745925632,-0.39135911653296596,0.6055936476290003,3.472886353625631,0.14879450801695338,1.4742014742014742,-0.09615703108918082
2020-04-27,13.980000000000002,22.4664366502028,12.48,22.477775151415134,425,70.15968000000001,18,14.309685949042773,0.17503848978645387,0.5514354318650756,3.366984929186535,0.12974951338001778,4.235294117647059,0.04118552700857738
2020-04-29,14.489999999999998,22.779774721529538,13.38,22.790650196157987,426,70.32477,1,13.714720554352569,-0.5949653946902043,0.407346569267236,3.219417970505298,0.09562126039136996,0.2347417840375587,-0.1396632381901888
2020-04-30,18.169999999999998,25.45995653705416,17.23,25.474428096989477,519,85.67735,93,17.215345724063564,3.500625169710995,0.795867351481507,3.3170222975074304,0.1533463104974002,17.91907514450867,0.6744942523527929
2020-05-03,17.150000000000002,25.175464185784083,16.17,25.189781598292928,533,87.9885,14,17.075049618166567,-0.14029610589699715,0.6783544083743979,3.2035740371794685,0.12727099594266378,2.626641651031895,-0.026321971087616726
2020-05-04,17.419999999999998,28.10133384087602,16.28,28.1113244731792,578,95.41717,45,18.27980268435572,1.2047530661891521,0.7443964319349128,3.1625956201307472,0.12878831002334132,7.7854671280276815,0.20843478653791558
2020-05-05,28.45,31.934022846354875,26.62,31.954614927292038,869,143.45592,291,29.918956539359485,11.639153855003766,2.1106251010247754,3.44291789866047,0.24287975846084872,33.48676639815881,1.339373285961308
2020-05-06,31.65,33.24467012799484,29.39,33.26238103201862,932,153.85606,63,31.316229961268505,1.39727342190902,2.0212050744275563,3.360110510865719,0.21686749725617557,6.759656652360515,0.14992204097736264
2020-05-07,33.83,35.02206944891819,31.32,35.05342991042173,1020,168.38324,88,33.68677509145105,2.370545130182542,2.0649801261070952,3.302625008965789,0.20244903197128386,8.627450980392156,0.2324063853120139
2020-05-08,37.8,36.66846758662701,35.53,36.68849431567771,1124,185.55173,104,36.59945877755621,2.9126836861051615,2.1711713464744684,3.256179606544147,0.19316471054043313,9.252669039145907,0.2591355592620251
2020-05-09,41.43,37.587998501025986,39.13,37.60652511617009,1202,198.42809,78,38.29887424556429,1.699415468008084,2.1120907336699934,3.186262416436297,0.17571470330033223,6.4891846921797,0.14138231846989052
2020-05-10,45.839999999999996,39.35445585902054,42.84,39.38029451336793,1290,212.95527,88,40.321236590650464,2.0223623450861723,2.1008561948891797,3.125677255089183,0.16285706937125424,6.821705426356589,0.15677227481288158
2020-05-11,43.089999999999996,39.76904490081743,41.04,39.79315685294687,1295,213.78068,5,38.89601678231241,-1.4252198083380563,1.6594610384702584,3.0035534194835836,0.12814370953438287,0.3861003861003861,-0.11005558365544836
2020-05-12,47.81,40.95232373372626,44.78,40.97980501651904,1411,232.93015,116,41.98220584225957,3.0861890599471593,1.8380270509642522,2.9753512290758017,0.1302641425204998,8.22111977321049,0.21872353366032313
2020-05-13,45.58,41.86914000607709,42.77,41.894176025415334,1411,232.93015,0,40.31476555377336,-1.6674402884862047,1.3993599673186554,2.8571768641937183,0.09917505083760847,0.0,-0.11817436488208397
2020-05-14,48.55,43.22779190439055,45.52,43.25496032745023,1500,247.62241,89,42.23411746957924,1.9193519158058763,1.4644217297886735,2.815607831305283,0.0976281153192449,5.933333333333334,0.12795679438705843
2020-05-15,53.37,44.86039364720085,50.58,44.884279187504156,1589,262.31467999999995,89,44.06468426928052,1.8305667997012804,1.5102285319795807,2.773107883529296,0.09504270182376216,5.601006922592826,0.11520244176848839
2020-05-16,53.47,45.64879704567441,50.61,45.67045622409713,1706,281.62922000000003,117,46.90008456423437,2.8354002949538497,1.6759974464777054,2.7491257071649686,0.0982413509072512,6.858147713950762,0.1662016585553253
2020-05-17,57.63,46.28230343350589,54.42,46.31582031132679,1791,295.66116,85,48.371502534958665,1.4714179707242963,1.6504084735217075,2.7008097451121533,0.09215011019105011,4.745951982132887,0.08215622393770498
2020-05-18,60.96,49.55513554199866,57.21,49.58565678284255,1882,310.68359,91,50.00740676850164,1.6359042335429734,1.648594417632391,2.6571416986451455,0.08759800306229494,4.835281615302869,0.08692371060270847
2020-05-19,52.150000000000006,51.960145459396244,49.78,51.975266388558474,1988,328.18224,106,52.14310364556734,2.1356968770656977,1.7095123692998477,2.622892537503387,0.08599156787222573,5.331991951710261,0.10742942037553811
2020-05-22,62.25999999999999,55.792238807123624,58.96,55.815878664687446,2296,379.02737,308,61.84503225891374,9.701928613346404,2.7089971559704895,2.6935989659805637,0.11798768100916766,13.414634146341463,0.4225578664349479
2020-05-23,67.12999999999998,58.34698473162712,63.78,58.37843974681687,2439,402.63403999999997,143,64.90505266636023,3.060020407446494,2.752891692150098,2.661133770658476,0.11286968807503477,5.8630586305863055,0.12546209132621952
2020-05-24,59.41,58.89827048102996,56.1,58.92568426125033,2439,402.63403999999997,0,62.47101003652058,-2.4340426298396522,2.1043098972103245,2.5613370248675924,0.08627756856130893,0.0,-0.09979674579088366
