date;n_mean;n_std;n_mean_ICU;n_std_ICU;n_mean_ICU_SUS;n_std_ICU_SUS;n_mean_ICU_PRIVATE;n_std_ICU_PRIVATE
2020-03-12;2.0;1.379430419712529;0.0;1.379430419712529;0.0;1.379430419712529;0.0;1.811700500231982
2020-03-13;2.9999999999999996;1.7103369624879556;0.0;1.7103369624879556;0.0;1.7103369624879556;0.0;2.1530419149985174
2020-03-14;4.999999999999999;2.1362669223756576;0.0;2.1362669223756576;0.0;2.1362669223756576;0.0;2.588417139104905
2020-03-15;6.0;2.4039529735396035;0.0;2.4039529735396035;0.0;2.4039529735396035;0.0;2.860584358575972
2020-03-16;7.0;2.5048639552565404;0.0;2.5048639552565404;0.0;2.5048639552565404;0.0;2.9629727284603855
2020-03-17;7.0;2.636495991104692;0.0;2.636495991104692;0.0;2.636495991104692;0.0;3.096386135838973
2020-03-18;13.999999999999998;3.6362095926967966;0.29000000000000004;3.6731349283711596;0.0;3.6731349283711596;0.29000000000000004;4.143073150499682
2020-03-19;21.0;4.268702165977171;0.61;4.3322878692231646;0.0;4.3322878692231646;0.61;4.806350595934648
2020-03-20;40.0;5.971751684540994;1.93;6.11324121737546;0.83;6.124770867699313;1.1;6.595186809296421
2020-03-21;56.99999999999999;7.189301816314336;2.46;7.350500704445964;1.57;7.369868425288244;0.8899999999999999;7.835797919251674
2020-03-22;68.0;7.916266337565502;3.7399999999999998;8.126258224255043;2.37;8.157767631360477;1.3699999999999997;8.61358464047537
2020-03-23;86.0;9.357544355419126;5.06;9.594854681736267;3.91;9.629285350618517;1.1499999999999995;10.084171840773783
2020-03-24;109.0;9.888468950338986;5.98;10.144910949920567;4.0;10.182299258115439;1.9800000000000004;10.634919719487009
2020-03-25;121.99999999999999;10.956424248961534;6.930000000000001;11.220594116321664;4.67;11.25445833095633;2.2600000000000007;11.711370144188454
2020-03-26;149.0;11.428318539770613;8.84;11.763616138180671;6.27;11.821157500281634;2.5700000000000003;12.25576689345658
2020-03-27;163.0;11.877421071643933;9.770000000000001;12.331734826794802;7.07;12.391803090687967;2.700000000000001;12.824331831681205
2020-03-28;184.0;13.340286066019438;11.0;13.840501027306372;8.75;13.902768382119755;2.25;14.333953992844698
2020-03-29;197.0;13.662667559758775;12.670000000000002;14.249385065590541;9.38;14.303166598605875;3.290000000000001;14.742731814222243
2020-03-30;218.99999999999997;14.476229209335283;14.11;15.087645792354602;11.08;15.155548672204366;3.0299999999999994;15.581803625632043
2020-03-31;235.0;14.581654448815005;13.819999999999997;15.19972228613923;10.36;15.268986789429007;3.4599999999999973;15.693965221230311
2020-04-01;247.0;15.270232480221118;14.67;16.120357322405116;11.0;16.189067922583444;3.67;16.614902591487066
2020-04-02;281.00000000000006;16.225537920453696;16.81;17.227396756036562;12.76;17.32528784724511;4.049999999999999;17.723106015513878
2020-04-03;301.0;17.27538097637178;17.37;18.73694495003404;13.43;18.811650806364817;3.9400000000000013;19.232388225776095
2020-04-04;356.0;18.69816066144508;19.39;20.557071112570313;15.14;20.634281492876674;4.25;21.052967824517033
2020-04-05;379.0;18.610532480074806;20.79;20.802843361405955;15.93;20.86440490211;4.859999999999999;21.298420054579207
2020-04-06;416.99999999999994;20.140717088735567;21.32;22.781609276171014;16.78;22.84454685941748;4.539999999999999;23.277591543618485
2020-04-07;457.0;20.617830862992097;22.47;23.519984431898923;17.27;23.605227549777354;5.199999999999999;24.016554607739742
2020-04-08;501.0;20.831469007492032;24.970000000000002;24.2503450147278;19.03;24.324644567461483;5.940000000000001;24.746795305671295
2020-04-09;693.0000000000001;24.42706315014996;35.85999999999999;27.787354656171914;28.05;27.880182545813415;7.809999999999992;28.2845763859686
2020-04-10;717.0;25.512935914745267;36.3;28.93629261503675;28.68;29.02148566670959;7.619999999999997;29.4334930983351
2020-04-11;731.9999999999999;26.262463130806477;36.17000000000001;30.300064389703895;28.63;30.387283557768075;7.54000000000001;30.797421735885138
2020-04-12;776.0000000000001;27.150932420694712;36.26;31.252372968490185;28.59;31.317929627636882;7.669999999999998;31.749468433176215
2020-04-13;826.0;27.860427748752077;38.830000000000005;32.260786513422865;30.16;32.365919521383084;8.670000000000005;32.758575457214704
2020-04-14;853.0;28.303884874516775;42.99999999999999;32.767489153954806;33.33;32.90029552229806;9.669999999999995;33.2657277235422
2020-04-15;884.0;28.976158782312364;42.23;33.66941457432514;33.68;33.76813701964883;8.549999999999997;34.16720086277813
2020-04-16;926.0000000000001;29.512058826208925;42.89;34.65209368811208;33.76;34.76650682725685;9.130000000000003;35.150165060735546
2020-04-17;962.0000000000001;30.032396649033;43.52;35.623346787796855;34.45;35.703085810103815;9.07;36.12099004974449
2020-04-18;975.0000000000001;30.596553578942366;42.779999999999994;36.89376780745365;33.51;36.984321043251605;9.269999999999996;37.391635750172185
2020-04-19;1025.0;30.958254720728938;42.589999999999996;37.215490787378506;33.34;37.308673985354325;9.249999999999993;37.71341178587279
2020-04-20;1062.9999999999998;32.31607474413758;42.28;39.13419951547715;33.55;39.23509999626829;8.730000000000004;39.632318525585156
2020-04-21;1091.0;31.540408585453896;43.629999999999995;38.824902102031416;33.59;38.93115620210018;10.039999999999992;39.32307438940175
2020-04-22;1114.9999999999998;32.09088419605868;40.029999999999994;39.406928952849775;31.65;39.507132893883224;8.379999999999995;39.90505209104272
2020-04-23;1170.0;32.21145727529228;33.730000000000004;41.69692187607371;26.24;41.74991849021258;7.4900000000000055;42.1945874778935
2020-04-24;1208.9999999999998;33.626570783032015;32.029999999999994;43.37750179086114;25.7;43.424159883826896;6.329999999999995;43.875184575110204
2020-04-25;1235.0;33.7700811938376;32.26;44.07391239197348;25.24;44.1453525700651;7.02;44.57190938366247
2020-04-26;1336.9999999999998;35.095264292459404;38.37;45.59139180887887;29.57;45.662896393797745;8.799999999999997;46.089455447688955
2020-04-27;1476.0;36.26012084420519;43.419999999999995;47.10325888916602;34.63;47.191631652018536;8.789999999999992;47.60156121002563
2020-04-28;1995.0;43.62601855486581;74.46999999999998;53.51360475560766;59.04;53.61682845841774;15.429999999999986;54.01224604103973
2020-04-29;2085.0;44.05859505226873;80.05;54.2447405354434;64.06;54.361275516286184;15.989999999999995;54.74352154615067
2020-04-30;2394.0;46.256598764856555;98.94999999999999;56.66489958920378;77.72;56.77792216570228;21.22999999999999;57.16370148634751
2020-05-01;2104.0000000000005;43.41017894876312;73.74;54.34112517098339;58.01;54.4292916070794;15.729999999999997;54.83964967480704
2020-05-02;2346.0000000000005;47.89962990936929;89.04999999999998;58.45699048329153;71.07;58.57529202969146;17.97999999999999;58.95587356992794
2020-05-03;2519.0;48.18291956050128;100.45;59.05551432954651;79.12;59.17667929790648;21.33;59.554432681582824
2020-05-04;2623.0;49.50017651228604;105.24999999999999;60.805498613333995;83.31;60.942945134085555;21.939999999999984;61.3045806343233
2020-05-05;2795.0000000000005;51.42341368236336;110.09;62.06503644150102;87.14;62.195732558471;22.950000000000003;62.56408299530427
2020-05-06;2916.9999999999995;52.64972109435274;120.78000000000002;63.40809080707273;96.17;63.56372455888643;24.610000000000014;63.90735250624037
2020-05-07;3082.0;53.359542802396724;127.95;64.288091337967;101.2;64.44841881597087;26.75;64.7873992894819
2020-05-08;3205.0;54.92725768107886;133.07000000000002;66.17823206304244;105.89;66.33714117287462;27.18000000000002;66.67754899636589
2020-05-09;3372.0;56.0791846365026;142.92000000000002;67.46453092798716;112.7;67.66249281051752;30.220000000000013;67.96414809400507
2020-05-10;3429.0;54.92144619841372;137.97000000000003;67.14981554913483;108.8;67.3357091615053;29.17000000000003;67.64934173696248
2020-05-11;3529.0000000000005;56.669589942423485;138.31;69.46675239190895;109.46;69.62297097854119;28.85000000000001;69.96608220314562
2020-05-12;3733.0;59.47638866038192;116.53;75.91029708168915;92.85;76.01947581396693;23.680000000000007;76.40937559517334
2020-05-13;3828.0;59.17539756324141;117.13000000000001;76.06830072209762;92.93;76.17986265902215;24.200000000000003;76.56739669994337
2020-05-14;4332.0;62.62747162404213;127.96000000000001;80.39802566800464;101.18;80.50534225325131;26.78;80.89714379115237
2020-05-15;4562.0;66.31635232624444;166.06;81.53106783442875;132.02;81.68913405234642;34.03999999999999;82.03050747297965
2020-05-16;4678.000000000001;64.32353670109701;153.39;82.56715096932872;122.33;82.68503806125943;31.059999999999988;83.06635574799932
2020-05-17;4776.0;66.24174429216585;148.17;84.43587581260957;117.87;84.55796960808854;30.299999999999983;84.93512285180091
2020-05-18;5175.0;70.43571322113304;168.72;88.51745348640104;132.75;88.68915983206274;35.97;89.01701371956506
2020-05-19;5413.0;70.69820051143846;175.89000000000001;89.90989895613848;139.87;90.03190007049186;36.02000000000001;90.4091910724431
2020-05-20;5499.0;70.64454056125719;169.19000000000003;90.71231086475662;134.23;90.88047338358356;34.960000000000036;91.211862253809
2020-05-21;5610.0;73.57480080252554;161.92000000000002;93.62933152176257;127.78;93.73005559164105;34.140000000000015;94.12853858848422
2020-05-22;6458.000000000001;78.53383366615328;217.13;98.60980258912736;173.27;98.78638705138815;43.859999999999985;99.10943221368014
2020-05-23;6607.0;76.65917354686842;216.92;97.96461115312937;171.93;98.12629687491442;44.98999999999998;98.46416269515906
2020-05-24;6696.0;81.67601678076446;217.33;101.28354293614026;171.94;101.48582398392875;45.390000000000015;101.78330852198162
2020-05-25;6874.999999999999;79.37884612490416;212.59;100.77019666728668;168.43;100.96087180865484;44.16;101.26990376302474
2020-05-26;7016.0;83.9084566114113;212.92000000000002;105.79687754839412;168.51;105.95767645144876;44.410000000000025;106.296457962819
2020-05-27;7372.0;82.85802631762674;231.24999999999997;104.93042219499644;182.36;105.14097156684544;48.88999999999996;105.43023510163982
2020-05-28;8000.000000000001;86.45650742869317;243.9;109.8818296115781;192.61;110.0942068357272;51.28999999999999;110.3816591903909
2020-05-29;8529.999999999998;88.73709324274556;263.99;114.00180877087128;208.79;114.1665375801084;55.20000000000002;114.50143641286955
2020-05-30;8780.0;90.6889355450985;273.13000000000005;114.43850184286933;217.93;114.66610573330031;55.200000000000045;114.93840441633817
2020-05-31;9037.0;91.83637073566761;280.86;116.52274145748407;222.49;116.76702949363607;58.370000000000005;117.02271705212331
2020-06-01;9498.0;96.7737933053524;284.61999999999995;123.09305410004566;224.52;123.29837617615557;60.09999999999994;123.59287335381812
2020-06-02;9660.0;94.65082026996797;276.8;121.70529870689006;218.85;121.87931421423956;57.95000000000002;122.20498781779563
2020-06-03;10034.0;94.51602824896736;303.92;121.81723895685171;241.41;122.03213350208506;62.51000000000002;122.31709545510306
2020-06-04;10532.0;95.40168560440438;332.65000000000003;124.37804239210767;264.18;124.60812585579214;68.47000000000003;124.8779626481339
2020-06-05;10846.0;101.67110869580573;287.12;132.20975823946344;228.82;132.40131333841583;58.30000000000001;132.70953804107594
2020-06-06;11285.0;101.78692638958299;306.19000000000005;131.39712543555615;243.0;131.587478783991;63.190000000000055;131.89689932485626
2020-06-07;11565.000000000002;101.61024962218539;323.06;134.1053606141624;257.26;134.31478007075222;65.80000000000001;134.6052098751207
2020-06-08;11742.000000000002;105.90613530362391;331.6;136.3627959051541;263.16;136.63435331961983;68.44;136.86287466069945
2020-06-09;12192.0;106.50746452714006;347.21999999999997;139.61439285012523;277.05;139.79136665369967;70.16999999999996;140.11413225496847
2020-06-10;12594.0;111.41368720659817;349.98;142.94214012047752;277.94;143.15610997167474;72.04000000000002;143.4420145291954
